season,season_id,division,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,IBB,TB,GDP,HBP,SH,SF,DP,Picked,OPP DP,RC,PA,BA,SecA,OBP,SLG,OPS,ISO,BAbip,XR,XRR,XRB,PSN,RS%,HR%,K%,BB%,K-BB%,BB/K
2017,12560,2.0,342778.0,341807,63939,98971,18089,2420,7081,56818,11885,4057,38680,67147,666,143143,0.0,10930,5915,4143,7199.0,0,10.0,56109.949,390545,0.29,0.265,0.38,0.5,0.88,0.074,0.338,108218.934,103110.242,107733.124,8874.6,0.402,0.018,0.172,0.099,0.073,0.576
2017,12560,3.0,423266.0,421212,78279,122139,21995,3196,5468,68130,17184,5285,47453,74926,795,166930,0.0,13600,7641,5529,9008.0,0,0.0,65569.276,481835,0.29,0.247,0.38,0.469,0.849,0.075,0.337,126190.222,119771.326,125557.172,8296.1,0.41,0.011,0.156,0.098,0.058,0.633
2018,12973,1.0,522062.0,533891,89252,144069,26393,3429,11189,80208,16078,5914,64347,120918,1305,210887,0.0,16440,8351,6307,11023.0,0,698.0,80555.608,612896,0.27,0.265,0.367,0.472,0.839,0.069,0.326,156394.776,148532.694,155370.568,13195.2,0.365,0.018,0.197,0.105,0.092,0.532
2018,12973,2.0,344352.0,338846,65493,97213,17973,2343,7692,57989,12348,3871,41476,72648,616,142948,0.0,11298,5385,4188,6784.0,0,8.0,57001.224,389895,0.287,0.282,0.385,0.505,0.89,0.074,0.341,108288.066,103265.326,107768.492,9479.1,0.406,0.02,0.186,0.106,0.08,0.571
2018,12973,3.0,429361.0,420605,80035,121777,22543,3366,5435,69817,18420,5243,50069,79318,769,167357,0.0,14279,6993,5596,8671.0,0,0.0,66852.572,483263,0.29,0.259,0.385,0.472,0.857,0.078,0.341,127115.466,120739.076,126508.612,8393.4,0.413,0.011,0.164,0.104,0.06,0.631
2019,14781,1.0,556120.0,547820,94551,147338,27584,3622,12113,85087,17308,5844,68726,126617,2159,218505,0.0,16673,7968,6674,11240.0,0,3.0,84104.122,631188,0.269,0.276,0.369,0.478,0.847,0.07,0.325,162950.554,154345.944,161238.848,14251.8,0.374,0.019,0.201,0.109,0.092,0.543
2019,14781,2.0,370452.0,371893,71277,105152,19753,2722,8052,63021,13886,4208,46446,81582,1037,154505,0.0,12657,5406,4698,7235.0,0,0.0,61537.813,428443,0.283,0.284,0.383,0.498,0.881,0.075,0.338,117118.904,111399.682,116297.904,10193.3,0.405,0.019,0.19,0.108,0.082,0.569
2019,14781,3.0,448857.0,451050,85851,129623,23934,3551,5907,74864,19382,5480,54524,84939,1339,178380,0.0,15552,7073,6186,8871.0,0,0.0,71326.497,518833,0.287,0.26,0.385,0.47,0.855,0.077,0.338,135668.948,128475.974,134565.348,9054.5,0.413,0.011,0.164,0.105,0.059,0.642
2020,15204,1.0,161007.0,151384,25071,38714,7284,1034,2798,22333,5196,1703,19434,38713,517,56460,0.0,5047,1969,1766,0.0,6,2876.0,21464.24,174553,0.256,0.269,0.362,0.446,0.808,0.069,0.322,41595.866,39351.93,41282.26,3637.3,0.369,0.016,0.222,0.111,0.111,0.502
2020,15204,2.0,125126.0,121438,23470,33493,6524,893,2513,20556,4992,1530,16047,28649,339,49342,0.0,4459,1637,1527,0.0,3,2211.0,19737.345,140649,0.276,0.291,0.384,0.488,0.872,0.076,0.337,37378.758,35535.9,37229.0,3343.1,0.407,0.018,0.204,0.114,0.09,0.56
