season,season_id,school_id,division,TC,PO,A,E,CI,PB,SBA,CSB,IDP,TP,FLD%,CS%
2016,12360,2,1.0,0.0,1389,536,74,1,11,176,29,83,0,0.9629814907453726,0.16477272727272727
2016,12360,4,3.0,0.0,1022,459,53,0,6,54,32,82,0,0.9654498044328553,0.5925925925925926
2016,12360,6,1.0,0.0,1385,532,103,0,38,210,36,152,0,0.949009900990099,0.17142857142857143
2016,12360,7,1.0,0.0,1383,465,72,0,15,98,31,84,0,0.9625,0.3163265306122449
2016,12360,8,1.0,0.0,1543,618,68,0,8,73,40,129,0,0.9694930462090624,0.547945205479452
2016,12360,9,1.0,0.0,1422,546,67,0,3,80,32,116,0,0.9670761670761671,0.4
2016,12360,10,2.0,0.0,1260,437,61,1,15,108,40,87,0,0.965301478953356,0.37037037037037035
2016,12360,13,2.0,0.0,1151,432,96,1,19,236,27,75,0,0.9428231089934485,0.11440677966101695
2016,12360,14,1.0,0.0,1285,465,66,0,17,122,36,100,0,0.9636563876651982,0.29508196721311475
2016,12360,15,3.0,0.0,960,364,63,1,6,152,43,60,0,0.9545782263878875,0.28289473684210525
2016,12360,16,3.0,0.0,795,319,65,0,7,126,23,72,0,0.9448685326547922,0.18253968253968253
2016,12360,17,1.0,0.0,1275,561,109,2,18,140,42,117,0,0.9439588688946016,0.3
2016,12360,19,3.0,0.0,868,356,48,1,11,90,36,61,0,0.9622641509433962,0.4
2016,12360,20,3.0,0.0,1024,414,45,0,5,64,35,89,0,0.9696561024949427,0.546875
2016,12360,22,2.0,0.0,1063,392,82,1,7,170,61,61,0,0.9466493168510085,0.3588235294117647
2016,12360,24,3.0,0.0,960,412,70,2,9,78,28,76,0,0.9514563106796117,0.358974358974359
2016,12360,25,2.0,0.0,1487,633,61,2,23,68,54,120,0,0.9720311783585511,0.7941176470588235
2016,12360,27,1.0,0.0,1413,519,76,1,2,95,61,82,0,0.9621513944223108,0.6421052631578947
2016,12360,28,1.0,0.0,1623,585,64,1,10,82,59,110,0,0.971830985915493,0.7195121951219512
2016,12360,29,1.0,0.0,1952,795,64,1,11,76,43,132,0,0.9772323016720028,0.5657894736842105
2016,12360,30,1.0,0.0,1528,611,77,1,16,104,42,139,0,0.9652527075812274,0.40384615384615385
