season,season_id,school_id,TC,PO,A,E,CI,PB,SBA,CSB,IDP,TP,FLD%,CS%
2017,12560,55,129.0,100,19,10,0,5,23,6,1,0,0.9224806201550387,0.2608695652173913
2017,12560,56,1264.0,869,349,46,1,4,59,28,50,0,0.9636075949367089,0.4745762711864407
2017,12560,58,227.0,141,75,11,0,4,32,6,12,0,0.9515418502202643,0.1875
2017,12560,59,65.0,41,23,1,0,2,4,3,1,0,0.9846153846153847,0.75
2017,12560,60,229.0,176,112,7,0,2,25,4,7,0,0.976271186440678,0.16
2017,12560,61,37.0,29,7,1,0,0,5,2,2,0,0.972972972972973,0.4
2017,12560,62,223.0,204,17,2,0,0,18,6,0,0,0.9910313901345291,0.3333333333333333
2017,12560,64,725.0,488,177,60,0,9,51,5,26,0,0.9172413793103448,0.09803921568627451
2017,12560,67,978.0,730,228,20,0,0,4,0,93,3,0.9795501022494888,0.0
2017,12560,69,3.0,1,2,0,0,0,1,1,0,0,1.0,1.0
2017,12560,71,17.0,6,9,2,0,0,6,8,3,0,0.8823529411764706,1.3333333333333333
2017,12560,72,15.0,5,10,0,0,0,3,1,0,0,1.0,0.3333333333333333
2017,12560,73,200.0,109,76,15,0,0,25,4,10,0,0.925,0.16
2017,12560,75,416.0,323,80,13,0,0,0,0,27,0,0.96875,
2017,12560,77,267.0,105,146,16,0,0,8,5,32,0,0.9400749063670412,0.625
2017,12560,78,264.0,121,132,11,0,0,0,0,13,0,0.9583333333333334,
2017,12560,80,11.0,0,11,0,0,0,11,4,0,0,1.0,0.36363636363636365
2017,12560,81,575.0,436,120,19,0,2,16,3,28,0,0.9669565217391304,0.1875
2017,12560,83,98.0,91,7,0,0,2,22,3,1,0,1.0,0.13636363636363635
2017,12560,84,1048.0,769,244,35,0,9,57,20,65,0,0.9666030534351145,0.3508771929824561
2017,12560,86,607.0,420,169,18,0,4,72,29,23,0,0.9703459637561779,0.4027777777777778
2017,12560,87,739.0,421,288,30,0,5,38,13,37,0,0.959404600811908,0.34210526315789475
2017,12560,88,1005.0,708,359,76,0,22,152,28,75,0,0.9335083114610674,0.18421052631578946
2017,12560,89,323.0,271,44,8,0,18,86,17,2,0,0.9752321981424149,0.19767441860465115
