season,season_id,school_id,TC,PO,A,E,CI,PB,SBA,CSB,IDP,TP,FLD%,CS%
2018,12973,2,2098.0,1429,594,75,0,21,182,33,148,0,0.9642516682554814,0.1813186813186813
2018,12973,4,1399.0,1004,325,70,0,15,85,20,58,0,0.949964260185847,0.23529411764705882
2018,12973,6,1788.0,1234,465,89,0,9,156,48,96,0,0.9502237136465325,0.3076923076923077
2018,12973,7,1998.0,1388,519,91,0,7,110,22,76,0,0.9544544544544544,0.2
2018,12973,8,2081.0,1467,549,65,3,7,68,25,120,0,0.9687650168188371,0.36764705882352944
2018,12973,9,1758.0,1204,487,67,1,17,93,47,108,0,0.9618885096700797,0.5053763440860215
2018,12973,10,1500.0,1017,422,61,0,5,89,21,86,0,0.9593333333333334,0.23595505617977527
2018,12973,13,1462.0,1049,374,39,0,14,105,28,97,0,0.9733242134062927,0.26666666666666666
2018,12973,14,1733.0,1218,463,52,0,10,126,32,72,0,0.96999422965955,0.25396825396825395
2018,12973,17,1808.0,1261,444,103,0,21,242,41,100,3,0.9430309734513275,0.16942148760330578
2018,12973,19,1455.0,962,382,111,0,17,155,51,73,0,0.9237113402061856,0.32903225806451614
2018,12973,20,1621.0,1091,448,82,0,12,64,24,82,0,0.9494139420111043,0.375
2018,12973,21,1505.0,1027,404,74,0,20,118,36,62,0,0.9508305647840531,0.3050847457627119
2018,12973,22,1387.0,875,432,80,0,7,73,23,82,0,0.9423215573179524,0.3150684931506849
2018,12973,24,1386.0,970,356,60,0,27,66,27,74,0,0.9567099567099567,0.4090909090909091
2018,12973,25,1367.0,909,404,54,0,3,29,28,97,0,0.9604974396488661,0.9655172413793104
2018,12973,26,1296.0,897,333,66,0,27,192,32,44,0,0.9490740740740741,0.16666666666666666
2018,12973,27,1789.0,1314,421,54,0,8,116,57,65,0,0.9698155394074902,0.49137931034482757
2018,12973,28,2118.0,1464,576,78,1,5,79,23,123,0,0.9631728045325779,0.2911392405063291
2018,12973,29,2041.0,1449,543,49,0,8,30,41,81,0,0.9759921607055365,1.3666666666666667
2018,12973,30,1639.0,1081,485,73,2,7,77,17,118,0,0.9554606467358145,0.22077922077922077
2018,12973,31,2459.0,1810,581,68,0,13,46,32,158,0,0.9723464823098821,0.6956521739130435
2018,12973,32,2102.0,1488,554,60,0,5,148,35,97,0,0.9714557564224549,0.23648648648648649
2018,12973,35,1933.0,1309,533,91,0,19,80,34,83,0,0.9529229177444387,0.425
2018,12973,36,1738.0,1214,439,85,0,15,114,45,64,0,0.9510932105868815,0.39473684210526316
2018,12973,37,1624.0,1044,532,48,0,2,43,17,115,0,0.9704433497536946,0.3953488372093023
2018,12973,38,1247.0,842,342,63,1,5,110,34,72,0,0.9494787489975942,0.3090909090909091
2018,12973,39,1795.0,1211,495,89,0,23,112,37,67,0,0.9504178272980501,0.33035714285714285
2018,12973,40,1265.0,928,283,54,0,7,49,10,57,0,0.9573122529644269,0.20408163265306123
2018,12973,41,2096.0,1486,562,48,1,8,42,41,111,0,0.9770992366412213,0.9761904761904762
2018,12973,42,1055.0,677,327,51,1,9,75,22,36,0,0.9516587677725118,0.29333333333333333
2018,12973,43,1405.0,939,404,62,1,11,86,11,81,0,0.9558718861209965,0.12790697674418605
2018,12973,44,1403.0,973,346,84,1,8,136,31,42,0,0.940128296507484,0.22794117647058823
2018,12973,45,1569.0,1036,467,66,0,18,121,18,105,0,0.9579349904397706,0.1487603305785124
2018,12973,46,1577.0,1056,460,61,1,24,76,27,80,0,0.9613189600507293,0.35526315789473684
2018,12973,47,2090.0,1470,559,61,0,12,91,76,107,0,0.9708133971291866,0.8351648351648352
2018,12973,48,1797.0,1387,350,60,0,10,112,36,60,0,0.9666110183639399,0.32142857142857145
2018,12973,49,1841.0,1298,461,82,0,16,161,31,125,0,0.955458989679522,0.19254658385093168
2018,12973,50,1198.0,832,326,40,0,14,149,30,54,0,0.9666110183639399,0.20134228187919462
2018,12973,51,1845.0,1354,443,48,1,3,25,48,107,0,0.9739837398373984,1.92
2018,12973,52,1958.0,1385,520,53,2,10,92,16,99,0,0.9729315628192032,0.17391304347826086
2018,12973,53,1301.0,849,394,58,1,11,53,23,68,0,0.9554189085318986,0.4339622641509434
2018,12973,54,1073.0,729,299,45,1,7,125,16,28,0,0.9580615097856477,0.128
2018,12973,55,1149.0,798,276,75,0,20,162,28,79,0,0.9347258485639687,0.1728395061728395
2018,12973,56,830.0,507,283,40,0,1,34,14,75,0,0.9518072289156626,0.4117647058823529
2018,12973,58,1082.0,732,283,67,0,17,154,24,36,0,0.9380776340110906,0.15584415584415584
2018,12973,60,1197.0,846,323,28,0,4,52,19,69,0,0.9766081871345029,0.36538461538461536
2018,12973,61,2012.0,1461,482,69,1,15,117,38,78,0,0.9657057654075547,0.3247863247863248
2018,12973,62,1733.0,1192,492,49,0,4,88,41,117,0,0.9717253317945759,0.4659090909090909
2018,12973,65,1621.0,1137,419,65,1,9,104,31,113,3,0.9599012954966071,0.2980769230769231
2018,12973,67,1889.0,1337,499,53,0,16,112,32,116,0,0.9719428268925357,0.2857142857142857
2018,12973,69,1156.0,791,317,48,1,7,88,20,71,0,0.9584775086505191,0.22727272727272727
2018,12973,71,1824.0,1271,486,67,0,16,164,49,94,0,0.9632675438596491,0.29878048780487804
2018,12973,72,1598.0,1153,400,45,0,16,90,40,81,0,0.9718397997496871,0.4444444444444444
2018,12973,73,908.0,651,213,44,0,12,161,24,28,0,0.9515418502202643,0.14906832298136646
2018,12973,74,1501.0,1058,387,56,0,17,125,57,80,0,0.9626915389740173,0.456
2018,12973,75,1455.0,981,403,71,0,6,118,22,70,0,0.9512027491408934,0.1864406779661017
2018,12973,77,1439.0,910,479,50,0,11,32,28,80,0,0.9652536483669215,0.875
2018,12973,78,1371.0,935,384,52,1,12,106,38,44,0,0.9620714806710431,0.3584905660377358
2018,12973,80,1366.0,973,349,44,2,7,82,22,99,0,0.9677891654465594,0.2682926829268293
2018,12973,81,2021.0,1418,538,65,0,9,84,35,111,0,0.9678377041068777,0.4166666666666667
2018,12973,83,1541.0,1101,379,61,1,10,88,30,69,0,0.9604153147306943,0.3409090909090909
2018,12973,84,1336.0,926,350,60,0,17,94,30,58,0,0.9550898203592815,0.3191489361702128
2018,12973,87,1960.0,1431,470,59,2,14,106,39,114,0,0.9698979591836735,0.36792452830188677
2018,12973,88,1379.0,916,415,48,0,8,94,16,101,0,0.9651921682378535,0.1702127659574468
2018,12973,90,2193.0,1506,608,79,3,7,60,30,142,0,0.9639762881896945,0.5
2018,12973,91,1903.0,1373,470,60,0,3,84,27,105,0,0.9684708355228586,0.32142857142857145
2018,12973,92,1848.0,1275,494,79,0,20,130,39,102,0,0.9572510822510822,0.3
2018,12973,93,1527.0,1029,423,75,0,19,128,18,71,0,0.9508840864440079,0.140625
2018,12973,94,2112.0,1467,544,101,0,12,92,44,121,0,0.9521780303030303,0.4782608695652174
2018,12973,95,1984.0,1396,501,87,0,11,57,24,124,0,0.9561491935483871,0.42105263157894735
2018,12973,96,2007.0,1391,556,60,2,4,70,42,131,0,0.9701046337817638,0.6
2018,12973,97,2305.0,1647,594,64,2,10,68,23,107,0,0.972234273318872,0.3382352941176471
2018,12973,98,1800.0,1239,489,72,1,5,64,36,118,0,0.96,0.5625
2018,12973,99,1350.0,949,355,46,0,11,30,34,68,0,0.965925925925926,1.1333333333333333
2018,12973,100,1964.0,1316,561,87,2,21,58,47,132,0,0.9557026476578412,0.8103448275862069
2018,12973,101,2052.0,1374,632,46,1,8,60,47,129,0,0.9775828460038987,0.7833333333333333
