season,season_id,school_id,TC,PO,A,E,CI,PB,SBA,CSB,IDP,TP,FLD%,CS%
2020,15204,2,551.0,393,129,29,1,4,38,14,26,0,0.9473684210526315,0.3684210526315789
2020,15204,3,293.0,216,69,8,0,1,36,8,11,0,0.9726962457337884,0.2222222222222222
2020,15204,4,331.0,232,89,10,0,9,28,10,17,0,0.9697885196374623,0.35714285714285715
2020,15204,5,463.0,330,120,13,0,0,36,11,19,0,0.9719222462203023,0.3055555555555556
2020,15204,6,563.0,389,139,35,0,20,76,6,17,0,0.9378330373001776,0.07894736842105263
2020,15204,7,677.0,477,172,28,0,6,74,15,25,0,0.9586410635155096,0.20270270270270271
2020,15204,8,648.0,471,167,10,0,0,20,10,41,0,0.9845679012345679,0.5
2020,15204,9,618.0,432,166,20,0,2,40,24,34,0,0.9676375404530745,0.6
2020,15204,10,714.0,512,179,23,0,4,42,8,41,0,0.9677871148459384,0.19047619047619047
2020,15204,13,664.0,475,158,31,0,6,66,18,11,0,0.9533132530120482,0.2727272727272727
2020,15204,14,416.0,300,106,10,0,3,19,5,12,3,0.9759615384615384,0.2631578947368421
2020,15204,15,300.0,224,66,10,0,3,16,4,12,0,0.9666666666666667,0.25
2020,15204,16,211.0,142,60,9,0,3,32,4,9,0,0.957345971563981,0.125
2020,15204,17,444.0,309,114,21,0,3,54,16,21,0,0.9527027027027027,0.2962962962962963
2020,15204,19,264.0,186,68,10,0,3,15,3,21,0,0.9621212121212122,0.2
2020,15204,20,415.0,277,113,25,0,4,38,7,14,0,0.9397590361445783,0.18421052631578946
2020,15204,21,493.0,332,133,28,0,27,44,18,15,0,0.9432048681541582,0.4090909090909091
2020,15204,22,357.0,249,88,20,0,5,41,6,17,0,0.9439775910364145,0.14634146341463414
2020,15204,24,110.0,78,28,4,0,0,2,0,10,0,0.9636363636363636,0.0
2020,15204,25,719.0,528,169,22,0,1,30,24,23,0,0.9694019471488178,0.8
2020,15204,27,631.0,477,142,12,0,7,38,4,42,0,0.9809825673534073,0.10526315789473684
2020,15204,28,622.0,462,144,16,0,5,20,8,38,0,0.9742765273311897,0.4
2020,15204,29,550.0,405,122,23,1,3,18,7,11,0,0.9581818181818181,0.3888888888888889
2020,15204,30,618.0,429,168,21,0,6,58,4,23,0,0.9660194174757282,0.06896551724137931
2020,15204,31,602.0,426,161,15,0,5,20,12,32,0,0.9750830564784053,0.6
2020,15204,32,608.0,438,146,24,0,3,46,20,30,0,0.9605263157894737,0.43478260869565216
2020,15204,35,529.0,370,146,13,0,2,26,12,24,0,0.9754253308128544,0.46153846153846156
2020,15204,36,460.0,326,106,28,0,8,38,16,21,0,0.9391304347826087,0.42105263157894735
2020,15204,37,640.0,480,149,11,2,5,24,14,31,0,0.9828125,0.5833333333333334
2020,15204,38,152.0,102,44,6,0,3,12,2,3,0,0.9605263157894737,0.16666666666666666
2020,15204,39,715.0,518,164,33,0,0,20,28,30,0,0.9538461538461539,1.4
2020,15204,40,249.0,179,54,16,0,0,18,4,6,0,0.9357429718875502,0.2222222222222222
2020,15204,41,420.0,299,109,12,1,9,12,0,17,0,0.9714285714285714,0.0
2020,15204,42,383.0,278,98,7,0,0,14,5,22,0,0.9817232375979112,0.35714285714285715
2020,15204,43,639.0,447,172,20,0,6,47,15,52,0,0.9687010954616588,0.3191489361702128
2020,15204,44,618.0,444,155,19,0,3,80,16,30,0,0.9692556634304207,0.2
2020,15204,45,113.0,78,32,3,0,0,10,4,7,0,0.9734513274336283,0.4
2020,15204,46,402.0,291,96,15,1,10,40,4,9,0,0.9626865671641791,0.1
2020,15204,47,575.0,423,127,25,0,2,30,9,23,0,0.9565217391304348,0.3
2020,15204,48,640.0,459,160,21,0,1,50,14,49,0,0.9671875,0.28
2020,15204,49,881.0,591,250,40,1,4,79,24,47,0,0.9545970488081725,0.3037974683544304
2020,15204,50,336.0,222,99,15,0,3,52,9,24,0,0.9553571428571429,0.17307692307692307
2020,15204,51,609.0,431,159,19,0,0,6,13,42,0,0.9688013136288999,2.1666666666666665
2020,15204,52,477.0,345,118,14,0,3,28,14,21,0,0.9706498951781971,0.5
2020,15204,53,288.0,216,69,3,0,1,8,6,8,0,0.9895833333333334,0.75
2020,15204,55,350.0,243,77,30,0,19,108,4,3,0,0.9142857142857143,0.037037037037037035
2020,15204,56,525.0,357,142,26,0,4,78,13,43,0,0.9504761904761905,0.16666666666666666
2020,15204,58,302.0,216,72,14,0,4,26,6,12,0,0.9536423841059603,0.23076923076923078
2020,15204,59,369.0,253,96,20,0,0,32,6,11,0,0.94579945799458,0.1875
2020,15204,60,255.0,177,72,6,0,1,20,6,9,0,0.9764705882352941,0.3
2020,15204,61,724.0,495,197,32,0,8,53,16,65,0,0.9558011049723757,0.3018867924528302
2020,15204,62,428.0,307,107,14,0,1,49,8,26,0,0.9672897196261683,0.16326530612244897
2020,15204,64,423.0,286,115,22,1,8,58,12,22,0,0.9479905437352246,0.20689655172413793
2020,15204,65,320.0,234,70,16,0,6,44,3,9,0,0.95,0.06818181818181818
2020,15204,66,530.0,370,135,25,1,6,55,10,13,0,0.9528301886792453,0.18181818181818182
2020,15204,67,522.0,379,126,17,0,1,31,12,20,0,0.9674329501915708,0.3870967741935484
2020,15204,69,196.0,133,55,8,0,3,16,0,11,0,0.9591836734693877,0.0
2020,15204,71,455.0,322,116,17,0,6,28,13,22,0,0.9626373626373627,0.4642857142857143
2020,15204,72,349.0,247,90,12,0,6,42,4,21,0,0.9656160458452722,0.09523809523809523
2020,15204,73,333.0,238,81,14,0,1,14,6,9,0,0.9579579579579579,0.42857142857142855
2020,15204,74,434.0,297,114,23,0,4,20,10,26,0,0.9470046082949308,0.5
2020,15204,75,547.0,363,159,25,0,3,44,10,23,0,0.9542961608775137,0.22727272727272727
2020,15204,76,307.0,207,76,24,0,2,26,2,18,0,0.9218241042345277,0.07692307692307693
2020,15204,77,533.0,360,152,21,0,4,28,8,40,0,0.9606003752345216,0.2857142857142857
2020,15204,78,232.0,165,57,10,0,1,18,3,7,0,0.9568965517241379,0.16666666666666666
2020,15204,80,389.0,288,85,16,0,2,34,4,18,0,0.9588688946015425,0.11764705882352941
2020,15204,81,515.0,375,125,15,0,5,70,12,36,0,0.970873786407767,0.17142857142857143
2020,15204,83,552.0,408,117,27,0,15,48,10,22,0,0.9510869565217391,0.20833333333333334
2020,15204,84,248.0,177,64,7,0,3,14,14,5,0,0.9717741935483871,1.0
2020,15204,87,541.0,388,135,18,0,4,44,19,23,0,0.966728280961183,0.4318181818181818
2020,15204,88,517.0,342,152,23,0,8,38,10,31,0,0.9555125725338491,0.2631578947368421
2020,15204,89,447.0,294,124,29,1,8,66,10,19,0,0.9351230425055929,0.15151515151515152
2020,15204,90,611.0,453,138,20,1,0,24,14,13,0,0.967266775777414,0.5833333333333334
2020,15204,91,795.0,565,208,22,0,3,48,8,51,0,0.9723270440251572,0.16666666666666666
2020,15204,92,877.0,582,260,35,2,6,28,29,34,0,0.9600912200684151,1.0357142857142858
2020,15204,93,832.0,561,234,37,0,8,50,19,44,0,0.9555288461538461,0.38
2020,15204,94,518.0,365,131,22,2,1,10,14,26,0,0.9575289575289575,1.4
2020,15204,95,793.0,549,225,19,0,1,34,13,43,0,0.9760403530895334,0.38235294117647056
2020,15204,96,596.0,429,153,14,0,3,14,4,24,0,0.9765100671140939,0.2857142857142857
2020,15204,97,612.0,429,165,18,0,2,36,7,30,0,0.9705882352941176,0.19444444444444445
2020,15204,98,759.0,529,194,36,0,11,20,13,42,0,0.9525691699604744,0.65
2020,15204,99,585.0,420,141,24,0,3,14,10,25,0,0.958974358974359,0.7142857142857143
