R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,CS,Picked,SB,IBB,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,OPP DP,GDP,division,score
3,4,3,1,0,7,1,1,1,0,0,0,0,,0,0,0,0,02/23/2024,away,16580,527,Oral Roberts,9,True,6,10,-4,loss,4526529,660,2957691.0,2024,1.0,1.0,1.0,
0,4,0,0,0,0,0,0,0,0,0,0,3,,0,0,0,0,02/24/2024,away,16580,527,Oral Roberts,9,True,3,11,-8,loss,4526825,660,2957691.0,2024,0.0,0.0,1.0,
0,3,1,0,0,1,0,0,2,0,0,0,0,,0,0,0,0,02/25/2024,away,16580,527,Oral Roberts,9,True,3,8,-5,loss,4527234,660,2957691.0,2024,0.0,0.0,1.0,
1,3,1,1,0,2,0,0,1,0,0,0,1,,0,0,0,0,02/16/2024,home,16580,519,Ohio,9,True,7,15,-8,loss,4525514,28600,2946944.0,2024,0.0,0.0,1.0,
0,3,0,0,0,0,0,0,1,0,0,0,1,,0,0,0,0,02/17/2024,home,16580,519,Ohio,9,True,2,8,-6,loss,4525808,28600,2946944.0,2024,0.0,0.0,1.0,
1,3,2,0,0,2,0,1,0,1,0,0,1,,0,0,0,0,02/18/2024,home,16580,519,Ohio,9,True,8,3,5,win,4526109,28600,2946944.0,2024,0.0,0.0,1.0,
0,5,2,0,0,2,0,1,0,0,0,0,1,,0,0,0,0,02/20/2024,home,16580,772,Western Ky.,9,True,5,8,-3,loss,4526318,28600,2946944.0,2024,0.0,0.0,1.0,
0,3,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,02/23/2024,home,16580,812,Xavier,9,True,5,9,-4,loss,4526515,28600,2946944.0,2024,0.0,0.0,1.0,
0,2,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,02/18/2024,home,16580,201,Eastern Ill.,10,True,8,9,-1,loss,4526224,228,2826732.0,2024,0.0,0.0,1.0,
0,1,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,02/20/2024,home,16580,716,Troy,9,True,2,13,-11,loss,4526377,228,2826732.0,2024,0.0,0.0,1.0,
1,2,0,0,0,0,0,0,1,0,0,0,1,,0,0,0,0,02/23/2024,neutral,16580,261,Grambling,9,True,7,6,1,win,4526767,228,2826732.0,2024,0.0,0.0,1.0,
0,1,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,02/16/2024,away,16580,90,Cal Poly,9,True,3,1,2,win,4525511,434,2656182.0,2024,0.0,0.0,1.0,
1,5,2,0,0,5,1,2,0,0,0,0,2,,0,0,1,0,02/17/2024,away,16580,90,Cal Poly,9,True,12,8,4,win,4525740,434,2656182.0,2024,0.0,0.0,1.0,
0,2,1,0,0,1,0,1,2,0,0,0,0,,0,0,0,0,02/23/2024,away,16580,626,San Diego St.,9,True,3,10,-7,loss,4526530,434,2656182.0,2024,0.0,0.0,1.0,
0,3,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,02/24/2024,away,16580,112,UC San Diego,9,True,4,8,-4,loss,4526911,434,2656182.0,2024,0.0,0.0,1.0,
1,2,0,0,0,0,0,1,2,1,0,0,1,,0,0,0,0,02/16/2024,home,16580,178,Delaware St.,9,True,8,5,3,win,4525656,48,2948941.0,2024,0.0,0.0,1.0,
0,3,0,0,0,0,0,1,1,1,0,0,1,,0,0,0,0,02/20/2024,home,16580,141,The Citadel,9,True,4,15,-11,loss,4526376,48,2948941.0,2024,1.0,0.0,1.0,
0,2,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,02/23/2024,home,16580,352,Lehigh,9,True,9,13,-4,loss,4526706,48,2948941.0,2024,0.0,0.0,1.0,
1,4,2,0,0,5,1,4,1,1,0,0,0,,0,0,0,0,02/16/2024,away,16580,19651,High Point,11,True,10,6,4,win,4525496,368,2950868.0,2024,0.0,0.0,1.0,
0,4,1,0,0,1,0,0,0,0,0,0,1,,0,0,0,0,02/17/2024,away,16580,19651,High Point,9,True,1,6,-5,loss,4525795,368,2950868.0,2024,0.0,0.0,1.0,
1,5,2,0,0,2,0,2,0,0,0,0,1,,0,0,0,0,02/17/2024,away,16580,19651,High Point,9,True,11,9,2,win,4544932,368,2950868.0,2024,0.0,0.0,1.0,
0,4,1,0,0,1,0,0,1,0,0,0,1,,0,0,0,0,02/18/2024,away,16580,19651,High Point,9,True,6,1,5,win,4526053,368,2950868.0,2024,0.0,0.0,1.0,
0,3,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,02/23/2024,away,16580,786,William & Mary,9,True,1,11,-10,loss,4526677,368,2950868.0,2024,0.0,0.0,1.0,
1,4,1,0,0,1,0,0,0,1,0,0,2,,0,0,0,0,02/24/2024,away,16580,786,William & Mary,10,True,4,5,-1,loss,4527106,368,2950868.0,2024,0.0,0.0,1.0,
0,1,0,0,0,0,0,0,2,0,0,0,1,,0,0,0,0,02/25/2024,away,16580,786,William & Mary,9,True,0,10,-10,loss,4527361,368,2950868.0,2024,0.0,0.0,1.0,
0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,02/17/2024,home,16580,782,Wichita St.,9,True,0,14,-14,loss,4525987,32,2826054.0,2024,0.0,0.0,1.0,
0,1,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,02/24/2024,home,16580,299,Illinois St.,9,True,5,14,-9,loss,4526830,32,2826054.0,2024,0.0,0.0,1.0,
0,2,1,0,0,1,0,1,1,0,1,0,0,,0,0,0,0,02/17/2024,away,16580,736,Vanderbilt,9,True,5,4,1,win,4525722,229,2811820.0,2024,0.0,0.0,1.0,
0,3,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,02/18/2024,away,16580,736,Vanderbilt,9,True,1,11,-10,loss,4526044,229,2811820.0,2024,0.0,0.0,1.0,
0,1,0,0,0,0,0,1,2,1,0,0,0,,0,0,0,0,02/24/2024,home,16580,711,Towson,9,True,5,1,4,win,4526817,229,2811820.0,2024,0.0,0.0,1.0,
1,2,1,0,0,1,0,2,1,0,1,0,0,,0,0,0,0,02/25/2024,home,16580,711,Towson,9,True,16,1,15,win,4527223,229,2811820.0,2024,0.0,0.0,1.0,
1,5,0,0,0,0,0,0,0,0,0,0,2,,0,0,1,0,02/16/2024,home,16580,178,Delaware St.,9,True,8,5,3,win,4525656,48,2948955.0,2024,0.0,0.0,1.0,
0,5,2,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,02/17/2024,home,16580,178,Delaware St.,9,True,11,4,7,win,4525970,48,2948955.0,2024,0.0,0.0,1.0,
0,4,2,0,0,2,0,2,0,0,0,0,1,,0,0,1,0,02/18/2024,home,16580,178,Delaware St.,9,True,3,8,-5,loss,4526223,48,2948955.0,2024,0.0,0.0,1.0,
1,2,2,1,0,3,0,0,2,0,0,0,0,,0,0,0,0,02/20/2024,home,16580,141,The Citadel,9,True,4,15,-11,loss,4526376,48,2948955.0,2024,0.0,0.0,1.0,
0,4,4,1,0,5,0,0,0,0,0,0,0,,0,0,2,0,02/23/2024,home,16580,352,Lehigh,9,True,9,13,-4,loss,4526706,48,2948955.0,2024,0.0,0.0,1.0,
3,5,4,0,1,6,0,4,0,0,0,0,0,,0,0,3,0,02/24/2024,home,16580,352,Lehigh,9,True,17,6,11,win,4527083,48,2948955.0,2024,0.0,0.0,1.0,
1,5,2,1,0,3,0,0,0,0,0,0,0,,0,0,0,0,02/25/2024,home,16580,352,Lehigh,9,True,7,6,1,win,4527419,48,2948955.0,2024,0.0,0.0,1.0,
0,2,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,02/18/2024,away,16580,43,Austin Peay,9,True,9,18,-9,loss,4525976,771,2948612.0,2024,0.0,0.0,1.0,
0,5,1,0,0,1,0,1,0,0,0,0,1,,0,0,0,0,02/25/2024,home,16580,609,Saint Louis,9,True,5,8,-3,loss,4527385,771,2948612.0,2024,0.0,0.0,1.0,
