R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,CS,Picked,SB,IBB,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,OPP DP,GDP,score,player_id,division
0,2,1,1,0,2,0,2,2,0,0,0,0,,0,0,0,0,02/25/2023,home,16340,11416,Colorado Mesa,9,True,8,5,3,win,2391755,1274,2649850.0,2023,0.0,0.0,,2649850.0,2.0
0,4,2,1,0,3,0,0,0,0,0,0,0,,0,0,0,0,02/17/2023,home,16340,315,Jacksonville St.,9,True,5,8,-3,loss,2390381,257,2679993.0,2023,0.0,0.0,,2679993.0,1.0
0,3,0,0,0,0,0,1,0,1,0,0,0,,0,0,0,0,02/18/2023,home,16340,315,Jacksonville St.,9,True,10,3,7,win,2390745,257,2679993.0,2023,1.0,1.0,,2679993.0,1.0
0,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,02/19/2023,home,16340,315,Jacksonville St.,9,True,10,5,5,win,2391003,257,2679993.0,2023,0.0,0.0,,2679993.0,1.0
2,3,1,1,0,2,0,1,1,0,0,0,1,,0,0,0,0,02/24/2023,home,16340,554,Princeton,9,True,12,5,7,win,2421512,257,2679993.0,2023,0.0,0.0,,2679993.0,1.0
0,4,0,0,0,0,0,1,0,0,0,0,3,,0,0,0,0,02/25/2023,home,16340,554,Princeton,9,True,9,0,9,win,2391853,257,2679993.0,2023,0.0,0.0,,2679993.0,1.0
0,2,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,1,02/26/2023,home,16340,554,Princeton,9,True,12,7,5,win,2391516,257,2679993.0,2023,0.0,0.0,,2679993.0,1.0
1,2,1,0,0,1,0,0,0,0,0,0,1,,0,0,0,0,02/26/2023,home,16340,554,Princeton,9,True,11,12,-1,loss,2392236,257,2679993.0,2023,0.0,0.0,,2679993.0,1.0
1,4,1,0,0,4,1,1,0,0,0,0,0,,0,0,0,0,02/28/2023,home,16340,1320,Presbyterian,9,True,11,6,5,win,2392442,257,2679993.0,2023,0.0,0.0,,2679993.0,1.0
2,2,1,1,0,2,0,2,2,0,0,0,0,,0,0,0,1,03/03/2023,home,16340,255,Georgia Tech,9,True,7,2,5,win,2392868,257,2679993.0,2023,0.0,0.0,,2679993.0,1.0
0,4,0,0,0,0,0,0,0,0,0,0,4,,0,0,0,0,03/05/2023,neutral,16340,255,Georgia Tech,9,True,1,4,-3,loss,2393426,257,2679993.0,2023,0.0,0.0,,2679993.0,1.0
0,5,1,1,0,2,0,0,0,0,0,0,1,,0,0,0,0,03/07/2023,neutral,16340,253,Ga. Southern,9,True,17,11,6,win,2393811,257,2679993.0,2023,0.0,0.0,,2679993.0,1.0
2,5,1,0,0,1,0,0,1,0,0,0,2,,0,0,0,0,03/10/2023,home,16340,48,Charleston So.,9,True,18,9,9,win,2394421,257,2679993.0,2023,0.0,0.0,,2679993.0,1.0
2,2,1,0,0,1,0,1,1,1,0,0,0,,0,0,0,0,03/11/2023,home,16340,48,Charleston So.,9,True,15,0,15,win,2394828,257,2679993.0,2023,0.0,0.0,,2679993.0,1.0
1,4,2,0,0,5,1,1,0,0,0,0,1,,0,0,0,0,03/14/2023,home,16340,2915,Wofford,9,True,10,8,2,win,2395491,257,2679993.0,2023,0.0,0.0,,2679993.0,1.0
0,3,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,03/18/2023,home,16340,648,South Carolina,9,True,2,12,-10,loss,2425031,257,2679993.0,2023,0.0,0.0,,2679993.0,1.0
0,4,1,0,0,1,0,0,0,0,0,0,1,,0,0,0,0,03/18/2023,home,16340,648,South Carolina,9,True,4,5,-1,loss,2396462,257,2679993.0,2023,0.0,0.0,,2679993.0,1.0
0,3,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,03/19/2023,home,16340,648,South Carolina,9,True,1,12,-11,loss,2396753,257,2679993.0,2023,0.0,0.0,,2679993.0,1.0
1,4,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,03/21/2023,away,16340,254,Georgia St.,9,True,8,3,5,win,2396912,257,2679993.0,2023,0.0,0.0,,2679993.0,1.0
1,3,1,0,0,1,0,1,1,0,0,0,0,,0,0,0,0,02/17/2023,home,16340,575,Richmond,9,True,12,3,9,win,2390261,8,2121009.0,2023,0.0,0.0,,2121009.0,1.0
2,2,2,0,0,2,0,1,2,0,0,0,0,,0,0,0,0,02/18/2023,home,16340,575,Richmond,9,True,13,1,12,win,2390509,8,2121009.0,2023,0.0,0.0,,2121009.0,1.0
2,3,2,0,0,5,1,1,1,0,0,0,1,,0,0,0,0,02/19/2023,home,16340,575,Richmond,9,True,14,1,13,win,2390826,8,2121009.0,2023,0.0,0.0,,2121009.0,1.0
1,4,3,0,0,6,1,4,1,0,0,0,0,,0,0,0,0,02/21/2023,home,16340,692,Tennessee Tech,9,True,7,4,3,win,2391089,8,2121009.0,2023,1.0,0.0,,2121009.0,1.0
1,3,2,0,0,5,1,2,1,0,0,0,1,,0,0,0,0,02/22/2023,home,16340,695,UT Martin,9,True,10,0,10,win,2391207,8,2121009.0,2023,0.0,0.0,,2121009.0,1.0
0,4,2,1,0,3,0,0,0,0,0,0,1,,0,0,0,0,02/24/2023,home,16340,19651,High Point,9,True,9,4,5,win,2421149,8,2121009.0,2023,0.0,0.0,,2121009.0,1.0
2,5,2,0,0,5,1,3,0,0,0,0,2,,0,0,0,0,02/25/2023,home,16340,19651,High Point,9,True,10,6,4,win,2421150,8,2121009.0,2023,0.0,0.0,,2121009.0,1.0
0,3,0,0,0,0,0,0,2,0,0,0,2,,1,0,0,0,02/26/2023,home,16340,19651,High Point,9,True,4,2,2,win,2421151,8,2121009.0,2023,0.0,0.0,,2121009.0,1.0
0,2,1,0,0,1,0,2,0,0,1,0,0,,0,0,0,0,02/28/2023,home,16340,315,Jacksonville St.,9,True,17,3,14,win,2392538,8,2121009.0,2023,0.0,0.0,,2121009.0,1.0
1,1,0,0,0,0,0,0,2,0,0,0,0,,0,0,0,0,03/03/2023,home,16340,302,UIC,9,True,11,1,10,win,2392621,8,2121009.0,2023,0.0,0.0,,2121009.0,1.0
0,3,1,0,0,1,0,0,0,0,0,0,1,,0,0,0,0,03/04/2023,home,16340,302,UIC,9,True,10,0,10,win,2392920,8,2121009.0,2023,0.0,0.0,,2121009.0,1.0
2,4,2,0,0,5,1,1,1,0,0,0,0,,0,0,0,0,03/05/2023,home,16340,302,UIC,9,True,9,7,2,win,2393345,8,2121009.0,2023,0.0,0.0,,2121009.0,1.0
1,2,1,0,0,4,1,1,0,1,0,0,0,,0,0,0,0,03/07/2023,away,16340,625,Samford,9,True,11,6,5,win,2393775,8,2121009.0,2023,0.0,0.0,,2121009.0,1.0
2,1,0,0,0,0,0,1,3,0,0,0,0,,0,0,0,0,03/08/2023,home,16340,7,Alabama St.,9,True,21,7,14,win,2393971,8,2121009.0,2023,0.0,0.0,,2121009.0,1.0
0,5,2,1,0,3,0,1,0,0,0,0,1,,1,0,0,0,03/10/2023,home,16340,158,Columbia,9,True,7,10,-3,loss,2394194,8,2121009.0,2023,0.0,0.0,,2121009.0,1.0
1,2,0,0,0,0,0,0,2,0,0,0,0,,0,0,0,0,03/11/2023,home,16340,158,Columbia,9,True,6,2,4,win,2394515,8,2121009.0,2023,0.0,0.0,,2121009.0,1.0
1,3,2,0,0,2,0,0,1,0,0,0,1,,0,0,0,0,03/11/2023,home,16340,158,Columbia,9,True,3,15,-12,loss,2394919,8,2121009.0,2023,0.0,0.0,,2121009.0,1.0
1,3,0,0,0,0,0,0,1,0,0,0,1,,0,0,1,0,03/14/2023,away,16340,646,South Alabama,9,True,4,0,4,win,2395547,8,2121009.0,2023,0.0,0.0,,2121009.0,1.0
0,3,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,03/16/2023,away,16340,235,Florida,9,True,0,3,-3,loss,2395715,8,2121009.0,2023,0.0,0.0,,2121009.0,1.0
1,5,4,1,0,8,1,5,0,0,0,0,0,,0,0,0,0,03/17/2023,away,16340,235,Florida,9,True,7,8,-1,loss,2425105,8,2121009.0,2023,0.0,0.0,,2121009.0,1.0
1,5,1,0,0,1,0,1,0,0,0,0,1,,0,0,0,0,03/17/2023,away,16340,235,Florida,9,True,6,3,3,win,2395785,8,2121009.0,2023,0.0,0.0,,2121009.0,1.0
1,4,2,0,0,5,1,3,0,0,0,0,0,,0,0,0,0,03/21/2023,home,16340,9,UAB,9,True,12,2,10,win,2396856,8,2121009.0,2023,0.0,0.0,,2121009.0,1.0
1,4,1,0,0,1,0,0,1,0,0,0,1,,0,0,0,0,03/24/2023,home,16340,334,Kentucky,12,True,3,4,-1,loss,2397294,8,2121009.0,2023,0.0,0.0,,2121009.0,1.0
1,3,0,0,0,0,0,0,1,0,0,0,1,,0,0,0,0,02/17/2023,away,16340,234,Florida St.,9,True,7,12,-5,loss,2390432,317,2669558.0,2023,1.0,1.0,,2669558.0,1.0
0,2,1,0,0,1,0,1,0,0,0,1,0,,0,1,0,0,02/18/2023,away,16340,234,Florida St.,9,True,1,5,-4,loss,2390776,317,2669558.0,2023,0.0,0.0,,2669558.0,1.0
0,4,0,0,0,0,0,2,0,0,0,0,1,,0,0,0,0,02/19/2023,away,16340,234,Florida St.,9,True,10,17,-7,loss,2390969,317,2669558.0,2023,0.0,0.0,,2669558.0,1.0
0,4,1,0,0,1,0,0,0,0,0,0,2,,1,0,0,0,02/21/2023,home,16340,248,George Mason,9,True,10,2,8,win,2391140,317,2669558.0,2023,0.0,0.0,,2669558.0,1.0
2,2,0,0,0,0,0,0,1,0,0,1,0,,0,0,1,0,02/24/2023,home,16340,167,Cornell,9,True,11,5,6,win,2391442,317,2669558.0,2023,0.0,0.0,,2669558.0,1.0
1,3,1,0,0,1,0,0,1,0,0,0,0,,0,0,0,0,02/25/2023,home,16340,167,Cornell,9,True,9,2,7,win,2391894,317,2669558.0,2023,0.0,0.0,,2669558.0,1.0
0,2,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,02/26/2023,home,16340,167,Cornell,9,True,7,5,2,win,2392199,317,2669558.0,2023,0.0,0.0,,2669558.0,1.0
1,3,1,0,0,1,0,1,0,1,0,0,0,,0,0,0,0,03/04/2023,home,16340,368,UMass Lowell,9,True,11,5,6,win,2422671,317,2669558.0,2023,0.0,0.0,,2669558.0,1.0
0,1,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,03/04/2023,home,16340,368,UMass Lowell,9,True,1,5,-4,loss,2393231,317,2669558.0,2023,0.0,0.0,,2669558.0,1.0
0,4,2,1,0,3,0,2,0,0,0,0,0,,0,0,0,0,03/05/2023,home,16340,368,UMass Lowell,9,True,5,12,-7,loss,2393553,317,2669558.0,2023,0.0,0.0,,2669558.0,1.0
1,5,2,1,1,5,0,1,0,0,0,0,0,,0,0,0,0,03/07/2023,home,16340,741,VMI,9,True,9,4,5,win,2393861,317,2669558.0,2023,0.0,0.0,,2669558.0,1.0
1,6,3,2,0,5,0,3,0,0,0,0,1,,0,0,0,0,03/08/2023,home,16340,740,VCU,9,True,19,5,14,win,2394058,317,2669558.0,2023,0.0,0.0,,2669558.0,1.0
0,4,1,0,0,1,0,0,0,0,0,0,2,,0,0,1,0,03/10/2023,away,16340,10411,USC Upstate,9,True,5,6,-1,loss,2394407,317,2669558.0,2023,0.0,0.0,,2669558.0,1.0
1,4,2,0,0,2,0,1,0,0,0,0,0,,1,0,0,0,03/11/2023,away,16340,10411,USC Upstate,9,True,6,9,-3,loss,2395184,317,2669558.0,2023,0.0,0.0,,2669558.0,1.0
0,4,2,0,0,2,0,0,0,0,0,0,0,,0,0,1,0,03/11/2023,away,16340,10411,USC Upstate,9,True,2,1,1,win,2394844,317,2669558.0,2023,1.0,1.0,,2669558.0,1.0
1,4,2,1,0,3,0,0,1,0,0,0,1,,0,0,0,0,02/01/2023,home,16340,445,Morehouse,9,True,10,0,10,win,2389628,30151,2527857.0,2023,0.0,0.0,,2527857.0,2.0
3,5,2,1,0,3,0,0,1,0,0,0,1,,0,0,0,0,02/03/2023,away,16340,422,Miles,9,True,16,2,14,win,2415333,30151,2527857.0,2023,0.0,0.0,,2527857.0,2.0
0,5,0,0,0,0,0,0,1,0,0,0,0,,0,0,1,1,02/04/2023,away,16340,422,Miles,10,True,6,7,-1,loss,2389782,30151,2527857.0,2023,0.0,0.0,,2527857.0,2.0
1,3,1,0,0,1,0,0,1,0,0,0,1,,0,0,1,0,02/04/2023,away,16340,422,Miles,9,True,4,0,4,win,2408101,30151,2527857.0,2023,0.0,0.0,,2527857.0,2.0
1,4,2,0,0,2,0,0,1,0,0,0,0,,0,0,2,0,02/10/2023,away,16340,12830,Tusculum,9,True,3,11,-8,loss,2417898,30151,2527857.0,2023,0.0,0.0,,2527857.0,2.0
0,4,0,0,0,0,0,0,0,0,0,0,1,,0,1,0,0,02/10/2023,away,16340,12830,Tusculum,9,True,4,8,-4,loss,2417942,30151,2527857.0,2023,0.0,0.0,,2527857.0,2.0
1,4,2,0,0,2,0,1,1,0,0,0,1,,1,1,1,0,02/11/2023,away,16340,12830,Tusculum,9,True,5,6,-1,loss,2418005,30151,2527857.0,2023,0.0,0.0,,2527857.0,2.0
0,4,1,1,0,2,0,1,0,0,0,0,0,,0,0,0,0,02/14/2023,home,16340,1000,Carson-Newman,9,True,4,1,3,win,2390208,30151,2527857.0,2023,0.0,0.0,,2527857.0,2.0
0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,02/17/2023,home,16340,30153,Union (TN),9,True,4,5,-1,loss,2390335,30151,2527857.0,2023,0.0,0.0,,2527857.0,2.0
2,4,3,0,0,3,0,1,0,0,0,0,0,,1,0,0,0,02/18/2023,home,16340,30153,Union (TN),9,True,11,1,10,win,2390610,30151,2527857.0,2023,0.0,0.0,,2527857.0,2.0
0,2,1,0,0,1,0,1,1,0,0,0,0,,0,1,0,0,02/18/2023,home,16340,30153,Union (TN),9,True,5,0,5,win,2408935,30151,2527857.0,2023,0.0,0.0,,2527857.0,2.0
0,4,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,02/21/2023,away,16340,1097,Ga. Southwestern,9,True,0,5,-5,loss,2391180,30151,2527857.0,2023,0.0,0.0,,2527857.0,2.0
2,4,4,1,0,5,0,1,1,0,0,0,0,,0,0,0,0,02/24/2023,away,16340,429,Mississippi Col.,9,True,6,4,2,win,2391513,30151,2527857.0,2023,0.0,0.0,,2527857.0,2.0
2,4,2,0,0,5,1,3,0,0,0,0,0,,0,0,0,0,02/25/2023,away,16340,429,Mississippi Col.,9,True,6,14,-8,loss,2391846,30151,2527857.0,2023,0.0,0.0,,2527857.0,2.0
0,4,2,0,0,2,0,0,0,0,0,0,0,,0,0,1,0,02/25/2023,away,16340,429,Mississippi Col.,9,True,1,0,1,win,2408732,30151,2527857.0,2023,0.0,0.0,,2527857.0,2.0
1,3,2,1,0,3,0,2,0,0,1,0,0,,0,0,0,0,02/28/2023,home,16340,445,Morehouse,9,True,14,2,12,win,2389884,30151,2527857.0,2023,0.0,0.0,,2527857.0,2.0
1,1,0,0,0,0,0,0,0,1,0,0,1,,0,0,0,0,02/18/2023,home,16340,464,Omaha,9,True,23,0,23,win,2390738,110,2826118.0,2023,0.0,0.0,,2826118.0,1.0
3,1,0,0,0,0,0,0,3,1,0,0,0,,0,0,0,0,03/12/2023,away,16340,529,Oregon,9,True,16,0,16,win,2395101,110,2826118.0,2023,0.0,0.0,,2826118.0,1.0
0,4,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,03/17/2023,home,16340,29,Arizona,9,True,5,1,4,win,2396052,110,2826118.0,2023,0.0,0.0,,2826118.0,1.0
1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,03/24/2023,home,16340,756,Washington,9,True,5,1,4,win,2397567,110,2826118.0,2023,0.0,0.0,,2826118.0,1.0
1,2,0,0,0,0,0,0,1,1,0,0,1,,0,0,0,0,02/21/2023,away,16340,2810,St. Thomas (TX),9,True,7,3,4,win,2391085,23121,2500230.0,2023,0.0,0.0,,2500230.0,3.0
0,2,1,1,0,2,0,0,0,0,0,0,1,,0,0,0,0,03/07/2023,away,16340,715,Trinity (TX),9,True,15,3,12,win,2393918,23121,2500230.0,2023,0.0,0.0,,2500230.0,3.0
0,3,0,0,0,0,0,1,0,0,1,0,1,,0,0,0,0,03/10/2023,neutral,16340,60,Bethel (MN),9,True,2,3,-1,loss,2394261,23121,2500230.0,2023,0.0,0.0,,2500230.0,3.0
2,1,1,1,0,2,0,1,2,0,0,2,0,,0,0,0,0,03/13/2023,neutral,16340,662,Southern Me.,9,True,11,1,10,win,2395237,23121,2500230.0,2023,0.0,0.0,,2500230.0,3.0
1,3,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,02/18/2023,away,16340,245,Gallaudet,9,True,3,11,-8,loss,2390652,213,2142592.0,2023,0.0,0.0,,2142592.0,3.0
2,4,2,1,0,3,0,5,2,0,0,0,1,,0,0,0,0,02/18/2023,away,16340,245,Gallaudet,9,True,22,3,19,win,2407901,213,2142592.0,2023,0.0,0.0,,2142592.0,3.0
0,2,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,02/23/2023,neutral,16340,443,Moravian,9,True,3,5,-2,loss,2391219,213,2142592.0,2023,0.0,0.0,,2142592.0,3.0
0,2,2,0,0,2,0,0,0,0,0,1,0,,0,0,1,0,02/24/2023,neutral,16340,475,SUNY New Paltz,9,True,5,17,-12,loss,2422509,213,2142592.0,2023,0.0,0.0,,2142592.0,3.0
0,4,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,02/24/2023,neutral,16340,30170,Alfred St.,9,True,2,9,-7,loss,2391338,213,2142592.0,2023,0.0,0.0,,2142592.0,3.0
0,3,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,03/11/2023,away,16340,117,Capital,9,True,6,12,-6,loss,2394644,213,2142592.0,2023,0.0,0.0,,2142592.0,3.0
0,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,03/16/2023,away,16340,0,Penn St.-Wilkes Barre,9,True,13,0,13,win,2424971,213,2142592.0,2023,0.0,0.0,,2142592.0,3.0
0,4,2,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,02/04/2023,away,16340,13028,Anderson (SC),9,True,0,6,-6,loss,2389765,985,2818790.0,2023,0.0,0.0,,2818790.0,2.0
0,3,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,02/04/2023,away,16340,13028,Anderson (SC),9,True,1,0,1,win,2407990,985,2818790.0,2023,0.0,0.0,,2818790.0,2.0
1,5,1,0,1,3,0,1,1,0,0,0,0,,0,0,0,0,02/05/2023,away,16340,13028,Anderson (SC),9,True,10,9,1,win,2389838,985,2818790.0,2023,0.0,0.0,,2818790.0,2.0
0,3,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,02/18/2023,home,16340,243,Frostburg St.,9,True,2,8,-6,loss,2418503,985,2818790.0,2023,0.0,0.0,,2818790.0,2.0
1,5,2,0,0,2,0,1,0,0,0,0,1,,0,0,0,0,02/18/2023,home,16340,243,Frostburg St.,9,True,8,14,-6,loss,2418504,985,2818790.0,2023,0.0,0.0,,2818790.0,2.0
2,5,4,2,0,6,0,0,0,0,0,0,0,,0,0,0,0,02/19/2023,home,16340,243,Frostburg St.,9,True,6,13,-7,loss,2418505,985,2818790.0,2023,0.0,0.0,,2818790.0,2.0
1,5,2,0,0,2,0,0,0,0,0,0,0,,0,0,1,0,02/22/2023,away,16340,1028,Concord,9,True,3,10,-7,loss,2391220,985,2818790.0,2023,0.0,0.0,,2818790.0,2.0
1,3,2,1,1,5,0,1,0,0,0,0,0,,0,0,0,0,02/24/2023,home,16340,12799,Wheeling,9,True,3,2,1,win,2421477,985,2818790.0,2023,0.0,0.0,,2818790.0,2.0
