R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,CS,Picked,SB,IBB,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,OPP DP,score,GDP,division
2,5,3,0,0,3,0,1,0,0,0,0,0,,0,0,1,0,02/19/2023,home,16340,30024,Utah Valley,9,True,20,4,16,win,2391044,108,2827453.0,2023,0.0,,0.0,1.0
3,4,3,1,0,7,1,2,1,0,0,0,1,,0,0,0,1,02/17/2023,home,16340,428,Minnesota,9,True,9,7,2,win,2390428,104,2680961.0,2023,0.0,,0.0,1.0
0,4,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,02/18/2023,neutral,16340,473,New Mexico,9,True,1,3,-2,loss,2390597,104,2680961.0,2023,0.0,,0.0,1.0
2,4,4,0,0,4,0,1,2,0,0,0,0,,0,0,0,0,02/19/2023,neutral,16340,428,Minnesota,9,True,13,2,11,win,2391059,104,2680961.0,2023,0.0,,0.0,1.0
0,3,1,1,0,2,0,0,0,0,0,0,1,,0,0,0,0,02/20/2023,neutral,16340,528,Oregon St.,9,True,0,11,-11,loss,2391074,104,2680961.0,2023,0.0,,0.0,1.0
0,1,1,0,0,1,0,0,1,0,0,0,0,,0,0,0,0,02/19/2023,home,16340,587,Rutgers,9,True,3,16,-13,loss,2390859,115,2680034.0,2023,0.0,,0.0,1.0
0,2,0,0,0,0,0,0,2,1,0,0,2,,0,0,0,0,02/17/2023,home,16340,587,Rutgers,9,True,11,5,6,win,2390300,115,2680008.0,2023,0.0,,0.0,1.0
2,5,4,0,0,4,0,3,1,0,0,0,0,,0,0,1,0,02/18/2023,home,16340,587,Rutgers,9,True,10,0,10,win,2390536,115,2680008.0,2023,0.0,,0.0,1.0
0,3,0,0,0,0,0,1,2,0,0,0,1,,0,0,0,0,02/19/2023,home,16340,587,Rutgers,9,True,3,16,-13,loss,2390859,115,2680008.0,2023,1.0,,1.0,1.0
1,2,1,0,0,1,0,1,1,1,0,0,0,,0,0,0,0,02/17/2023,neutral,16340,739,Villanova,9,True,7,2,5,win,2390887,111,2681302.0,2023,1.0,,1.0,1.0
0,4,0,0,0,0,0,0,1,0,0,0,3,,0,0,0,0,02/18/2023,neutral,16340,754,Washington St.,9,True,4,17,-13,loss,2390592,111,2681302.0,2023,0.0,,0.0,1.0
0,3,0,0,0,0,0,0,1,0,0,0,1,,0,1,0,0,02/19/2023,neutral,16340,754,Washington St.,9,True,6,8,-2,loss,2390888,111,2681302.0,2023,0.0,,0.0,1.0
0,2,1,0,0,1,0,0,0,0,0,0,1,,0,0,0,0,02/18/2023,home,16340,236,Fordham,9,True,19,5,14,win,2390733,1045,2807542.0,2023,0.0,,0.0,1.0
2,5,4,1,0,8,1,4,0,0,0,0,0,,0,0,1,0,02/17/2023,away,16340,288,Houston,9,True,7,0,7,win,2390277,107,2660077.0,2023,0.0,,0.0,1.0
0,4,0,0,0,0,0,0,1,0,0,0,2,,0,0,0,0,02/18/2023,away,16340,288,Houston,9,True,5,3,2,win,2390519,107,2660077.0,2023,0.0,,0.0,1.0
