R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,CS,Picked,SB,IBB,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,OPP DP,GDP,division,score
0,4,1,0,0,1,0,2,0,0,1,0,1,,0,0,0,0,02/25/2024,away,16580,728,Upper Iowa,9,True,11,5,6,win,5249736,799,2955754.0,2024,0.0,0.0,2.0,
0,4,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,02/25/2024,away,16580,728,Upper Iowa,9,True,3,8,-5,loss,5249731,799,2955754.0,2024,0.0,0.0,2.0,
0,4,1,1,0,2,0,2,0,0,0,0,1,,0,0,0,0,02/27/2024,home,16580,728,Upper Iowa,9,True,7,8,-1,loss,4526607,799,2955754.0,2024,1.0,0.0,2.0,
1,5,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,02/16/2024,away,16580,406,Mercer,10,True,5,4,1,win,4525479,709,2680558.0,2024,0.0,0.0,1.0,
2,3,1,0,0,1,0,0,1,0,0,0,0,,0,0,0,0,02/17/2024,away,16580,406,Mercer,9,True,2,5,-3,loss,4525717,709,2680558.0,2024,0.0,0.0,1.0,
0,4,2,1,0,3,0,0,0,0,0,0,0,,1,1,0,0,02/18/2024,away,16580,406,Mercer,9,True,3,13,-10,loss,4526037,709,2680558.0,2024,0.0,0.0,1.0,
0,3,0,0,0,0,0,0,0,1,0,0,2,,0,0,1,0,02/23/2024,away,16580,792,Winthrop,9,True,0,3,-3,loss,4526462,709,2680558.0,2024,0.0,0.0,1.0,
0,3,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,02/24/2024,away,16580,792,Winthrop,9,True,2,1,1,win,4526858,709,2680558.0,2024,0.0,0.0,1.0,
1,4,2,0,0,2,0,0,0,0,0,0,1,,0,0,1,0,02/24/2024,away,16580,792,Winthrop,9,True,2,7,-5,loss,4543472,709,2680558.0,2024,0.0,0.0,1.0,
2,4,1,0,0,1,0,0,1,0,0,0,3,,0,0,0,0,02/25/2024,away,16580,792,Winthrop,9,True,7,1,6,win,4527171,709,2680558.0,2024,0.0,0.0,1.0,
0,5,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,03/01/2024,away,16580,654,Southeast Mo. St.,9,True,5,6,-1,loss,4527815,709,2680558.0,2024,0.0,0.0,1.0,
0,4,1,0,0,1,0,0,1,0,0,0,3,,0,0,0,0,02/02/2024,home,16580,1170,Lenoir-Rhyne,9,True,2,7,-5,loss,4524975,30092,2938584.0,2024,0.0,0.0,2.0,
0,4,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,02/03/2024,home,16580,1170,Lenoir-Rhyne,9,True,0,4,-4,loss,4525033,30092,2938584.0,2024,0.0,0.0,2.0,
0,4,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,02/03/2024,home,16580,1170,Lenoir-Rhyne,9,True,5,7,-2,loss,4544909,30092,2938584.0,2024,0.0,0.0,2.0,
0,5,2,1,0,3,0,0,0,0,0,0,1,,0,0,0,0,02/04/2024,home,16580,1170,Lenoir-Rhyne,9,True,4,5,-1,loss,4525081,30092,2938584.0,2024,0.0,0.0,2.0,
0,2,0,0,0,0,0,0,2,0,0,0,1,,0,0,0,0,02/09/2024,home,16580,608,Saint Leo,9,True,2,5,-3,loss,4525233,30092,2938584.0,2024,0.0,0.0,2.0,
0,4,2,1,0,3,0,0,0,0,0,0,0,,0,0,0,0,02/10/2024,home,16580,608,Saint Leo,9,True,0,5,-5,loss,4525313,30092,2938584.0,2024,0.0,0.0,2.0,
0,4,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,0,02/10/2024,home,16580,608,Saint Leo,9,True,2,4,-2,loss,4543261,30092,2938584.0,2024,0.0,0.0,2.0,
0,3,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,02/13/2024,away,16580,230,Florida Tech,9,True,3,4,-1,loss,4525407,30092,2938584.0,2024,0.0,0.0,2.0,
2,3,1,0,0,1,0,1,2,0,0,0,1,,0,0,0,0,02/16/2024,home,16580,208,Eckerd,9,True,13,1,12,win,4525944,30092,2938584.0,2024,0.0,0.0,2.0,
0,4,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,02/16/2024,home,16580,208,Eckerd,9,True,5,0,5,win,4542799,30092,2938584.0,2024,0.0,0.0,2.0,
0,4,2,0,0,2,0,0,1,0,0,0,0,,0,0,0,1,02/20/2024,home,16580,584,Rollins,10,True,5,4,1,win,4526386,30092,2938584.0,2024,0.0,0.0,2.0,
1,4,2,0,0,2,0,0,0,0,0,0,1,,0,0,0,0,02/23/2024,home,16580,22,American Int'l,9,True,5,1,4,win,4526732,30092,2938584.0,2024,0.0,0.0,2.0,
