season,season_id,school_id,division,date,game_id,opponent_id,opponent_name,runs_scored,runs_allowed,run_difference,TC,PO,A,E,CI,PB,SBA,CSB,IDP,TP,FLD%,CS%
2018,12973,2,1.0,02/16/2018,85301,562,Quinnipiac,10,9,1,44.0,27,13,4,0,0,4,1,3,0,0.9090909090909091,0.25
2018,12973,2,1.0,02/17/2018,85509,562,Quinnipiac,5,4,1,40.0,27,11,2,0,1,2,2,3,0,0.95,1.0
2018,12973,2,1.0,02/18/2018,85842,562,Quinnipiac,11,2,9,43.0,27,12,4,0,0,2,0,3,0,0.9069767441860465,0.0
2018,12973,2,1.0,02/24/2018,86724,699,Texas Southern,6,8,-2,38.0,27,10,1,0,1,2,0,3,0,0.9736842105263158,0.0
2018,12973,2,1.0,02/24/2018,86833,699,Texas Southern,6,5,1,35.0,27,6,2,0,0,4,4,0,0,0.9428571428571428,1.0
2018,12973,2,1.0,02/25/2018,86992,699,Texas Southern,8,1,7,42.0,27,14,1,0,0,0,0,3,0,0.9761904761904762,
2018,12973,2,1.0,02/27/2018,87345,30088,Tex. Permian Basin,8,2,6,38.0,27,7,4,0,0,0,0,0,0,0.8947368421052632,
2018,12973,2,1.0,03/02/2018,87670,432,Mississippi Val.,8,7,1,46.0,30,14,2,0,0,4,0,0,0,0.9565217391304348,0.0
2018,12973,2,1.0,03/03/2018,87972,432,Mississippi Val.,11,3,8,45.0,27,18,0,0,0,2,3,3,0,1.0,1.5
2018,12973,2,1.0,03/03/2018,88066,432,Mississippi Val.,15,4,11,39.0,27,12,0,0,0,4,0,0,0,1.0,0.0
2018,12973,2,1.0,03/07/2018,89123,0,Dallas Christian,11,0,11,38.0,27,11,0,0,0,0,0,6,0,1.0,
2018,12973,2,1.0,03/09/2018,89449,2743,UIW,2,5,-3,34.0,24,7,3,0,0,4,2,3,0,0.9117647058823529,0.5
2018,12973,2,1.0,03/10/2018,89805,2743,UIW,7,8,-1,39.0,26,11,2,0,1,6,2,5,0,0.9487179487179487,0.3333333333333333
2018,12973,2,1.0,03/11/2018,90353,2743,UIW,6,7,-1,38.0,24,13,1,0,1,2,0,6,0,0.9736842105263158,0.0
2018,12973,2,1.0,03/13/2018,90752,0,Baker,6,5,1,45.0,30,14,1,0,3,8,1,5,0,0.9777777777777777,0.125
2018,12973,2,1.0,03/16/2018,91306,474,New Orleans,7,6,1,37.0,27,10,0,0,1,6,0,4,0,1.0,0.0
2018,12973,2,1.0,03/17/2018,91622,474,New Orleans,6,5,1,39.0,27,11,1,0,0,2,0,2,0,0.9743589743589743,0.0
2018,12973,2,1.0,03/18/2018,92176,474,New Orleans,10,14,-4,41.0,27,13,1,0,1,2,2,1,0,0.975609756097561,1.0
2018,12973,2,1.0,03/20/2018,92518,702,UT Arlington,0,3,-3,37.0,24,13,0,0,0,0,0,3,0,1.0,
2018,12973,2,1.0,03/23/2018,92932,676,SFA,7,11,-4,44.0,30,14,0,0,1,0,0,6,0,1.0,
2018,12973,2,1.0,03/24/2018,93227,676,SFA,6,13,-7,42.0,27,11,4,0,3,4,0,0,0,0.9047619047619048,0.0
2018,12973,2,1.0,03/25/2018,93675,676,SFA,3,16,-13,34.0,21,12,1,0,1,12,0,8,0,0.9705882352941176,0.0
2018,12973,2,1.0,03/29/2018,94536,624,Sam Houston,1,10,-9,34.0,24,8,2,0,0,6,0,0,0,0.9411764705882353,0.0
2018,12973,2,1.0,03/30/2018,94761,624,Sam Houston,6,7,-1,44.0,29,11,4,0,1,14,0,0,0,0.9090909090909091,0.0
2018,12973,2,1.0,03/31/2018,95219,624,Sam Houston,0,10,-10,30.0,23,6,1,0,0,4,0,3,0,0.9666666666666667,0.0
2018,12973,2,1.0,04/03/2018,95856,702,UT Arlington,8,12,-4,37.0,27,9,1,0,3,2,0,3,0,0.972972972972973,0.0
2018,12973,2,1.0,04/04/2018,95977,553,Prairie View,16,0,16,42.0,27,13,2,0,0,0,0,3,0,0.9523809523809523,
2018,12973,2,1.0,04/06/2018,96274,402,McNeese,2,3,-1,35.0,24,10,1,0,1,0,2,2,0,0.9714285714285714,inf
2018,12973,2,1.0,04/07/2018,96580,402,McNeese,9,3,6,36.0,27,8,1,0,0,4,0,3,0,0.9722222222222222,0.0
2018,12973,2,1.0,04/08/2018,97034,402,McNeese,2,6,-4,36.0,24,12,0,0,0,10,0,3,0,1.0,0.0
2018,12973,2,1.0,04/10/2018,97723,0,Dallas Christian,1,0,1,46.0,27,19,0,0,0,0,2,3,0,1.0,inf
2018,12973,2,1.0,04/13/2018,98262,287,Houston Christian,20,23,-3,35.0,27,4,4,0,1,6,2,0,0,0.8857142857142857,0.3333333333333333
2018,12973,2,1.0,04/14/2018,98622,287,Houston Christian,5,13,-8,41.0,27,14,0,0,0,2,0,3,0,1.0,0.0
2018,12973,2,1.0,04/15/2018,99252,287,Houston Christian,4,3,1,41.0,27,13,1,0,0,0,4,3,0,0.975609756097561,inf
2018,12973,2,1.0,04/17/2018,99431,698,TCU,4,2,2,44.0,33,9,2,0,0,8,0,3,0,0.9545454545454546,0.0
2018,12973,2,1.0,04/20/2018,100085,346,Lamar University,5,7,-2,37.0,24,12,1,0,0,2,0,3,0,0.972972972972973,0.0
2018,12973,2,1.0,04/21/2018,100384,346,Lamar University,0,5,-5,34.0,24,9,1,0,0,2,0,3,0,0.9705882352941176,0.0
2018,12973,2,1.0,04/22/2018,101148,346,Lamar University,5,4,1,51.0,39,11,1,0,0,6,0,3,0,0.9803921568627451,0.0
2018,12973,2,1.0,04/24/2018,101598,697,Texas A&M,2,8,-6,35.0,24,10,1,0,0,2,0,5,0,0.9714285714285714,0.0
2018,12973,2,1.0,04/28/2018,102598,639,Siena,0,5,-5,34.0,24,9,1,0,0,8,2,0,0,0.9705882352941176,0.25
2018,12973,2,1.0,04/28/2018,102811,639,Siena,2,3,-1,35.0,25,10,0,0,0,0,0,0,0,1.0,
2018,12973,2,1.0,05/01/2018,103503,698,TCU,0,4,-4,36.0,27,9,0,0,0,6,0,6,0,1.0,0.0
2018,12973,2,1.0,05/04/2018,103915,1004,Central Ark.,3,10,-7,40.0,27,12,1,0,0,0,0,9,0,0.975,
2018,12973,2,1.0,05/05/2018,104223,1004,Central Ark.,8,9,-1,41.0,27,14,0,0,0,0,0,3,0,1.0,
2018,12973,2,1.0,05/06/2018,104720,1004,Central Ark.,4,16,-12,39.0,24,12,3,0,0,4,0,4,0,0.9230769230769231,0.0
2018,12973,2,1.0,05/08/2018,105023,432,Mississippi Val.,15,6,9,40.0,27,11,2,0,0,2,3,0,0,0.95,1.5
2018,12973,2,1.0,05/09/2018,105099,432,Mississippi Val.,20,4,16,44.0,27,15,2,0,0,0,0,6,0,0.9545454545454546,
2018,12973,2,1.0,05/11/2018,105301,508,Northwestern St.,1,9,-8,35.0,24,9,2,0,0,0,0,3,0,0.9428571428571428,
2018,12973,2,1.0,05/12/2018,105553,508,Northwestern St.,0,5,-5,34.0,24,9,1,0,0,6,0,0,0,0.9705882352941176,0.0
2018,12973,2,1.0,05/13/2018,105779,508,Northwestern St.,1,6,-5,35.0,24,9,2,0,0,8,0,3,0,0.9428571428571428,0.0
2018,12973,2,1.0,05/15/2018,105866,706,UTSA,0,5,-5,30.0,24,6,0,0,0,2,0,0,0,1.0,0.0
2018,12973,2,1.0,05/17/2018,106003,26172,A&M-Corpus Christi,5,7,-2,42.0,27,14,1,0,0,2,1,0,0,0.9761904761904762,0.5
2018,12973,2,1.0,05/18/2018,106184,26172,A&M-Corpus Christi,2,9,-7,40.0,27,11,2,0,1,2,0,2,0,0.95,0.0
2018,12973,2,1.0,05/19/2018,106367,26172,A&M-Corpus Christi,3,10,-7,37.0,27,9,1,0,0,4,0,2,0,0.972972972972973,0.0
2018,12973,4,3.0,02/28/2018,87462,1130,Huntingdon,13,7,6,33.0,23,7,3,0,0,2,0,5,0,0.9090909090909091,0.0
2018,12973,4,3.0,03/01/2018,87517,28593,Birmingham-So.,7,4,3,34.0,23,10,1,0,0,0,0,0,0,0.9705882352941176,
2018,12973,4,3.0,03/02/2018,87628,217,Emory,9,5,4,33.0,23,9,1,0,0,2,0,0,0,0.9696969696969697,0.0
2018,12973,4,3.0,03/03/2018,88289,973,Berry,3,10,-7,36.0,22,11,3,0,0,4,0,3,0,0.9166666666666666,0.0
2018,12973,4,3.0,03/04/2018,88560,385,Marietta,3,5,-2,37.0,25,11,1,0,1,4,2,0,0,0.972972972972973,0.5
2018,12973,4,3.0,03/16/2018,91405,30047,Keystone,9,12,-3,35.0,25,9,1,0,1,2,0,2,0,0.9714285714285714,0.0
2018,12973,4,3.0,03/17/2018,91871,182,Denison,12,9,3,32.0,25,6,1,0,0,0,0,0,0,0.96875,
2018,12973,4,3.0,03/18/2018,92295,492,North Central (IL),5,4,1,33.0,26,5,2,0,1,2,0,0,0,0.9393939393939394,0.0
2018,12973,4,3.0,03/23/2018,93064,21,Alma,3,2,1,33.0,23,8,2,0,0,2,0,0,0,0.9393939393939394,0.0
2018,12973,4,3.0,03/23/2018,93093,21,Alma,6,4,2,26.0,19,6,1,0,0,2,0,0,0,0.9615384615384616,0.0
2018,12973,4,3.0,03/25/2018,93746,21,Alma,11,6,5,41.0,26,9,6,0,0,10,2,0,0,0.8536585365853658,0.2
2018,12973,4,3.0,03/25/2018,93793,21,Alma,1,17,-16,19.0,14,2,3,0,4,4,0,0,0,0.8421052631578947,0.0
2018,12973,4,3.0,03/28/2018,94290,278,Heidelberg,15,2,13,26.0,22,4,0,0,0,2,0,2,0,1.0,0.0
2018,12973,4,3.0,03/30/2018,94956,326,Kalamazoo,1,0,1,28.0,18,9,1,0,0,0,0,6,0,0.9642857142857143,
2018,12973,4,3.0,03/30/2018,95009,326,Kalamazoo,7,3,4,26.0,22,4,0,0,0,6,0,5,0,1.0,0.0
2018,12973,4,3.0,04/02/2018,95774,326,Kalamazoo,18,3,15,25.0,21,3,1,0,0,4,0,1,0,0.96,0.0
2018,12973,4,3.0,04/02/2018,95778,326,Kalamazoo,5,2,3,32.0,23,9,0,0,0,0,0,0,0,1.0,
2018,12973,4,3.0,04/08/2018,97097,525,Olivet,9,1,8,24.0,17,6,1,0,0,0,0,4,0,0.9583333333333334,
2018,12973,4,3.0,04/08/2018,97175,525,Olivet,10,9,1,33.0,22,8,3,0,1,4,0,2,0,0.9090909090909091,0.0
2018,12973,4,3.0,04/09/2018,97490,525,Olivet,6,1,5,22.0,17,2,3,0,0,0,0,0,0,0.8636363636363636,
2018,12973,4,3.0,04/10/2018,97687,525,Olivet,10,2,8,38.0,27,11,0,0,0,0,0,0,0,1.0,
2018,12973,4,3.0,04/12/2018,98079,114,Calvin,0,4,-4,27.0,16,9,2,0,0,0,0,0,0,0.9259259259259259,
2018,12973,4,3.0,04/12/2018,98085,114,Calvin,6,4,2,27.0,22,4,1,0,0,0,0,0,0,0.9629629629629629,
2018,12973,4,3.0,04/13/2018,98319,114,Calvin,5,1,4,23.0,18,5,0,0,1,2,0,0,0,1.0,0.0
2018,12973,4,3.0,04/13/2018,98351,114,Calvin,8,0,8,33.0,25,7,1,0,0,0,0,0,0,0.9696969696969697,
2018,12973,4,3.0,04/21/2018,100484,15,Albion,1,0,1,27.0,20,6,1,0,0,2,0,2,0,0.9629629629629629,0.0
2018,12973,4,3.0,04/21/2018,100689,15,Albion,13,4,9,30.0,20,7,3,0,0,2,0,0,0,0.9,0.0
