season,season_id,school_id,division,date,game_id,opponent_id,opponent_name,runs_scored,runs_allowed,run_difference,TC,PO,A,E,CI,PB,SBA,CSB,IDP,TP,FLD%,CS%
2017,12560,3,2.0,02/28/2017,208080,1348,St. Thomas Aquinas,5,2,3,24.0,31,6,1,0,0,4,0,3,0,0.9736842105263158,0.0
2017,12560,3,2.0,03/02/2017,208218,241,Franklin Pierce,3,7,-4,27.0,43,13,3,0,1,4,0,3,0,0.9491525423728814,0.0
2017,12560,3,2.0,03/03/2017,208471,241,Franklin Pierce,0,2,-2,27.0,46,19,0,0,0,4,3,5,0,1.0,0.75
2017,12560,3,2.0,03/06/2017,209514,470,New Haven,8,5,3,27.0,35,5,3,0,0,2,0,2,0,0.9302325581395349,0.0
2017,12560,3,2.0,03/09/2017,210069,984,Bloomfield,16,9,7,27.0,37,8,2,1,1,2,5,0,0,0.9574468085106383,2.5
2017,12560,3,2.0,03/10/2017,210286,682,Stonehill,10,4,6,27.0,39,11,1,0,0,2,2,3,0,0.9803921568627451,1.0
2017,12560,3,2.0,03/11/2017,210484,0,St. Thomas (FL),2,14,-12,24.0,34,6,4,0,1,4,0,3,0,0.9090909090909091,0.0
2017,12560,3,2.0,03/11/2017,210694,1460,Wilmington (DE),9,13,-4,27.0,44,15,2,0,1,0,4,0,0,0.9672131147540983,inf
2017,12560,3,2.0,03/13/2017,211215,995,Caldwell,18,2,16,27.0,35,8,0,0,0,0,0,0,0,1.0,
2017,12560,3,2.0,03/14/2017,211388,995,Caldwell,10,2,8,27.0,41,13,1,0,0,0,0,6,0,0.9818181818181818,
2017,12560,3,2.0,03/16/2017,211660,410,Merrimack,7,6,1,21.0,28,7,0,0,0,4,0,0,0,1.0,0.0
2017,12560,3,2.0,03/16/2017,211675,410,Merrimack,9,3,6,27.0,45,15,3,0,1,0,0,3,0,0.9523809523809523,
2017,12560,3,2.0,03/17/2017,211704,20794,Lynn,2,15,-13,24.0,37,11,2,0,0,2,0,3,0,0.96,0.0
2017,12560,3,2.0,03/18/2017,212021,20794,Lynn,0,5,-5,24.0,35,10,1,0,0,0,0,3,0,0.9782608695652174,
2017,12560,3,2.0,03/21/2017,213138,362,LIU Post,10,3,7,27.0,37,9,1,0,0,0,2,0,0,0.9787234042553191,inf
2017,12560,3,2.0,03/23/2017,213322,437,Molloy,6,2,4,27.0,38,10,1,0,0,2,0,0,0,0.9795918367346939,0.0
2017,12560,3,2.0,03/25/2017,213907,593,St. Anselm,8,0,8,27.0,39,12,0,0,0,0,0,0,0,1.0,
2017,12560,3,2.0,03/25/2017,214074,593,St. Anselm,2,8,-6,27.0,37,10,0,0,0,0,2,2,0,1.0,inf
2017,12560,3,2.0,03/26/2017,214526,613,Saint Michael's,12,5,7,27.0,45,16,2,0,1,2,1,6,0,0.9682539682539683,0.5
2017,12560,3,2.0,03/26/2017,214570,613,Saint Michael's,9,2,7,21.0,31,10,0,0,0,2,2,6,0,1.0,1.0
2017,12560,3,2.0,03/29/2017,215101,658,Southern Conn. St.,3,6,-3,27.0,36,7,2,0,0,0,0,0,0,0.9555555555555556,
2017,12560,3,2.0,04/02/2017,216398,470,New Haven,1,9,-8,24.0,38,11,3,0,1,6,0,6,0,0.9423076923076923,0.0
2017,12560,3,2.0,04/02/2017,216468,470,New Haven,0,11,-11,24.0,37,13,0,0,0,2,1,8,0,1.0,0.5
2017,12560,3,2.0,04/03/2017,216518,470,New Haven,0,1,-1,24.0,33,8,1,0,0,2,0,0,0,0.9761904761904762,0.0
2017,12560,3,2.0,04/05/2017,216844,533,Pace,4,1,3,27.0,37,8,2,0,0,0,0,0,0,0.9574468085106383,
