season,season_id,school_id,division,date,game_id,field,opponent_id,opponent_name,runs_scored,runs_allowed,run_difference,TC,PO,A,E,CI,PB,SBA,CSB,IDP,TP,FLD%,CS%
2021,15580,2,1.0,02/20/2021,2047833,home,1395,Tarleton St.,16,3,13,34.0,21,10,3,0,0,2,2,3,0,0.9117647058823529,1.0
2021,15580,2,1.0,02/20/2021,2047877,home,1395,Tarleton St.,7,2,5,27.0,21,6,0,0,1,0,0,3,0,1.0,
2021,15580,2,1.0,02/21/2021,2016426,away,1395,Tarleton St.,4,10,-6,33.0,24,6,3,0,1,2,0,0,0,0.9090909090909091,0.0
2021,15580,2,1.0,02/23/2021,2016514,away,697,Texas A&M,6,5,1,33.0,27,6,0,0,1,4,2,0,0,1.0,0.5
2021,15580,2,1.0,02/26/2021,2016631,home,472,New Mexico St.,8,7,1,34.0,27,6,1,0,0,2,0,0,0,0.9705882352941176,0.0
2021,15580,2,1.0,02/27/2021,2052323,home,472,New Mexico St.,15,9,6,39.0,27,9,3,0,0,2,2,2,0,0.9230769230769231,1.0
2021,15580,2,1.0,02/28/2021,2016923,home,472,New Mexico St.,2,12,-10,27.0,21,2,4,0,1,4,0,0,0,0.8518518518518519,0.0
2021,15580,2,1.0,03/02/2021,2017048,away,702,UT Arlington,2,3,-1,39.0,33,6,0,0,0,2,1,0,0,1.0,0.5
2021,15580,2,1.0,03/05/2021,2017163,home,30,Arkansas St.,26,3,23,40.0,27,10,3,0,0,0,0,0,0,0.925,
2021,15580,2,1.0,03/06/2021,2017287,home,30,Arkansas St.,6,5,1,44.0,30,12,2,0,0,0,0,3,0,0.9545454545454546,
2021,15580,2,1.0,03/07/2021,2017510,home,30,Arkansas St.,9,4,5,36.0,27,7,2,0,1,2,0,6,0,0.9444444444444444,0.0
2021,15580,2,1.0,03/12/2021,2017750,away,1004,Central Ark.,9,8,1,50.0,33,14,3,0,0,0,0,5,0,0.94,
2021,15580,2,1.0,03/13/2021,2017946,away,1004,Central Ark.,5,4,1,33.0,21,11,1,0,0,0,0,0,0,0.9696969696969697,
2021,15580,2,1.0,03/13/2021,2026414,away,1004,Central Ark.,3,6,-3,36.0,24,11,1,0,1,0,0,2,0,0.9722222222222222,
2021,15580,2,1.0,03/14/2021,2018109,away,1004,Central Ark.,8,9,-1,33.0,24,9,0,0,1,0,2,0,0,1.0,inf
2021,15580,2,1.0,03/19/2021,2018488,home,483,Nicholls,6,7,-1,40.0,27,11,2,0,0,8,2,0,0,0.95,0.25
2021,15580,2,1.0,03/20/2021,2018724,home,483,Nicholls,4,1,3,35.0,21,13,1,0,0,0,0,3,0,0.9714285714285714,
2021,15580,2,1.0,03/20/2021,2024782,home,483,Nicholls,6,5,1,40.0,27,12,1,0,0,4,0,0,0,0.975,0.0
2021,15580,2,1.0,03/21/2021,2018867,home,483,Nicholls,4,7,-3,42.0,27,11,4,0,0,6,1,2,0,0.9047619047619048,0.16666666666666666
2021,15580,2,1.0,03/26/2021,2019099,away,474,New Orleans,9,6,3,32.0,27,5,0,0,0,0,0,0,0,1.0,
2021,15580,2,1.0,03/27/2021,2019321,away,474,New Orleans,19,10,9,32.0,21,11,0,0,0,2,0,6,0,1.0,0.0
2021,15580,2,1.0,03/27/2021,2024557,away,474,New Orleans,4,8,-4,34.0,24,7,3,0,2,0,0,2,0,0.9117647058823529,
2021,15580,2,1.0,03/28/2021,2019490,away,474,New Orleans,16,12,4,42.0,27,13,2,0,0,2,0,8,0,0.9523809523809523,0.0
2021,15580,2,1.0,04/01/2021,2019752,home,508,Northwestern St.,2,8,-6,52.0,36,15,1,0,0,4,0,0,0,0.9807692307692307,0.0
2021,15580,2,1.0,04/02/2021,2019927,home,508,Northwestern St.,11,0,11,33.0,21,12,0,0,0,0,0,0,0,1.0,
2021,15580,2,1.0,04/02/2021,2025037,home,508,Northwestern St.,3,5,-2,46.0,27,18,1,0,1,0,2,0,0,0.9782608695652174,inf
2021,15580,2,1.0,04/03/2021,2020069,home,508,Northwestern St.,5,6,-1,43.0,30,12,1,0,0,6,0,0,0,0.9767441860465116,0.0
2021,15580,2,1.0,04/09/2021,2020566,away,655,Southeastern La.,13,9,4,40.0,27,13,0,0,0,10,0,1,0,1.0,0.0
2021,15580,2,1.0,04/10/2021,2020802,away,655,Southeastern La.,3,8,-5,28.0,18,9,1,0,0,10,2,0,0,0.9642857142857143,0.2
2021,15580,2,1.0,04/10/2021,2024563,away,655,Southeastern La.,8,4,4,40.0,27,13,0,0,0,10,3,5,0,1.0,0.3
2021,15580,2,1.0,04/11/2021,2020991,away,655,Southeastern La.,0,7,-7,44.0,24,16,4,0,0,2,2,3,0,0.9090909090909091,1.0
2021,15580,2,1.0,04/13/2021,2021089,home,702,UT Arlington,11,10,1,37.0,27,7,3,0,2,0,0,0,0,0.918918918918919,
2021,15580,2,1.0,04/16/2021,2021232,away,703,Texas,0,18,-18,35.0,24,9,2,0,0,6,2,3,0,0.9428571428571428,0.3333333333333333
2021,15580,2,1.0,04/17/2021,2021359,away,703,Texas,1,3,-2,31.0,24,7,0,0,0,0,0,2,0,1.0,
2021,15580,2,1.0,04/18/2021,2021625,away,703,Texas,1,11,-10,23.0,18,3,2,0,0,6,0,0,0,0.9130434782608695,0.0
2021,15580,2,1.0,04/23/2021,2021909,home,2743,UIW,1,12,-11,27.0,21,6,0,0,0,0,0,0,0,1.0,
2021,15580,2,1.0,04/24/2021,2022119,home,2743,UIW,10,7,3,34.0,21,13,0,0,0,0,1,0,0,1.0,inf
