season,season_id,school_id,division,date,game_id,field,opponent_id,opponent_name,runs_scored,runs_allowed,TC,PO,A,E,CI,PB,SBA,CSB,IDP,TP,FLD%,CS%
2024,16580,2,1.0,02/16/2024,4525643,home,503,NIU,16,6,32.0,21,11,0,0,0,2,0,0,0,1.0,0.0
2024,16580,2,1.0,02/16/2024,4542964,home,503,NIU,12,2,28.0,24,4,0,0,0,0,0,0,0,1.0,
2024,16580,2,1.0,02/17/2024,4525964,home,503,NIU,10,4,38.0,27,10,1,0,3,0,0,0,0,0.9736842105263158,
2024,16580,2,1.0,02/18/2024,4526250,home,503,NIU,7,14,35.0,27,7,1,0,2,2,0,0,0,0.9714285714285714,0.0
2024,16580,2,1.0,02/21/2024,4526430,neutral,521,Oklahoma St.,4,8,36.0,27,7,2,0,0,4,0,0,0,0.9444444444444444,0.0
2024,16580,2,1.0,02/23/2024,4526755,home,540,Penn,4,3,38.0,27,10,1,0,1,2,2,2,0,0.9736842105263158,1.0
2024,16580,2,1.0,02/24/2024,4527077,home,540,Penn,10,4,36.0,27,7,2,0,0,2,0,0,0,0.9444444444444444,0.0
2024,16580,2,1.0,02/24/2024,4544130,home,540,Penn,2,7,28.0,21,7,0,0,1,4,2,2,0,1.0,0.5
2024,16580,2,1.0,02/25/2024,4527443,home,540,Penn,9,3,34.0,27,5,2,0,0,2,0,0,0,0.9411764705882353,0.0
2024,16580,4,3.0,02/23/2024,4526632,neutral,778,Wheaton (IL),9,5,28.0,20,6,2,0,0,2,0,0,0,0.9285714285714286,0.0
2024,16580,4,3.0,02/24/2024,4527157,away,28593,Birmingham-So.,5,12,26.0,14,9,3,0,0,0,0,2,0,0.8846153846153846,
2024,16580,4,3.0,02/25/2024,4527284,neutral,1162,LaGrange,6,4,20.0,10,9,1,0,0,2,2,2,0,0.95,1.0
2024,16580,5,1.0,02/16/2024,4492207,neutral,301,Illinois,5,4,49.0,33,13,3,0,0,0,0,5,0,0.9387755102040817,
2024,16580,5,1.0,02/16/2024,4492208,neutral,301,Illinois,1,3,30.0,24,5,1,0,0,0,0,0,0,0.9666666666666667,
2024,16580,5,1.0,02/17/2024,4526012,away,236,Fordham,14,7,39.0,27,11,1,0,0,2,3,0,0,0.9743589743589743,1.5
2024,16580,5,1.0,02/18/2024,4526022,away,749,Wake Forest,3,14,23.0,18,4,1,0,0,6,0,0,0,0.9565217391304348,0.0
