season,season_id,school_id,stats_player_seq,division,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,IBB,TB,GDP,HBP,SH,SF,DP,Picked,OPP DP,RC,PA,BA,SecA,OBP,SLG,OPS,OPS+,ISO,BAbip,XR,XRR,XRB,PSN,RS%,HR%,K%,BB%,K-BB%,BB/K
2022,15860,2,1997675.0,1.0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2022,15860,2,1997699.0,1.0,59,235,46,72,18,2,10,51,8,1,36,34,3,124,3.0,12,0,3,0.0,0,4.0,55.05916083916083,274,0.306,0.404,0.438,0.655,1.093,147.0,0.102,0.32,99.628,95.466,97.792,8.9,0.327,0.036,0.124,0.131,-0.007,1.059
2022,15860,2,2347955.0,1.0,59,54,7,12,3,1,1,9,1,2,3,16,0,20,0.0,0,1,0,0.0,0,0.0,4.6755172413793105,58,0.222,0.185,0.259,0.463,0.722,69.0,0.111,0.297,13.112,12.664,14.228,1.0,0.429,0.017,0.276,0.052,0.224,0.188
2022,15860,2,2347956.0,1.0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2022,15860,2,2347964.0,1.0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2022,15860,2,2347965.0,1.0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2022,15860,2,2347968.0,1.0,59,99,17,34,2,1,1,17,1,0,17,18,0,41,2.0,2,0,0,0.0,0,2.0,19.859830508474577,116,0.343,0.253,0.457,0.455,0.912,88.0,0.051,0.412,28.986,28.92,29.48,1.0,0.308,0.009,0.155,0.147,0.008,0.944
2022,15860,2,2347972.0,1.0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2022,15860,2,2347974.0,1.0,59,201,39,61,17,1,3,32,5,2,21,58,0,89,3.0,15,1,2,0.0,0,3.0,37.722,225,0.303,0.259,0.431,0.547,0.978,113.0,0.1,0.408,70.326,68.96,71.56,3.8,0.383,0.013,0.258,0.093,0.165,0.362
2022,15860,2,2347976.0,1.0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2022,15860,2,2347979.0,1.0,59,189,41,50,10,1,13,42,3,1,20,73,0,101,1.0,15,0,3,0.0,1,1.0,40.27057268722467,212,0.265,0.386,0.401,0.661,1.062,144.0,0.069,0.349,79.266,76.838,78.916,4.9,0.389,0.061,0.344,0.094,0.25,0.274
2022,15860,2,2347980.0,1.0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2022,15860,2,2347982.0,1.0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2022,15860,2,2347985.0,1.0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2022,15860,2,2347987.0,1.0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2022,15860,2,2494394.0,1.0,59,135,36,27,7,0,8,33,4,1,19,54,1,58,2.0,9,0,1,0.0,0,2.0,20.631951219512196,155,0.2,0.393,0.355,0.541,0.896,103.0,0.052,0.257,43.308,41.986,43.512,5.3,0.596,0.052,0.348,0.123,0.225,0.352
2022,15860,2,2494396.0,1.0,59,213,46,69,13,1,8,43,13,1,24,48,0,108,8.0,7,0,3,0.0,0,8.0,42.79263157894737,240,0.324,0.352,0.417,0.61,1.027,131.0,0.075,0.381,82.346,82.278,84.356,9.9,0.413,0.033,0.2,0.1,0.1,0.5
2022,15860,2,2494397.0,1.0,59,235,67,67,15,0,17,66,16,2,47,82,0,133,2.0,4,1,2,0.0,3,2.0,57.728442906574394,285,0.285,0.54,0.414,0.702,1.116,158.0,0.064,0.362,101.864,99.766,102.752,16.5,0.495,0.06,0.288,0.165,0.123,0.573
2022,15860,2,2494398.0,1.0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2022,15860,2,2494946.0,1.0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2022,15860,2,2678253.0,1.0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2022,15860,2,2678254.0,1.0,59,10,2,4,2,0,0,0,0,0,0,5,0,6,1.0,0,0,0,0.0,0,1.0,1.8,10,0.4,0.2,0.4,0.8,1.2,186.0,0.2,0.8,4.53,4.832,4.904,,0.5,0.0,0.5,0.0,0.5,0.0
2022,15860,2,2678258.0,1.0,59,3,1,1,0,0,0,0,0,0,0,1,0,1,0.0,0,0,0,0.0,0,0.0,0.3333333333333333,3,0.333,0.0,0.333,0.333,0.666,38.0,0.0,0.5,0.652,0.634,0.648,,1.0,0.0,0.333,0.0,0.333,0.0
2022,15860,2,2678259.0,1.0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2022,15860,2,2678260.0,1.0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2022,15860,2,2678261.0,1.0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2022,15860,2,2678262.0,1.0,59,4,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,-0.368,-0.392,-0.384,,,0.0,0.25,0.0,0.25,0.0
