season,season_id,school_id,stats_player_seq,G,AB,H,TB,R,2B,3B,HR,RBI,BB,HBP,SF,SH,K,DP,SB,CS,Picked,IBB,OPP DP,GDP,PA,BA,OBP,SLG,OPS,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2017,12560,2,1884440.0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,,
2017,12560,2,1884442.0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,,
2017,12560,2,1884461.0,55,52,11,13,9,2,0,0,1,3,0,0,2,19,0.0,0,1,0,0,0.0,0.0,57,0.21153846153846154,0.24561403508771928,0.28846153846153844,0.5340755735492577,0.3333333333333333,0.6428571428571429,0.0,0.3333333333333333,0.05263157894736842,0.2807017543859649,0.15789473684210525
2017,12560,3,1537987.0,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2017,12560,3,1653690.0,48,101,25,36,17,4,2,1,9,8,2,2,0,14,1.0,1,2,0,0,0.0,0.0,111,0.24752475247524752,0.3153153153153153,0.42574257425742573,0.7410578895727411,0.2727272727272727,0.47058823529411764,0.009009009009009009,0.12612612612612611,0.07207207207207207,0.05405405405405404,0.5714285714285714
2017,12560,3,1653703.0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,,
2017,12560,3,1771379.0,48,132,33,40,17,4,0,1,19,8,5,3,3,23,5.0,6,3,0,0,0.0,0.0,146,0.25,0.3150684931506849,0.3409090909090909,0.6559775840597758,0.2882882882882883,0.35555555555555557,0.00684931506849315,0.15753424657534246,0.0547945205479452,0.10273972602739725,0.34782608695652173
2017,12560,3,1771384.0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,,
2017,12560,3,1771391.0,48,72,19,23,8,4,0,0,10,8,3,1,1,11,0.0,0,0,0,0,0.0,0.0,82,0.2638888888888889,0.36585365853658536,0.375,0.7408536585365854,0.3064516129032258,0.26666666666666666,0.0,0.13414634146341464,0.0975609756097561,0.03658536585365854,0.7272727272727273
2017,12560,3,1890341.0,48,30,10,12,6,2,0,0,3,3,0,2,0,4,0.0,0,1,0,0,0.0,0.0,35,0.3333333333333333,0.37142857142857144,0.4666666666666667,0.8380952380952381,0.35714285714285715,0.46153846153846156,0.0,0.11428571428571428,0.08571428571428572,0.028571428571428567,0.75
