season,season_id,school_id,stats_player_seq,division,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,IBB,TB,GDP,HBP,SH,SF,DP,Picked,OPP DP,RC,PA,BA,SecA,OBP,SLG,OPS,OPS+,ISO,BAbip,XR,XRR,XRB,PSN,RS%,HR%,K%,BB%,K-BB%,BB/K
2023,16340,2,2309437.0,1.0,59.0,237,58,84,10,5,12,46,33,4,23,54,0,140,4.0,1,0,4,0.0,2,7.0,55.25750943396226,264,0.354,0.456,0.409,0.705,1.114,149.0,0.105,0.411,110.078,107.876,112.152,17.6,0.479,0.045,0.205,0.087,0.118,0.426
2023,16340,2,2347974.0,1.0,59.0,224,44,66,13,4,6,41,11,6,28,52,0,105,4.0,11,1,2,0.0,1,5.0,41.1487969924812,255,0.295,0.321,0.412,0.571,0.983,111.0,0.112,0.357,79.324,78.016,83.332,7.8,0.384,0.024,0.204,0.11,0.094,0.538
2023,16340,2,2494396.0,1.0,32.0,112,22,31,4,1,4,14,2,0,10,22,0,49,2.0,4,0,1,0.0,0,4.0,17.83527559055118,123,0.277,0.268,0.366,0.518,0.884,90.0,0.062,0.31,35.724,35.092,35.784,2.7,0.439,0.033,0.179,0.081,0.098,0.455
2023,16340,2,2494397.0,1.0,57.0,208,64,78,14,3,25,67,9,6,40,58,4,173,3.0,2,0,2,0.0,2,5.0,80.57698412698413,250,0.375,0.663,0.48,1.034,1.514,253.0,0.111,0.417,137.226,132.91,138.76,13.2,0.411,0.1,0.232,0.16,0.072,0.69
2023,16340,2,2678254.0,1.0,11.0,27,2,3,1,0,0,2,0,0,1,6,0,4,2.0,0,0,0,0.0,0,2.0,0.30428571428571427,28,0.111,0.074,0.143,0.185,0.328,-31.0,0.037,0.143,0.632,1.188,1.276,,0.5,0.0,0.214,0.036,0.178,0.167
2023,16340,2,2678263.0,1.0,21.0,53,8,9,5,0,0,5,0,0,11,18,0,14,0.0,1,3,1,0.0,0,1.0,5.240579710144928,68,0.17,0.302,0.309,0.358,0.667,37.0,0.094,0.25,9.586,8.738,8.976,,0.381,0.0,0.265,0.162,0.103,0.611
2023,16340,2,2678268.0,1.0,9.0,16,1,1,0,0,0,0,0,0,0,5,0,1,0.0,0,0,0,0.0,0,0.0,0.0625,16,0.062,0.0,0.062,0.062,0.124,-75.0,0.0,0.091,-0.55,-0.64,-0.6,,1.0,0.0,0.312,0.0,0.312,0.0
2023,16340,2,2678295.0,1.0,57.0,204,45,58,9,0,10,38,4,0,27,38,0,97,5.0,15,0,0,0.0,0,6.0,41.68487804878048,231,0.284,0.343,0.433,0.569,1.002,112.0,0.044,0.308,73.386,73.252,74.664,5.7,0.389,0.043,0.165,0.117,0.048,0.711
2023,16340,2,2826933.0,1.0,56.0,201,29,59,6,2,2,27,2,0,11,45,0,75,3.0,10,3,2,0.0,1,3.0,27.308634361233477,217,0.294,0.144,0.369,0.423,0.792,63.0,0.06,0.365,54.65,53.274,54.408,2.0,0.346,0.009,0.207,0.051,0.156,0.244
2023,16340,2,2826936.0,1.0,59.0,196,26,43,9,1,2,26,1,2,22,31,0,60,3.0,4,3,2,0.0,0,4.0,18.835947136563878,223,0.219,0.194,0.309,0.367,0.676,40.0,0.061,0.248,38.932,37.566,39.792,1.3,0.358,0.009,0.139,0.099,0.04,0.71
2023,16340,2,2826937.0,1.0,33.0,96,18,27,6,1,0,19,8,0,9,25,0,35,4.0,2,1,1,0.0,1,4.0,11.857247706422019,107,0.281,0.26,0.355,0.438,0.793,66.0,0.094,0.375,25.4,25.748,26.256,0.0,0.474,0.0,0.234,0.084,0.15,0.36
2023,16340,2,2826939.0,1.0,28.0,76,8,14,1,0,0,8,0,1,14,27,0,15,4.0,2,3,1,0.0,0,4.0,5.0112499999999995,94,0.184,0.184,0.319,0.211,0.53,-4.0,0.013,0.28,6.394,6.934,7.868,,0.267,0.0,0.287,0.149,0.138,0.519
2023,16340,2,2826941.0,1.0,58.0,230,40,75,9,1,2,43,10,3,26,27,1,92,7.0,4,2,4,0.0,4,10.0,35.58127819548872,262,0.326,0.217,0.401,0.452,0.853,75.0,0.052,0.356,66.774,65.23,68.42,3.3,0.369,0.008,0.103,0.099,0.004,0.963
2023,16340,5,1981115.0,1.0,55.0,198,41,56,9,2,4,25,15,2,31,35,0,81,3.0,7,3,3,0.0,0,3.0,33.46793388429752,235,0.283,0.348,0.4,0.485,0.885,84.0,0.076,0.321,61.36,59.504,61.948,6.3,0.411,0.017,0.149,0.132,0.017,0.886
2023,16340,5,2308162.0,1.0,11.0,27,2,4,1,0,0,2,1,1,0,4,0,5,1.0,1,0,0,0.0,0,2.0,0.5821428571428572,27,0.148,0.037,0.185,0.222,0.407,-15.0,0.037,0.174,2.148,2.306,3.052,0.0,0.4,0.0,0.148,0.0,0.148,0.0
2023,16340,5,2308200.0,1.0,49.0,183,29,46,7,3,0,23,12,6,29,32,0,59,3.0,2,0,1,0.0,2,5.0,21.241116279069768,213,0.251,0.262,0.362,0.377,0.739,49.0,0.087,0.303,38.814,38.104,42.828,0.0,0.377,0.0,0.15,0.136,0.014,0.906
2023,16340,5,2482688.0,1.0,54.0,198,35,59,13,1,3,28,16,5,22,35,0,83,1.0,9,3,1,0.0,1,2.0,32.873133047210295,224,0.298,0.288,0.402,0.505,0.907,90.0,0.081,0.348,64.11,62.238,66.636,5.1,0.368,0.013,0.156,0.098,0.058,0.629
2023,16340,5,2496157.0,1.0,29.0,93,10,24,9,0,1,15,2,0,12,33,0,36,4.0,3,0,0,0.0,1,4.0,12.940185185185184,105,0.258,0.28,0.371,0.495,0.866,84.0,0.097,0.39,25.586,26.388,26.916,1.3,0.237,0.01,0.314,0.114,0.2,0.364
2023,16340,5,2496195.0,1.0,3.0,5,0,1,0,0,0,0,0,0,0,2,0,1,0.0,0,0,0,0.0,0,0.0,0.2,5,0.2,0.0,0.2,0.2,0.4,-20.0,0.0,0.333,0.464,0.438,0.456,,0.0,0.0,0.4,0.0,0.4,0.0
2023,16340,5,2661328.0,1.0,21.0,59,6,14,5,0,1,4,4,2,9,20,0,22,2.0,1,0,0,0.0,0,3.0,7.160579710144927,68,0.237,0.322,0.353,0.475,0.828,76.0,0.085,0.342,14.99,15.3,16.9,1.6,0.217,0.015,0.294,0.132,0.162,0.45
