season,season_id,school_id,stats_player_seq,G,AB,H,TB,R,2B,3B,HR,RBI,BB,HBP,SF,SH,K,DP,SB,CS,Picked,IBB,OPP DP,GDP,PA,BA,OBP,SLG,OPS,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2019,14781,2,1659965.0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,,
2019,14781,2,1767864.0,52,196,51,80,38,12,1,5,25,30,10,2,2,50,6.0,9,3,0,4,0.0,0.0,230,0.2602040816326531,0.39565217391304347,0.5,0.8956521739130434,0.32167832167832167,0.38372093023255816,0.021739130434782608,0.21739130434782608,0.13043478260869565,0.08695652173913043,0.6
2019,14781,2,1767887.0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,,
2019,14781,2,1884436.0,52,211,65,98,44,16,1,5,46,16,8,3,3,34,5.0,4,0,0,0,0.0,0.0,233,0.3080568720379147,0.38197424892703863,0.5687203791469194,0.9506946280739581,0.34285714285714286,0.4642857142857143,0.02145922746781116,0.1459227467811159,0.06866952789699571,0.07725321888412018,0.47058823529411764
2019,14781,2,1884443.0,52,191,78,142,41,13,3,15,63,39,1,3,0,15,3.0,1,0,0,9,0.0,0.0,233,0.4083769633507853,0.5064377682403434,0.9057591623036649,1.4121969305440083,0.38414634146341464,0.2524271844660194,0.06437768240343347,0.06437768240343347,0.16738197424892703,-0.10300429184549356,2.6
2019,14781,2,1884456.0,52,98,32,56,17,7,1,5,31,12,1,3,0,15,4.0,0,0,0,2,0.0,0.0,113,0.32653061224489793,0.39823008849557523,0.7040816326530612,1.1023117211486364,0.3333333333333333,0.3,0.04424778761061947,0.13274336283185842,0.10619469026548672,0.026548672566371695,0.8
2019,14781,2,1884461.0,52,76,18,23,11,2,0,1,8,17,0,1,0,31,1.0,0,1,0,0,0.0,0.0,94,0.23684210526315788,0.3723404255319149,0.34210526315789475,0.7144456886898096,0.37777777777777777,0.29411764705882354,0.010638297872340425,0.32978723404255317,0.18085106382978725,0.14893617021276592,0.5483870967741935
2019,14781,2,1997672.0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,,
2019,14781,2,1997673.0,52,70,15,22,12,1,0,2,8,5,2,1,1,22,0.0,0,4,0,0,0.0,0.0,77,0.21428571428571427,0.2857142857142857,0.35714285714285715,0.6428571428571428,0.2765957446808511,0.5,0.025974025974025976,0.2857142857142857,0.06493506493506493,0.22077922077922077,0.22727272727272727
2019,14781,2,1997674.0,52,3,1,2,0,1,0,0,1,0,0,0,0,2,0.0,0,0,0,0,0.0,0.0,3,0.3333333333333333,0.3333333333333333,1.0,1.3333333333333333,1.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0
