season,season_id,school_id,stats_player_seq,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,IBB,TB,GDP,HBP,SH,SF,DP,Picked,OPP DP,PA,BA,OBP,SLG,OPS,OPS+,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2023,16340,2,2309437.0,4,17,4,10,1,1,1,4,4,0,0,3,0,16,0.0,0,0,0,0.0,0,0.0,17,0.5882352941176471,0.5882352941176471,1.1176470588235294,1.7058823529411766,190.0,0.6923076923076923,0.3333333333333333,0.058823529411764705,0.17647058823529413,0.0,0.17647058823529413,0.0
2023,16340,2,2347974.0,4,15,2,4,2,0,1,2,0,0,1,3,0,9,0.0,1,0,0,0.0,0,1.0,16,0.26666666666666666,0.375,0.8,1.175,131.0,0.2727272727272727,0.2,0.0625,0.1875,0.0625,0.125,0.3333333333333333
2023,16340,2,2494396.0,4,17,4,6,0,0,1,2,0,0,1,5,0,9,0.0,1,0,0,0.0,0,0.0,18,0.35294117647058826,0.4444444444444444,0.5882352941176471,1.0326797385620914,115.0,0.45454545454545453,0.42857142857142855,0.05555555555555555,0.2777777777777778,0.05555555555555555,0.22222222222222224,0.2
2023,16340,2,2494397.0,3,12,3,1,0,0,0,0,0,0,2,8,0,1,0.0,0,0,0,0.0,0,0.0,14,0.08333333333333333,0.21428571428571427,0.08333333333333333,0.2976190476190476,33.0,0.25,1.0,0.0,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.25
2023,16340,2,2678263.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
2023,16340,2,2678295.0,4,15,3,6,0,0,1,3,1,0,1,2,0,9,0.0,1,0,0,0.0,0,0.0,16,0.4,0.5,0.6666666666666666,1.1666666666666665,130.0,0.4166666666666667,0.2857142857142857,0.0625,0.125,0.0625,0.0625,0.5
2023,16340,2,2826933.0,4,14,1,4,0,1,0,1,0,0,0,5,0,6,0.0,1,0,0,0.0,0,0.0,14,0.2857142857142857,0.35714285714285715,0.5,0.8571428571428572,96.0,0.4444444444444444,0.2,0.0,0.35714285714285715,0.0,0.35714285714285715,0.0
2023,16340,2,2826936.0,4,12,2,2,0,0,1,2,0,0,1,1,0,5,0.0,1,1,0,0.0,0,0.0,14,0.16666666666666666,0.2857142857142857,0.5,0.7857142857142857,88.0,0.1,0.3333333333333333,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,1.0
2023,16340,2,2826939.0,4,14,2,3,1,0,0,1,0,0,2,9,0,4,0.0,0,0,0,0.0,0,0.0,16,0.21428571428571427,0.3125,0.35714285714285715,0.6696428571428572,75.0,0.6,0.4,0.0,0.5625,0.125,0.4375,0.2222222222222222
2023,16340,2,2826941.0,4,17,1,5,0,0,0,4,0,0,0,4,0,5,1.0,0,0,0,0.0,0,1.0,17,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.5882352941176471,66.0,0.38461538461538464,0.2,0.0,0.23529411764705882,0.0,0.23529411764705882,0.0
