season,season_id,school_id,stats_player_seq,division,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,IBB,TB,GDP,HBP,SH,SF,DP,Picked,OPP DP,RC,PA,BA,OBP,SLG,OPS,OPS+,ISO,BAbip,XR,XRR,XRB,RS%,HR%,K%,BB%,K-BB%,BB/K
2014,11620,5,1104709.0,1.0,57,38,166,45,7,1,0,15,13,1,34,33,1,0,0.0,20,10,1,6.0,0,0.0,13.232233009708738,83,1.1842105263157894,1.1927710843373494,1.631578947368421,2.8243500317057704,24.0,0.263,7.5,39.126,37.885999999999996,38.711999999999996,1.6767676767676767,0.0,0.39759036144578314,0.40963855421686746,-0.01204819277108432,1.0303030303030303
2014,11620,5,1104710.0,1.0,57,13,150,32,5,0,0,20,2,0,7,23,0,0,0.0,3,1,2,4.0,0,0.0,4.3,23,2.4615384615384617,1.826086956521739,3.230769230769231,5.05685618729097,133.0,0.385,-4.0,23.285999999999998,22.811999999999998,22.804000000000002,3.5714285714285716,0.0,1.0,0.30434782608695654,0.6956521739130435,0.30434782608695654
2014,11620,5,1218820.0,1.0,57,35,225,70,8,2,3,32,27,6,30,16,7,0,0.0,4,2,4,3.0,0,0.0,9.4016,71,2.0,1.4647887323943662,2.9714285714285715,4.4362173038229376,109.0,0.4,3.35,60.17199999999999,54.849999999999994,58.66,2.198019801980198,0.04225352112676056,0.22535211267605634,0.4225352112676056,-0.19718309859154928,1.875
2014,11620,5,1218821.0,1.0,57,21,123,35,6,0,3,19,10,3,15,20,0,0,0.0,1,4,0,2.0,0,0.0,5.0478048780487805,40,1.6666666666666667,1.275,2.8095238095238093,4.084523809523809,95.0,0.286,-16.0,28.58,28.682,30.584000000000003,2.5,0.075,0.5,0.375,0.125,0.75
2014,11620,5,1218824.0,1.0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,5,1218825.0,1.0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,5,1218830.0,1.0,57,0,1,1,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.59,0.598,0.596,1.0,,,,,
2014,11620,5,1218831.0,1.0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,5,1321037.0,1.0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0.26,0,,,,,,,,0.34,0.33,0.34,0.0,,,,,
2014,11620,5,1321050.0,1.0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,5,1321051.0,1.0,57,3,21,3,0,0,0,3,0,0,2,4,0,0,0.0,0,0,1,1.0,0,0.0,0.52,6,1.0,0.8333333333333334,1.0,1.8333333333333335,-22.0,0.0,,1.838,1.5,1.5,4.2,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5
2014,11620,5,1321052.0,1.0,57,17,154,37,7,0,0,21,1,0,16,25,0,0,0.0,2,2,3,3.0,0,0.0,6.513,38,2.176470588235294,1.4473684210526316,3.0,4.447368421052632,111.0,0.412,-7.4,27.189999999999998,26.34,26.32,2.8,0.0,0.6578947368421053,0.42105263157894735,0.23684210526315796,0.64
2014,11620,5,1321055.0,1.0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,5,1436915.0,1.0,57,22,142,35,10,1,1,18,2,0,15,31,0,0,0.0,4,2,2,2.0,0,0.0,5.9973333333333345,41,1.5909090909090908,1.3170731707317074,2.8181818181818183,4.135254988913526,97.0,0.591,-4.25,30.641999999999996,30.134,30.148,2.660377358490566,0.024390243902439025,0.7560975609756098,0.36585365853658536,0.3902439024390244,0.4838709677419355
2014,11620,5,1436916.0,1.0,57,39,194,62,5,0,1,23,12,2,23,35,1,0,0.0,5,4,1,1.0,0,0.0,8.702777777777778,67,1.5897435897435896,1.3432835820895523,1.9487179487179487,3.292001530807501,46.0,0.128,15.25,42.16999999999999,41.46399999999999,42.748000000000005,2.168539325842697,0.014925373134328358,0.5223880597014925,0.34328358208955223,0.17910447761194026,0.6571428571428571
2014,11620,5,1436918.0,1.0,57,0,4,0,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0.0,0,0.0,0.26,1,,1.0,,,,,-0.0,-0.008000000000000007,0.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0
2014,11620,5,1436919.0,1.0,57,11,107,26,5,1,0,14,1,0,14,13,0,0,0.0,3,3,0,1.0,0,0.0,6.198064516129032,28,2.3636363636363638,1.5357142857142858,3.5454545454545454,5.0811688311688314,145.0,0.727,-13.0,20.206,20.279999999999998,20.28,2.488372093023256,0.0,0.4642857142857143,0.5,-0.0357142857142857,1.0769230769230769
2014,11620,5,1436920.0,1.0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,5,1436921.0,1.0,57,0,19,2,2,0,0,2,0,0,1,6,0,0,0.0,1,0,0,0.0,0,0.0,1.04,1,,4.0,,,,,-0.3333333333333333,2.912,2.966,2.972,4.75,0.0,6.0,1.0,5.0,0.16666666666666666
2014,11620,5,1436922.0,1.0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,5,1436923.0,1.0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,5,1436924.0,1.0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,5,1436926.0,1.0,57,13,127,29,3,0,5,15,1,0,9,40,1,0,0.0,1,5,0,3.0,0,0.0,3.3707142857142856,27,2.230769230769231,1.4444444444444444,4.230769230769231,5.6752136752136755,183.0,0.231,-0.75,26.289999999999996,25.938,25.916,3.588235294117647,0.18518518518518517,1.4814814814814814,0.3333333333333333,1.1481481481481481,0.225
2014,11620,5,1441460.0,1.0,57,5,71,17,6,0,0,6,0,0,4,7,0,0,0.0,3,0,0,2.0,0,0.0,3.64,9,3.4,2.6666666666666665,5.8,8.466666666666667,304.0,1.2,-8.5,14.864,14.986,14.992,2.9583333333333335,0.0,0.7777777777777778,0.4444444444444444,0.33333333333333337,0.5714285714285714
2014,11620,5,1543278.0,1.0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,5,1543279.0,1.0,57,13,85,20,5,0,1,10,1,2,10,16,0,0,0.0,3,3,0,3.0,0,0.0,3.6848275862068967,26,1.5384615384615385,1.2692307692307692,2.6153846153846154,3.8846153846153846,84.0,0.385,-4.75,16.221999999999998,16.255999999999997,17.552,2.625,0.038461538461538464,0.6153846153846154,0.38461538461538464,0.23076923076923078,0.625
2014,11620,5,1543280.0,1.0,57,10,58,12,0,0,0,8,1,0,10,10,0,0,0.0,3,2,1,0.0,0,0.0,3.33,23,1.2,1.0869565217391304,1.2,2.28695652173913,-4.0,0.0,12.0,7.749999999999999,7.366,7.3919999999999995,2.32,0.0,0.43478260869565216,0.43478260869565216,0.0,1.0
2014,11620,5,1543281.0,1.0,57,13,112,27,5,0,0,12,1,1,12,24,0,0,0.0,0,0,1,2.0,0,0.0,4.6000000000000005,26,2.076923076923077,1.5,2.8461538461538463,4.346153846153847,103.0,0.385,-2.7,18.398000000000003,18.332,18.944000000000003,2.871794871794872,0.0,0.9230769230769231,0.46153846153846156,0.46153846153846156,0.5
2014,11620,5,1543283.0,1.0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,5,1543284.0,1.0,57,25,207,57,7,0,0,22,2,0,21,36,0,0,0.0,1,2,1,5.0,0,0.0,9.0896,49,2.28,1.6122448979591837,2.84,4.452244897959184,105.0,0.28,-5.7,37.282,37.366,37.312000000000005,2.6202531645569622,0.0,0.7346938775510204,0.42857142857142855,0.3061224489795919,0.5833333333333334
2014,11620,5,1543287.0,1.0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,6,1106896.0,1.0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,6,1322592.0,1.0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,6,1322599.0,1.0,53,27,133,42,4,2,0,18,18,4,24,21,0,0,0.0,3,2,2,3.0,0,0.0,8.06448275862069,55,1.5555555555555556,1.2545454545454546,2.074074074074074,3.3286195286195284,52.0,0.37,5.25,30.941999999999997,30.379999999999995,32.94,1.9275362318840579,0.0,0.38181818181818183,0.43636363636363634,-0.05454545454545451,1.1428571428571428
2014,11620,6,1322600.0,1.0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,6,1322601.0,1.0,53,16,123,36,9,1,3,20,0,0,10,32,0,0,0.0,2,6,3,3.0,0,0.0,4.174054054054054,35,2.25,1.3714285714285714,4.3125,5.683928571428572,186.0,0.75,-2.0625,33.414,32.46,32.44,2.6666666666666665,0.08571428571428572,0.9142857142857143,0.2857142857142857,0.6285714285714286,0.3125
2014,11620,6,1322602.0,1.0,53,4,40,5,1,0,1,7,0,0,3,15,0,0,0.0,0,0,0,0.0,0,0.0,0.8914285714285715,7,1.25,1.1428571428571428,2.75,3.892857142857143,89.0,0.25,-0.3333333333333333,4.63,4.758,4.756,5.571428571428571,0.14285714285714285,2.142857142857143,0.42857142857142855,1.7142857142857142,0.2
2014,11620,6,1322607.0,1.0,53,52,198,65,16,1,8,45,14,6,24,25,0,0,0.0,6,2,3,8.0,0,0.0,8.092873563218392,81,1.25,1.1728395061728396,2.5384615384615383,3.7113010446343777,77.0,0.365,2.590909090909091,61.379999999999995,60.434,64.308,2.1839080459770117,0.09876543209876543,0.30864197530864196,0.2962962962962963,0.012345679012345678,0.96
2014,11620,6,1329019.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,6,1329021.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,6,1420389.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,6,1420390.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,6,1420395.0,1.0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,1,1.0,1.0,1.0,2.0,-18.0,0.0,1.0,0.5,0.5,0.5,3.0,0.0,0.0,0.0,0.0,
2014,11620,6,1420396.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,6,1440361.0,1.0,53,4,26,5,0,0,0,0,0,1,4,3,0,0,0.0,1,1,0,0.0,0,0.0,1.222,9,1.25,1.1111111111111112,1.25,2.361111111111111,-0.0,0.0,5.0,2.626,2.608,3.256,2.6,0.0,0.3333333333333333,0.4444444444444444,-0.1111111111111111,1.3333333333333333
2014,11620,6,1440362.0,1.0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,0.0,0.0,0.0,,,,,,
2014,11620,6,1440363.0,1.0,53,28,160,41,8,0,0,20,2,1,21,25,0,0,0.0,3,12,1,6.0,0,0.0,6.264,62,1.4642857142857142,1.0483870967741935,2.0357142857142856,3.084101382488479,44.0,0.286,10.25,29.139999999999997,28.563999999999997,29.208,2.4615384615384617,0.0,0.4032258064516129,0.3387096774193548,0.06451612903225806,0.84
