season,season_id,school_id,stats_player_seq,AB,H,TB,R,2B,3B,HR,RBI,BB,HBP,SF,SH,K,DP,SB,CS,Picked,IBB,OPP DP,GDP,PA,BA,OBP,SLG,OPS,BAbip,RS%,HR%,K%,BB%,BB/K
2021,15580,2,1997675.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,
2021,15580,2,1997699.0,222,76,134,50,17,1,13,57,28,5,4,1,32,0.0,3,2,1,3,6.0,0.0,255,0.34234234234234234,0.42745098039215684,0.7432432432432432,1.1706942236354,0.34806629834254144,0.3854166666666667,0.050980392156862744,0.12549019607843137,0.10980392156862745,0.875
2021,15580,2,1997710.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,
2021,15580,2,2133295.0,39,9,14,11,2,0,1,8,3,4,0,0,14,0.0,0,0,0,0,1.0,0.0,42,0.23076923076923078,0.38095238095238093,0.4358974358974359,0.8168498168498168,0.3333333333333333,0.6666666666666666,0.023809523809523808,0.3333333333333333,0.07142857142857142,0.21428571428571427
2021,15580,2,2133304.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,
2021,15580,2,2347955.0,110,26,37,23,6,1,1,10,14,1,2,5,34,0.0,2,0,2,0,2.0,0.0,131,0.23636363636363636,0.31297709923664124,0.4090909090909091,0.7220680083275504,0.3246753246753247,0.55,0.007633587786259542,0.2595419847328244,0.10687022900763359,0.4117647058823529
2021,15580,2,2347956.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,
2021,15580,2,2347964.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,
2021,15580,2,2347965.0,3,1,1,0,0,0,0,0,2,0,0,0,1,0.0,0,0,0,0,0.0,0.0,5,0.3333333333333333,0.6,0.3333333333333333,0.9333333333333333,0.5,0.0,0.0,0.2,0.4,2.0
2021,15580,2,2347966.0,4,0,0,2,0,0,0,1,3,0,0,0,2,0.0,0,0,0,0,0.0,0.0,7,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.6666666666666666,0.0,0.2857142857142857,0.42857142857142855,1.5
