season,season_id,school_id,stats_player_seq,division,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,IBB,TB,GDP,HBP,SH,SF,DP,Picked,OPP DP,RC,PA,BA,SecA,OBP,SLG,OPS,OPS+,ISO,BAbip,XR,XRR,XRB,PSN,RS%,HR%,K%,BB%,K-BB%,BB/K
2013,11320,5,1104706.0,1.0,52,116,13,24,3,0,1,5,0,0,11,33,0,0,0.0,4,0,0,0.0,0,0.0,1.1610687022900765,127,0.207,-0.112,0.307,0.293,0.6,42.0,0.026,0.28,8.416,7.904,8.128,0.0,0.316,0.008,0.26,0.087,0.173,0.333
2013,11320,5,1104709.0,1.0,52,112,15,19,1,0,0,4,3,0,16,27,0,0,0.0,4,2,1,3.0,0,0.0,1.5253333333333334,131,0.17,0.0,0.298,0.188,0.486,4.0,0.009,0.221,3.984,2.966,3.192,0.0,0.385,0.0,0.206,0.122,0.084,0.593
2013,11320,5,1104710.0,1.0,52,178,16,50,6,0,0,18,1,0,11,35,0,0,0.0,5,2,1,6.0,0,0.0,1.4042639593908628,192,0.281,-0.213,0.344,0.348,0.692,66.0,0.034,0.347,19.85,18.606,18.912,0.0,0.242,0.0,0.182,0.057,0.125,0.314
2013,11320,5,1104711.0,1.0,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,-0.09,-0.098,-0.096,,,0.0,0.0,0.0,0.0,
2013,11320,5,1104712.0,1.0,52,132,19,47,6,2,2,25,13,3,9,13,2,0,0.0,2,1,3,1.0,0,0.0,0.9356462585034013,145,0.356,-0.212,0.4,0.553,0.953,145.0,0.091,0.375,29.416,26.49,28.6,3.5,0.304,0.014,0.09,0.062,0.028,0.692
2013,11320,5,1104714.0,1.0,52,35,4,5,1,0,0,4,0,0,3,10,0,0,0.0,2,2,1,1.0,0,0.0,0.3386046511627907,41,0.143,-0.057,0.244,0.2,0.444,1.0,0.029,0.192,1.57,0.94,1.02,,0.4,0.0,0.244,0.073,0.171,0.3
2013,11320,5,1218820.0,1.0,52,207,27,61,15,1,0,24,13,6,14,20,1,0,0.0,5,3,2,6.0,0,0.0,1.5397402597402599,226,0.295,-0.193,0.354,0.454,0.808,105.0,0.087,0.323,32.61,30.102,34.284,0.0,0.338,0.0,0.088,0.062,0.026,0.7
2013,11320,5,1218821.0,1.0,52,157,21,35,7,3,3,17,5,3,20,26,2,0,0.0,8,2,0,2.0,0,0.0,2.188449197860962,179,0.223,-0.083,0.352,0.446,0.798,101.0,0.102,0.25,22.712,20.604,22.848,3.8,0.3,0.017,0.145,0.112,0.033,0.769
2013,11320,5,1218824.0,1.0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2013,11320,5,1218825.0,1.0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
