season,season_id,school_id,stats_player_seq,AB,H,TB,R,2B,3B,HR,RBI,BB,HBP,SF,SH,K,DP,SB,CS,Picked,IBB,OPP DP,GDP,PA,BA,OBP,SLG,OPS,BAbip,RS%,HR%,K%,BB%,BB/K
2014,11620,5,1104709.0,38,45,0,166,7,1,0,15,34,20,1,10,33,6.0,13,1,0,1,0.0,0.0,83,1.1842105263157894,1.1927710843373494,1.631578947368421,2.8243500317057704,7.5,1.6767676767676767,0.0,0.39759036144578314,0.40963855421686746,1.0303030303030303
2014,11620,5,1104710.0,13,32,0,150,5,0,0,20,7,3,2,1,23,4.0,2,0,0,0,0.0,0.0,23,2.4615384615384617,1.826086956521739,3.230769230769231,5.05685618729097,-4.0,3.5714285714285716,0.0,1.0,0.30434782608695654,0.30434782608695654
2014,11620,5,1197524.0,1,0,0,3,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0.0,0.0,1,0.0,2.0,0.0,2.0,0.0,1.5,0.0,0.0,0.0,
2014,11620,5,1197525.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,
2014,11620,5,1197526.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,
2014,11620,5,1197527.0,1,1,0,1,1,0,0,3,1,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2,1.0,1.0,3.0,4.0,1.0,0.5,0.0,0.0,0.5,
2014,11620,5,1197528.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,
2014,11620,5,1197529.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,
2014,11620,5,1218820.0,35,70,0,225,8,2,3,32,30,4,4,2,16,3.0,27,6,0,7,0.0,0.0,71,2.0,1.4647887323943662,2.9714285714285715,4.4362173038229376,3.35,2.198019801980198,0.04225352112676056,0.22535211267605634,0.4225352112676056,1.875
2014,11620,5,1218821.0,21,35,0,123,6,0,3,19,15,1,0,4,20,2.0,10,3,0,0,0.0,0.0,40,1.6666666666666667,1.275,2.8095238095238093,4.084523809523809,-16.0,2.5,0.075,0.5,0.375,0.75
2014,11620,5,1218824.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,
2014,11620,5,1218825.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,
2014,11620,5,1218830.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,1.0,,,,
2014,11620,5,1218831.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,
2014,11620,5,1312124.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,
2014,11620,5,1312126.0,0,2,0,4,0,0,0,0,1,0,0,0,0,0.0,0,1,0,0,0.0,0.0,1,,3.0,,,,1.3333333333333333,0.0,0.0,1.0,
2014,11620,5,1312128.0,1,1,0,2,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0.0,0.0,1,1.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,
2014,11620,5,1312129.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,
2014,11620,5,1312130.0,0,1,0,5,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,5.0,,,,
2014,11620,5,1312131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,
2014,11620,5,1312132.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,
2014,11620,5,1312133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,
2014,11620,5,1321037.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,0.0,,,,
2014,11620,5,1321050.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,
2014,11620,5,1321051.0,3,3,0,21,0,0,0,3,2,0,1,0,4,1.0,0,0,0,0,0.0,0.0,6,1.0,0.8333333333333334,1.0,1.8333333333333335,,4.2,0.0,0.6666666666666666,0.3333333333333333,0.5
2014,11620,5,1321052.0,17,37,0,154,7,0,0,21,16,2,3,2,25,3.0,1,0,0,0,0.0,0.0,38,2.176470588235294,1.4473684210526316,3.0,4.447368421052632,-7.4,2.8,0.0,0.6578947368421053,0.42105263157894735,0.64
2014,11620,5,1321055.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,
2014,11620,5,1431000.0,1,0,0,4,0,0,0,0,0,0,0,1,1,0.0,0,0,0,0,0.0,0.0,2,0.0,0.0,0.0,0.0,,,0.0,0.5,0.0,0.0
2014,11620,5,1431001.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,
2014,11620,5,1431004.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,
2014,11620,5,1431005.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,
2014,11620,5,1431007.0,1,1,0,4,0,0,0,0,1,0,0,0,1,0.0,0,0,0,0,0.0,0.0,2,1.0,1.0,1.0,2.0,,2.0,0.0,0.5,0.5,1.0
2014,11620,5,1431009.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,
2014,11620,5,1431011.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,
2014,11620,5,1431013.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,
2014,11620,5,1436915.0,22,35,0,142,10,1,1,18,15,4,2,2,31,2.0,2,0,0,0,0.0,0.0,41,1.5909090909090908,1.3170731707317074,2.8181818181818183,4.135254988913526,-4.25,2.660377358490566,0.024390243902439025,0.7560975609756098,0.36585365853658536,0.4838709677419355
2014,11620,5,1436916.0,39,62,0,194,5,0,1,23,23,5,1,4,35,1.0,12,2,0,1,0.0,0.0,67,1.5897435897435896,1.3432835820895523,1.9487179487179487,3.292001530807501,15.25,2.168539325842697,0.014925373134328358,0.5223880597014925,0.34328358208955223,0.6571428571428571
2014,11620,5,1436918.0,0,0,0,4,0,0,0,0,1,0,0,0,1,0.0,0,0,0,0,0.0,0.0,1,,1.0,,,-0.0,4.0,0.0,1.0,1.0,1.0
2014,11620,5,1436919.0,11,26,0,107,5,1,0,14,14,3,0,3,13,1.0,1,0,0,0,0.0,0.0,28,2.3636363636363638,1.5357142857142858,3.5454545454545454,5.0811688311688314,-13.0,2.488372093023256,0.0,0.4642857142857143,0.5,1.0769230769230769
2014,11620,5,1436920.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,
2014,11620,5,1436921.0,0,2,0,19,2,0,0,2,1,1,0,0,6,0.0,0,0,0,0,0.0,0.0,1,,4.0,,,-0.3333333333333333,4.75,0.0,6.0,1.0,0.16666666666666666
2014,11620,5,1436922.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,
2014,11620,5,1436923.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,
