season,season_id,school_id,stats_player_seq,division,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,IBB,TB,GDP,HBP,SH,SF,DP,Picked,OPP DP,RC,PA,BA,SecA,OBP,SLG,OPS,OPS+,ISO,BAbip,XR,XRR,XRB,PSN,RS%,HR%,K%,BB%,K-BB%,BB/K
2024,16580,2,2826941.0,1.0,27.0,105,24,29,3,0,2,11,6,0,11,12,0,38,1.0,4,0,4,0.0,1,3.0,14.571774193548388,120,0.276,0.248,0.367,0.41,0.777,60.0,0.029,0.284,29.074,27.032,27.604,3.0,0.524,0.017,0.1,0.092,0.008,0.917
2024,16580,2,2827826.0,1.0,9.0,32,3,6,1,0,0,4,2,0,3,19,0,7,0.0,0,1,0,0.0,0,0.0,1.9883333333333333,36,0.188,0.188,0.25,0.25,0.5,1.0,0.031,0.462,4.008,3.842,3.964,0.0,0.333,0.0,0.528,0.083,0.445,0.158
2024,16580,2,2923078.0,1.0,16.0,46,7,9,1,2,0,8,0,1,6,19,0,14,0.0,5,1,0,0.0,0,0.0,5.532068965517241,53,0.196,0.217,0.377,0.37,0.747,50.0,0.152,0.333,9.998,9.624,10.528,,0.35,0.0,0.358,0.113,0.245,0.316
2024,16580,2,2923163.0,1.0,17.0,55,7,12,2,0,0,8,0,0,7,14,0,14,0.0,2,1,1,0.0,0,1.0,5.214848484848485,64,0.218,0.164,0.328,0.291,0.619,21.0,0.036,0.286,9.308,8.506,8.752,,0.333,0.0,0.219,0.109,0.11,0.5
2024,16580,2,2923171.0,1.0,25.0,93,20,26,5,0,1,10,5,2,12,17,0,34,0.0,5,1,1,0.0,0,0.0,14.096964285714288,107,0.28,0.247,0.402,0.43,0.832,70.0,0.054,0.329,25.804,24.604,26.408,1.7,0.452,0.009,0.159,0.112,0.047,0.706
2024,16580,2,2923174.0,1.0,10.0,25,3,6,1,0,1,6,0,1,6,6,0,10,0.0,0,2,0,0.0,0,0.0,3.884848484848485,33,0.24,0.36,0.364,0.48,0.844,81.0,0.04,0.278,6.562,6.278,7.056,0.0,0.182,0.03,0.182,0.182,0.0,1.0
2024,16580,2,2923177.0,1.0,3.0,3,1,0,0,0,0,0,0,0,1,3,0,0,0.0,0,0,0,0.0,0,0.0,0.065,4,0.0,0.333,0.25,0.0,0.25,-73.0,0.0,,-0.294,-0.294,-0.288,,1.0,0.0,0.75,0.25,0.5,0.333
2024,16580,5,2482225.0,1.0,17.0,54,7,11,2,0,0,4,5,1,3,11,0,13,1.0,2,0,1,0.0,0,1.0,3.388666666666667,58,0.204,0.167,0.276,0.278,0.554,12.0,0.037,0.25,8.662,8.256,9.132,0.0,0.438,0.0,0.19,0.052,0.138,0.273
2024,16580,5,2482688.0,1.0,24.0,84,15,20,6,0,0,6,8,2,8,15,0,26,1.0,3,1,1,0.0,0,2.0,8.384329896907216,94,0.238,0.238,0.33,0.381,0.711,48.0,0.071,0.286,19.14,18.418,20.116,0.0,0.484,0.0,0.16,0.085,0.075,0.533
2024,16580,5,2496157.0,1.0,19.0,56,3,10,1,0,0,4,0,1,11,21,0,11,0.0,3,0,1,0.0,0,1.0,4.749859154929577,68,0.179,0.196,0.353,0.214,0.567,1.0,0.018,0.278,6.222,5.512,6.384,,0.125,0.0,0.309,0.162,0.147,0.524
2024,16580,5,2655829.0,1.0,5.0,7,1,1,0,0,0,1,0,0,0,3,0,1,0.0,0,0,0,0.0,0,0.0,0.14285714285714285,7,0.143,0.0,0.143,0.143,0.286,-43.0,0.0,0.25,0.276,0.242,0.264,,1.0,0.0,0.429,0.0,0.429,0.0
2024,16580,5,2673269.0,1.0,26.0,90,11,27,4,3,2,16,2,0,17,23,0,43,3.0,1,1,0,0.0,0,3.0,18.38642201834862,108,0.3,0.389,0.417,0.578,0.995,115.0,0.144,0.385,30.776,31.086,31.652,2.0,0.209,0.019,0.213,0.157,0.056,0.739
2024,16580,5,2673312.0,1.0,8.0,23,1,5,0,0,0,7,2,1,3,3,0,5,1.0,0,1,3,0.0,0,2.0,1.26,30,0.217,0.174,0.267,0.217,0.484,-7.0,0.0,0.217,3.376,2.426,3.152,0.0,0.125,0.0,0.1,0.1,0.0,1.0
2024,16580,5,2673316.0,1.0,16.0,50,5,9,2,0,0,6,2,0,5,20,0,11,1.0,0,2,0,0.0,0,1.0,2.841754385964913,57,0.18,0.18,0.246,0.26,0.506,3.0,0.04,0.3,5.9,5.912,6.104,0.0,0.357,0.0,0.351,0.088,0.263,0.25
2024,16580,5,2673317.0,1.0,11.0,34,7,7,3,0,1,8,0,0,4,12,0,13,0.0,1,0,2,0.0,0,0.0,4.210731707317073,40,0.206,0.294,0.3,0.5,0.8,79.0,0.088,0.261,10.074,9.074,9.268,0.0,0.545,0.025,0.3,0.1,0.2,0.333
