season,season_id,school_id,stats_player_seq,G,AB,H,TB,R,2B,3B,HR,RBI,BB,HBP,SF,SH,K,DP,SB,CS,Picked,IBB,OPP DP,GDP,PA,BA,OBP,SLG,OPS,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2013,11320,2,999823.0,53,47,9,0,13,1,0,0,2,14,3,1,2,17,0.0,2,1,0,0,0.0,0.0,64,0.19148936170212766,0.40625,0.23404255319148937,0.6402925531914894,0.2903225806451613,0.5,0.0,0.265625,0.21875,0.046875,0.8235294117647058
2013,11320,2,1077034.0,53,174,55,0,31,13,2,1,30,18,7,4,12,20,4.0,7,5,0,2,0.0,0.0,208,0.3160919540229885,0.38461538461538464,0.5229885057471264,0.907603890362511,0.34394904458598724,0.379746835443038,0.004807692307692308,0.09615384615384616,0.08653846153846154,0.009615384615384623,0.9
2013,11320,2,1077038.0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,,
2013,11320,2,1215881.0,53,28,1,0,5,0,0,1,3,4,0,0,0,11,3.0,1,0,0,0,0.0,0.0,32,0.03571428571428571,0.15625,0.17857142857142858,0.3348214285714286,0.0,1.0,0.03125,0.34375,0.125,0.21875,0.36363636363636365
2013,11320,2,1215886.0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,,
2013,11320,2,1311149.0,53,16,1,0,1,0,0,0,3,1,1,0,4,3,0.0,1,1,0,0,0.0,0.0,21,0.0625,0.14285714285714285,0.0625,0.20535714285714285,0.07692307692307693,0.3333333333333333,0.0,0.14285714285714285,0.047619047619047616,0.09523809523809523,0.3333333333333333
2013,11320,2,1311150.0,53,46,10,0,4,1,0,0,4,2,1,0,4,6,1.0,1,1,0,0,0.0,0.0,52,0.21739130434782608,0.25,0.2608695652173913,0.5108695652173914,0.25,0.3076923076923077,0.0,0.11538461538461539,0.038461538461538464,0.07692307692307693,0.3333333333333333
2013,11320,2,1311152.0,53,195,61,0,27,6,2,0,32,17,4,2,10,18,5.0,9,2,0,0,0.0,0.0,224,0.3128205128205128,0.36607142857142855,0.40512820512820513,0.7711996336996336,0.3407821229050279,0.32926829268292684,0.0,0.08035714285714286,0.07589285714285714,0.004464285714285726,0.9444444444444444
2013,11320,2,1311154.0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,,
2013,11320,2,1311155.0,53,166,48,0,27,1,0,0,26,20,5,1,11,14,7.0,7,3,0,1,0.0,0.0,198,0.2891566265060241,0.3686868686868687,0.30120481927710846,0.6698916879639771,0.3137254901960784,0.3698630136986301,0.0,0.0707070707070707,0.10101010101010101,-0.030303030303030304,1.4285714285714286
2013,11320,2,1311156.0,53,159,46,0,25,6,1,0,28,29,10,0,8,30,2.0,7,3,0,1,0.0,0.0,196,0.2893081761006289,0.4336734693877551,0.3836477987421384,0.8173212681298935,0.35658914728682173,0.29411764705882354,0.0,0.15306122448979592,0.14795918367346939,0.005102040816326536,0.9666666666666667
2013,11320,2,1311157.0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,,
2013,11320,2,1311161.0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,,,,,,,,,,,
2013,11320,2,1311164.0,53,171,51,0,27,7,2,4,23,20,3,3,5,19,8.0,3,2,0,0,0.0,0.0,199,0.2982456140350877,0.37185929648241206,0.5087719298245614,0.8806312263069735,0.31125827814569534,0.32857142857142857,0.020100502512562814,0.09547738693467336,0.10050251256281408,-0.005025125628140711,1.0526315789473684
