season,season_id,school_id,stats_player_seq,division,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,IBB,TB,GDP,HBP,SH,SF,DP,Picked,OPP DP,RC,PA,BA,SecA,OBP,SLG,OPS,OPS+,ISO,BAbip,XR,XRR,XRB,PSN,RS%,HR%,K%,BB%,K-BB%,BB/K
2020,15204,2,1997675.0,1.0,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,-0.09,-0.098,-0.096,,,0.0,0.0,0.0,0.0,
2020,15204,2,1997699.0,1.0,17.0,56,11,17,6,1,1,8,2,0,9,7,0,28,0.0,2,0,0,0.0,0,2.0,12.912238805970148,65,0.304,0.393,0.431,0.643,1.074,177.0,0.161,0.333,22.294,21.738,22.116,1.3,0.37,0.015,0.108,0.138,-0.03,1.286
2020,15204,2,1997710.0,1.0,15.0,28,3,6,1,0,0,1,1,2,4,11,0,7,0.0,0,0,0,0.0,0,0.0,2.0262499999999997,32,0.214,0.143,0.312,0.286,0.598,38.0,0.036,0.353,3.572,3.414,4.808,0.0,0.3,0.0,0.344,0.125,0.219,0.364
2020,15204,2,1998329.0,1.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2020,15204,2,2133295.0,1.0,15.0,30,1,5,2,0,0,5,0,0,3,8,0,7,0.0,2,1,0,0.0,0,0.0,2.32,34,0.167,0.167,0.294,0.3,0.594,41.0,0.067,0.227,4.726,4.46,4.6,,0.1,0.0,0.235,0.088,0.147,0.375
2020,15204,2,2133302.0,1.0,17.0,34,5,6,1,0,2,5,1,0,2,11,0,13,0.0,2,2,0,0.0,0,1.0,3.5489999999999995,38,0.176,0.294,0.263,0.471,0.734,96.0,0.029,0.19,9.352,8.986,9.192,1.3,0.375,0.053,0.289,0.053,0.236,0.182
2020,15204,2,2133304.0,1.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
2020,15204,2,2137687.0,1.0,17.0,41,4,9,3,0,0,2,0,0,2,7,0,12,0.0,6,0,1,0.0,0,2.0,4.7976,44,0.22,0.122,0.386,0.366,0.752,75.0,0.073,0.257,10.214,9.464,9.708,,0.235,0.0,0.159,0.045,0.114,0.286
2020,15204,2,2347955.0,1.0,17.0,34,2,7,0,0,0,2,2,1,4,11,0,7,0.0,0,0,1,0.0,0,3.0,2.1015384615384614,39,0.206,0.147,0.282,0.206,0.488,7.0,0.0,0.292,3.772,3.204,3.968,0.0,0.182,0.0,0.282,0.103,0.179,0.364
2020,15204,2,2347956.0,1.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,
