R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
0,4,1,1,0,2,0,0,0,0,0,0,2,0,0,0,1,0,02/14/2020,away,15204,430,Mississippi St.,9,True,6,9,-3,loss,1830267,810,1986714,2020
0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,02/15/2020,away,15204,430,Mississippi St.,9,True,2,6,-4,loss,1830584,810,1986714,2020
0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,02/16/2020,away,15204,430,Mississippi St.,9,True,1,5,-4,loss,1830856,810,1986714,2020
1,4,2,0,1,4,0,3,1,0,0,0,0,0,0,0,0,0,02/19/2020,away,15204,367,Louisville,9,True,10,3,7,win,1831062,810,1986714,2020
0,4,3,1,1,6,0,2,0,1,0,0,1,0,0,0,1,0,02/21/2020,away,15204,772,Western Ky.,9,True,2,6,-4,loss,1831236,810,1986714,2020
0,4,3,0,0,3,0,1,0,0,0,0,1,0,1,0,0,0,02/22/2020,away,15204,772,Western Ky.,9,True,2,7,-5,loss,1831570,810,1986714,2020
1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,02/23/2020,away,15204,772,Western Ky.,9,True,9,5,4,win,1831952,810,1986714,2020
0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,02/28/2020,away,15204,37,Auburn,9,True,2,7,-5,loss,1832285,810,1986714,2020
1,5,1,0,0,4,1,1,0,0,0,0,1,0,0,0,0,0,02/29/2020,away,15204,37,Auburn,9,True,6,20,-14,loss,1832565,810,1986714,2020
0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,03/01/2020,away,15204,37,Auburn,9,True,0,6,-6,loss,1832961,810,1986714,2020
1,6,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,03/03/2020,away,15204,414,Miami (OH),14,True,8,6,2,win,1833464,810,1986714,2020
2,5,2,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,03/06/2020,away,15204,694,Tennessee,9,True,5,4,1,win,1833964,810,1986714,2020
1,4,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,03/07/2020,away,15204,694,Tennessee,9,True,1,3,-2,loss,1834298,810,1986714,2020
0,5,1,1,0,2,0,1,0,0,0,0,2,0,0,0,0,0,03/08/2020,away,15204,694,Tennessee,9,True,6,3,3,win,1834638,810,1986714,2020
1,5,2,1,0,3,0,3,1,0,0,0,0,0,0,0,1,0,03/10/2020,home,15204,414,Miami (OH),9,True,16,5,11,win,1834946,810,1986714,2020
