AB,H,TB,R,2B,3B,HR,RBI,BB,HBP,SF,SH,K,DP,SB,CS,Picked,IBB,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/15/2013,away,11320,706,UTSA,9,True,2,9,-7,loss,657956,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/16/2013,away,11320,706,UTSA,9,True,1,6,-5,loss,658282,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/16/2013,away,11320,706,UTSA,9,True,8,13,-5,loss,658346,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/17/2013,away,11320,706,UTSA,9,True,4,12,-8,loss,658520,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/22/2013,neutral,11320,726,Navy,9,True,1,3,-2,loss,659060,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/23/2013,neutral,11320,726,Navy,9,True,8,7,1,win,659428,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/24/2013,neutral,11320,726,Navy,9,True,2,3,-1,loss,659850,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/24/2013,neutral,11320,726,Navy,9,True,13,3,10,win,659857,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/01/2013,neutral,11320,596,St. Bonaventure,9,True,4,3,1,win,660362,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/02/2013,neutral,11320,450,Mount St. Mary's,9,True,7,3,4,win,660825,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/02/2013,neutral,11320,251,Georgetown,9,True,3,4,-1,loss,660826,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/03/2013,neutral,11320,774,Western Mich.,9,True,8,3,5,win,661179,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/08/2013,away,11320,1092,Gardner-Webb,9,True,3,4,-1,loss,661942,721,1308138,2013
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,03/09/2013,away,11320,1092,Gardner-Webb,11,True,6,7,-1,loss,662267,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/10/2013,away,11320,1092,Gardner-Webb,9,True,3,4,-1,loss,662801,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/15/2013,away,11320,466,Nevada,9,True,2,3,-1,loss,663864,721,1308138,2013
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,03/16/2013,away,11320,466,Nevada,9,True,1,6,-5,loss,664233,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/17/2013,away,11320,466,Nevada,9,True,7,3,4,win,664824,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/19/2013,home,11320,464,Omaha,9,True,2,0,2,win,665137,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/20/2013,home,11320,464,Omaha,9,True,10,11,-1,loss,665342,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/22/2013,home,11320,96,Fresno St.,9,True,14,7,7,win,665572,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/26/2013,away,11320,782,Wichita St.,9,True,2,3,-1,loss,666910,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/27/2013,away,11320,782,Wichita St.,9,True,1,4,-3,loss,667096,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/29/2013,away,11320,465,UNLV,9,True,1,4,-3,loss,667557,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/30/2013,away,11320,465,UNLV,10,True,10,11,-1,loss,668057,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/31/2013,away,11320,465,UNLV,9,True,7,8,-1,loss,668603,721,1308138,2013
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,04/03/2013,away,11320,502,Northern Colo.,9,True,4,12,-8,loss,669093,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/05/2013,home,11320,473,New Mexico,9,True,5,11,-6,loss,669411,721,1308138,2013
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/06/2013,home,11320,473,New Mexico,9,True,5,19,-14,loss,669665,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/07/2013,home,11320,473,New Mexico,9,True,11,4,7,win,670474,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/12/2013,home,11320,626,San Diego St.,9,True,2,4,-2,loss,671537,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/13/2013,home,11320,626,San Diego St.,9,True,10,9,1,win,671738,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/14/2013,home,11320,626,San Diego St.,9,True,0,11,-11,loss,672488,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/19/2013,home,11320,96,Fresno St.,9,True,4,9,-5,loss,673694,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/19/2013,away,11320,96,Fresno St.,9,True,5,8,-3,loss,673729,721,1308138,2013
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,04/20/2013,home,11320,96,Fresno St.,9,True,0,7,-7,loss,674118,721,1308138,2013
3,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,04/20/2013,away,11320,96,Fresno St.,9,True,6,8,-2,loss,674287,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/21/2013,away,11320,96,Fresno St.,9,True,3,5,-2,loss,674576,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/24/2013,home,11320,502,Northern Colo.,9,True,9,7,2,win,675278,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/26/2013,home,11320,466,Nevada,9,True,4,8,-4,loss,675634,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/27/2013,home,11320,466,Nevada,9,True,8,12,-4,loss,675934,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/28/2013,home,11320,466,Nevada,9,True,7,5,2,win,676643,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/30/2013,away,11320,502,Northern Colo.,9,True,9,7,2,win,677087,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/03/2013,away,11320,473,New Mexico,9,True,10,11,-1,loss,677538,721,1308138,2013
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/04/2013,away,11320,473,New Mexico,9,True,1,17,-16,loss,677789,721,1308138,2013
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,05/05/2013,away,11320,473,New Mexico,9,True,7,14,-7,loss,678249,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/10/2013,away,11320,626,San Diego St.,9,True,4,2,2,win,678876,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/11/2013,away,11320,626,San Diego St.,9,True,2,7,-5,loss,679081,721,1308138,2013
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,05/12/2013,away,11320,626,San Diego St.,9,True,2,9,-7,loss,679331,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/16/2013,home,11320,465,UNLV,9,True,13,6,7,win,679563,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/17/2013,home,11320,465,UNLV,9,True,6,7,-1,loss,679745,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/18/2013,home,11320,465,UNLV,9,True,6,14,-8,loss,679949,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/22/2013,neutral,11320,626,San Diego St.,9,True,6,15,-9,loss,680153,721,1308138,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/23/2013,away,11320,96,Fresno St.,9,True,4,6,-2,loss,680218,721,1308138,2013
