R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,GDP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,division
0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,02/26/2023,home,16340,364,Loras,9,True,4,7,-3,loss,2421176,297,2663921,2023,3
0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,03/01/2023,home,16340,11538,Fontbonne,10,True,4,5,-1,loss,2392514,297,2663921,2023,3
1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,03/05/2023,neutral,16340,25719,Penn St.-Altoona,8,True,7,16,-9,loss,2393446,297,2663921,2023,3
1,4,2,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,03/05/2023,neutral,16340,25719,Penn St.-Altoona,9,True,15,7,8,win,2408076,297,2663921,2023,3
1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,03/06/2023,neutral,16340,1196,Marian (WI),9,True,5,11,-6,loss,2393674,297,2663921,2023,3
2,5,4,1,1,7,0,4,0,0,0,0,0,0,0,0,0,0,0,03/07/2023,neutral,16340,160,Concordia Chicago,9,True,9,20,-11,loss,2393797,297,2663921,2023,3
0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,03/09/2023,neutral,16340,265,Grove City,9,True,0,6,-6,loss,2394124,297,2663921,2023,3
1,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,03/10/2023,neutral,16340,30035,Crown (MN),9,True,4,0,4,win,2394290,297,2663921,2023,3
1,2,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,03/10/2023,neutral,16340,30035,Crown (MN),9,True,2,8,-6,loss,2408190,297,2663921,2023,3
