date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,CS,Picked,SB,IBB,stats_player_seq,season
02/19/2016,home,12360,249,George Washington,9,True,6,7,-1,loss,6 - 7,292462,2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752603,2016
02/20/2016,home,12360,249,George Washington,9,True,2,0,2,win,2 - 0,292706,2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752603,2016
02/21/2016,home,12360,249,George Washington,9,True,10,7,3,win,10 - 7,293164,2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752603,2016
02/23/2016,home,12360,632,Savannah St.,9,True,7,4,3,win,7 - 4,293407,2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752603,2016
02/24/2016,away,12360,128,UCF,9,True,4,5,-1,loss,4 - 5,293465,2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752603,2016
02/26/2016,home,12360,272,Hartford,9,True,1,2,-1,loss,1 - 2,293559,2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752603,2016
02/27/2016,home,12360,272,Hartford,9,True,8,9,-1,loss,8 - 9,293806,2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752603,2016
02/28/2016,home,12360,272,Hartford,9,True,2,3,-1,loss,2 - 3,294332,2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752603,2016
03/02/2016,home,12360,316,Jacksonville,9,True,10,6,4,win,10 - 6,294841,2711,3,4,3,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1752603,2016
03/04/2016,home,12360,540,Penn,9,True,17,5,12,win,17 - 5,295025,2711,2,3,1,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,1752603,2016
03/05/2016,home,12360,540,Penn,9,True,5,3,2,win,5 - 3,295271,2711,0,3,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1752603,2016
03/06/2016,home,12360,540,Penn,9,True,2,3,-1,loss,2 - 3,295813,2711,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1752603,2016
03/08/2016,home,12360,235,Florida,9,True,2,6,-4,loss,2 - 6,296324,2711,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1752603,2016
03/09/2016,away,12360,235,Florida,9,True,4,5,-1,loss,4 - 5,296575,2711,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1752603,2016
03/11/2016,home,12360,460,UNCW,11,True,3,2,1,win,3 - 2,296860,2711,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1752603,2016
03/12/2016,home,12360,460,UNCW,9,True,13,1,12,win,13 - 1,297203,2711,2,3,3,0,0,0,1,3,1,0,0,1,0,0,0,0,0,0,1752603,2016
03/13/2016,home,12360,460,UNCW,9,True,12,11,1,win,12 - 11,297766,2711,1,3,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1752603,2016
03/15/2016,away,12360,61,Bethune-Cookman,9,True,13,1,12,win,13 - 1,298139,2711,2,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1752603,2016
03/16/2016,home,12360,651,South Fla.,9,True,7,6,1,win,7 - 6,298384,2711,0,4,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,1752603,2016
03/18/2016,home,12360,562,Quinnipiac,9,True,0,3,-3,loss,0 - 3,298691,2711,0,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1752603,2016
03/19/2016,home,12360,562,Quinnipiac,9,True,12,8,4,win,12 - 8,299041,2711,2,5,2,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1752603,2016
03/20/2016,home,12360,562,Quinnipiac,9,True,6,5,1,win,6 - 5,299598,2711,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1752603,2016
03/22/2016,away,12360,61,Bethune-Cookman,9,True,1,4,-3,loss,1 - 4,299981,2711,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1752603,2016
03/23/2016,home,12360,172,Dartmouth,9,True,17,3,14,win,17 - 3,300254,2711,2,3,3,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1752603,2016
03/24/2016,home,12360,172,Dartmouth,9,True,8,6,2,win,8 - 6,300421,2711,2,5,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1752603,2016
03/29/2016,home,12360,228,Florida A&M,9,True,15,0,15,win,15 - 0,301774,2711,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752603,2016
04/01/2016,away,12360,1157,Kennesaw St.,9,True,1,2,-1,loss,1 - 2,302268,2711,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1752603,2016
04/02/2016,away,12360,1157,Kennesaw St.,9,True,4,10,-6,loss,4 - 10,302547,2711,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1752603,2016
04/03/2016,away,12360,1157,Kennesaw St.,9,True,9,2,7,win,9 - 2,303127,2711,0,4,2,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1752603,2016
04/05/2016,home,12360,61,Bethune-Cookman,9,True,12,6,6,win,12 - 6,303550,2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752603,2016
04/06/2016,away,12360,228,Florida A&M,10,True,9,6,3,win,9 - 6,303790,2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752603,2016
04/08/2016,away,12360,316,Jacksonville,9,True,7,4,3,win,7 - 4,304129,2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752603,2016
04/09/2016,away,12360,316,Jacksonville,9,True,2,6,-4,loss,2 - 6,304383,2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752603,2016
04/10/2016,away,12360,316,Jacksonville,9,True,0,8,-8,loss,0 - 8,304907,2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752603,2016
04/12/2016,away,12360,651,South Fla.,9,True,7,5,2,win,7 - 5,305418,2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752603,2016
04/15/2016,home,12360,678,Stetson,9,True,6,2,4,win,6 - 2,305993,2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752603,2016
04/16/2016,home,12360,678,Stetson,9,True,5,3,2,win,5 - 3,306287,2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752603,2016
04/17/2016,home,12360,678,Stetson,9,True,5,0,5,win,5 - 0,307041,2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752603,2016
04/19/2016,home,12360,128,UCF,9,True,4,3,1,win,4 - 3,307503,2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752603,2016
04/20/2016,away,12360,632,Savannah St.,9,True,7,3,4,win,7 - 3,307867,2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752603,2016
04/29/2016,away,12360,28755,FGCU,9,True,2,4,-2,loss,2 - 4,310116,2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752603,2016
04/30/2016,away,12360,28755,FGCU,12,True,11,10,1,win,11 - 10,310430,2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752603,2016
