R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/22/2020,neutral,15204,28594,USciences,9,True,7,1,6,win,1831523,593,2354680,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/22/2020,away,15204,28594,USciences,9,True,15,5,10,win,1849682,593,2354680,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/23/2020,away,15204,28594,USciences,9,True,5,2,3,win,1831901,593,2354680,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/23/2020,away,15204,28594,USciences,9,True,7,3,4,win,1848579,593,2354680,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/29/2020,neutral,15204,27854,Minn.-Crookston,9,True,0,8,-8,loss,1832590,593,2354680,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/01/2020,neutral,15204,1328,Rockhurst,9,True,2,5,-3,loss,1833005,593,2354680,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/01/2020,neutral,15204,1328,Rockhurst,9,True,4,10,-6,loss,1849563,593,2354680,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/02/2020,neutral,15204,30124,Cedarville,9,True,7,16,-9,loss,1833295,593,2354680,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/03/2020,neutral,15204,1460,Wilmington (DE),9,True,10,20,-10,loss,1833352,593,2354680,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/05/2020,neutral,15204,591,Saginaw Valley,9,True,5,8,-3,loss,1833626,593,2354680,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/06/2020,neutral,15204,1266,Northern St.,9,True,10,2,8,win,1833726,593,2354680,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/07/2020,neutral,15204,9630,West Va. Wesleyan,9,True,6,1,5,win,1834056,593,2354680,2020
