date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,CS,Picked,SB,IBB,stats_player_seq,season
02/18/2017,home,12560,725,Army West Point,9,True,9,0,9,win,9 - 0,206333,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
02/18/2017,home,12560,725,Army West Point,9,True,6,0,6,win,6 - 0,206349,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
02/19/2017,home,12560,721,Air Force,9,True,10,3,7,win,10 - 3,206499,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
02/21/2017,away,12560,474,New Orleans,9,True,8,11,-3,loss,8 - 11,206713,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
02/22/2017,home,12560,283,Hofstra,9,True,8,1,7,win,8 - 1,206821,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
02/24/2017,home,12560,392,Maryland,9,True,6,1,5,win,6 - 1,207012,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
02/25/2017,home,12560,392,Maryland,9,True,14,0,14,win,14 - 0,207289,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
02/26/2017,home,12560,392,Maryland,9,True,9,5,4,win,9 - 5,207767,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
02/28/2017,home,12560,483,Nicholls,9,True,3,2,1,win,3 - 2,208053,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
03/03/2017,home,12560,698,TCU,9,True,6,9,-3,loss,6 - 9,208439,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
03/04/2017,home,12560,51,Baylor,9,True,4,0,4,win,4 - 0,208828,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
03/05/2017,home,12560,700,Texas Tech,9,True,4,5,-1,loss,4 - 5,209217,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
03/08/2017,away,12560,402,McNeese,9,True,4,5,-1,loss,4 - 5,209736,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
03/10/2017,home,12560,782,Wichita St.,9,True,6,1,5,win,6 - 1,210187,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
03/11/2017,home,12560,782,Wichita St.,9,True,12,5,7,win,12 - 5,210522,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
03/12/2017,home,12560,782,Wichita St.,9,True,9,2,7,win,9 - 2,210939,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
03/14/2017,home,12560,1182,Louisiana Col.,9,True,13,0,13,win,13 - 0,211357,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
03/15/2017,home,12560,474,New Orleans,15,True,4,7,-3,loss,4 - 7,211498,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
03/17/2017,home,12560,257,Georgia,9,True,22,9,13,win,22 - 9,211814,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
03/18/2017,home,12560,257,Georgia,9,True,5,1,4,win,5 - 1,212122,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
03/19/2017,home,12560,257,Georgia,9,True,7,6,1,win,7 - 6,212618,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
03/22/2017,home,12560,655,Southeastern La.,9,True,8,2,6,win,8 - 2,213237,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
03/24/2017,away,12560,235,Florida,9,True,0,1,-1,loss,0 - 1,213446,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
03/25/2017,away,12560,235,Florida,9,True,1,8,-7,loss,1 - 8,213804,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
03/26/2017,away,12560,235,Florida,9,True,10,6,4,win,10 - 6,214431,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
03/28/2017,home,12560,718,Tulane,9,True,6,7,-1,loss,6 - 7,214841,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
03/30/2017,home,12560,697,Texas A&M,9,True,0,4,-4,loss,0 - 4,215171,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
03/31/2017,home,12560,697,Texas A&M,9,True,7,4,3,win,7 - 4,215339,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
04/01/2017,home,12560,697,Texas A&M,9,True,3,4,-1,loss,3 - 4,215540,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
04/04/2017,home,12560,261,Grambling,9,True,13,2,11,win,13 - 2,216698,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
04/07/2017,away,12560,31,Arkansas,9,True,3,9,-6,loss,3 - 9,217036,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
04/08/2017,away,12560,31,Arkansas,9,True,10,8,2,win,10 - 8,217292,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
04/09/2017,away,12560,31,Arkansas,9,True,2,0,2,win,2 - 0,217996,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
04/11/2017,home,12560,671,Louisiana,9,True,3,2,1,win,3 - 2,218801,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
04/13/2017,home,12560,433,Ole Miss,9,True,15,2,13,win,15 - 2,219150,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
04/14/2017,home,12560,433,Ole Miss,9,True,1,4,-3,loss,1 - 4,219430,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
04/15/2017,home,12560,433,Ole Miss,9,True,3,2,1,win,3 - 2,219905,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
04/18/2017,home,12560,346,Lamar University,9,True,10,4,6,win,10 - 4,220688,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
04/21/2017,away,12560,334,Kentucky,9,True,5,12,-7,loss,5 - 12,221397,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
04/21/2017,away,12560,334,Kentucky,9,True,4,3,1,win,4 - 3,221412,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
04/23/2017,away,12560,334,Kentucky,9,True,2,10,-8,loss,2 - 10,222156,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
04/25/2017,away,12560,718,Tulane,9,True,6,9,-3,loss,6 - 9,222642,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
04/27/2017,away,12560,8,Alabama,9,True,8,2,6,win,8 - 2,222958,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
04/28/2017,away,12560,8,Alabama,9,True,7,4,3,win,7 - 4,223054,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
04/29/2017,away,12560,8,Alabama,11,True,4,3,1,win,4 - 3,223475,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
05/05/2017,home,12560,648,South Carolina,9,True,2,3,-1,loss,2 - 3,224824,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
05/06/2017,home,12560,648,South Carolina,9,True,5,2,3,win,5 - 2,225045,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
05/07/2017,home,12560,648,South Carolina,10,True,7,6,1,win,7 - 6,225482,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
05/09/2017,home,12560,646,South Alabama,9,True,6,7,-1,loss,6 - 7,225803,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656111,2017
