R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,CS,Picked,SB,IBB,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,02/15/2019,neutral,14781,805,Wis.-Whitewater,9,True,8,5,3,win,1647714,23260,1781790,2019
1,4,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,02/16/2019,neutral,14781,496,North Park,9,True,13,3,10,win,1647936,23260,1781790,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/16/2019,away,14781,1130,Huntingdon,9,True,3,4,-1,loss,1707068,23260,1781790,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/23/2019,home,14781,122,CWRU,9,True,6,5,1,win,1708805,23260,1781790,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/24/2019,home,14781,122,CWRU,9,True,2,0,2,win,1649078,23260,1781790,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/24/2019,home,14781,122,CWRU,10,True,3,2,1,win,1649409,23260,1781790,2019
1,3,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,02/27/2019,away,14781,132,Centre,9,True,10,11,-1,loss,1649682,23260,1781790,2019
0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,03/01/2019,home,14781,160,Concordia Chicago,9,True,4,3,1,win,1649832,23260,1781790,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/02/2019,home,14781,800,Wis.-Platteville,9,True,8,5,3,win,1650100,23260,1781790,2019
0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,03/02/2019,home,14781,160,Concordia Chicago,9,True,9,17,-8,loss,1650094,23260,1781790,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/08/2019,away,14781,23008,Ozarks (AR),9,True,4,3,1,win,1651333,23260,1781790,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/08/2019,away,14781,23008,Ozarks (AR),9,True,4,2,2,win,1666573,23260,1781790,2019
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,03/09/2019,away,14781,23008,Ozarks (AR),9,True,16,18,-2,loss,1651590,23260,1781790,2019
0,4,2,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,03/16/2019,home,14781,1402,Thomas More,9,True,10,7,3,win,1653493,23260,1781790,2019
1,5,1,1,0,2,0,1,0,0,0,0,1,1,0,0,0,0,03/16/2019,home,14781,1402,Thomas More,9,True,9,10,-1,loss,1667276,23260,1781790,2019
0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,03/17/2019,home,14781,1402,Thomas More,9,True,7,17,-10,loss,1653895,23260,1781790,2019
1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,03/20/2019,home,14781,759,Webster,9,True,9,3,6,win,1654274,23260,1781790,2019
2,4,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,03/20/2019,home,14781,759,Webster,9,True,6,5,1,win,1665972,23260,1781790,2019
1,3,1,0,0,4,1,1,0,0,0,0,1,0,0,0,0,0,03/23/2019,away,14781,11538,Fontbonne,9,True,3,2,1,win,1655064,23260,1781790,2019
1,4,2,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,03/23/2019,away,14781,11538,Fontbonne,9,True,7,8,-1,loss,1669430,23260,1781790,2019
1,3,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,03/31/2019,home,14781,377,MacMurray,9,True,9,3,6,win,1656637,23260,1781790,2019
1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,03/31/2019,home,14781,377,MacMurray,9,True,5,1,4,win,1667357,23260,1781790,2019
1,4,2,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,04/01/2019,home,14781,377,MacMurray,9,True,9,0,9,win,1657003,23260,1781790,2019
2,3,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,04/06/2019,away,14781,64,Blackburn,9,True,10,0,10,win,1658130,23260,1781790,2019
1,3,2,0,0,2,0,1,0,1,0,0,0,0,0,0,2,0,04/06/2019,away,14781,64,Blackburn,9,True,12,2,10,win,1668631,23260,1781790,2019
0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,04/07/2019,away,14781,64,Blackburn,14,True,1,2,-1,loss,1658410,23260,1781790,2019
0,4,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,04/10/2019,home,14781,28749,Transylvania,9,True,8,3,5,win,1724247,23260,1781790,2019
1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,04/13/2019,home,14781,1450,Westminster (MO),9,True,6,4,2,win,1659632,23260,1781790,2019
1,4,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,04/13/2019,home,14781,1450,Westminster (MO),9,True,9,8,1,win,1666734,23260,1781790,2019
