R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/09/2020,away,15204,973,Berry,9,True,4,7,-3,loss,1829923,216,2131049,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/09/2020,away,15204,973,Berry,9,True,4,7,-3,loss,1849362,216,2131049,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/14/2020,away,15204,30111,Covenant,9,True,2,16,-14,loss,1830193,216,2131049,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/15/2020,away,15204,30111,Covenant,9,True,4,7,-3,loss,1830464,216,2131049,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/15/2020,away,15204,30111,Covenant,9,True,13,4,9,win,1848364,216,2131049,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/22/2020,home,15204,8567,Mt. St. Joseph,10,True,4,3,1,win,1831502,216,2131049,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/22/2020,home,15204,8567,Mt. St. Joseph,9,True,12,1,11,win,1849158,216,2131049,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/25/2020,away,15204,0,Johnson (TN),9,True,6,4,2,win,1832206,216,2131049,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/01/2020,home,15204,242,Fredonia,9,True,5,8,-3,loss,1832683,216,2131049,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/01/2020,home,15204,242,Fredonia,9,True,8,5,3,win,1848773,216,2131049,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/04/2020,away,15204,396,Maryville (TN),9,True,10,19,-9,loss,1833559,216,2131049,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/07/2020,away,15204,637,Shenandoah,9,True,0,15,-15,loss,1834155,216,2131049,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/07/2020,away,15204,637,Shenandoah,9,True,2,7,-5,loss,1849771,216,2131049,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/11/2020,away,15204,30094,Brevard,9,True,1,5,-4,loss,1835147,216,2131049,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/14/2020,home,15204,0,0.0,9,True,1,5,-4,loss,1835147,216,2131049,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/14/2020,home,15204,0,0.0,9,True,1,5,-4,loss,1835147,216,2131049,2020
