date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,stats_player_seq,season
02/19/2016,home,12360,308,Purdue Fort Wayne,9,True,7,9,-2,loss,7 - 9,292662,6,0,3,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1773879,2016
02/20/2016,home,12360,308,Purdue Fort Wayne,10,True,6,7,-1,loss,6 - 7,292814,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1773879,2016
02/20/2016,home,12360,308,Purdue Fort Wayne,9,True,1,8,-7,loss,1 - 8,293109,6,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1773879,2016
02/21/2016,home,12360,308,Purdue Fort Wayne,9,True,6,4,2,win,6 - 4,293368,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1773879,2016
02/24/2016,away,12360,718,Tulane,9,True,0,7,-7,loss,0 - 7,293459,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1773879,2016
02/27/2016,home,12360,632,Savannah St.,9,True,12,9,3,win,12 - 9,294261,6,1,2,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1773879,2016
02/27/2016,home,12360,632,Savannah St.,9,True,2,3,-1,loss,2 - 3,294262,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1773879,2016
02/28/2016,home,12360,632,Savannah St.,9,True,12,17,-5,loss,12 - 17,294564,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1773879,2016
03/01/2016,away,12360,37,Auburn,9,True,1,15,-14,loss,1 - 15,294759,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1773879,2016
03/02/2016,away,12360,37,Auburn,9,True,0,5,-5,loss,0 - 5,294886,6,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1773879,2016
03/04/2016,away,12360,28600,Lipscomb,9,True,4,5,-1,loss,4 - 5,295022,6,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1773879,2016
03/05/2016,away,12360,28600,Lipscomb,9,True,5,14,-9,loss,5 - 14,295270,6,1,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1773879,2016
03/06/2016,away,12360,28600,Lipscomb,9,True,3,10,-7,loss,3 - 10,295811,6,1,4,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1773879,2016
03/09/2016,away,12360,434,Missouri,9,True,3,5,-2,loss,3 - 5,296562,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1773879,2016
03/14/2016,away,12360,432,Mississippi Val.,11,True,12,10,2,win,12 - 10,298062,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1773879,2016
03/14/2016,away,12360,432,Mississippi Val.,9,True,5,2,3,win,5 - 2,298115,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1773879,2016
03/15/2016,home,12360,695,UT Martin,9,True,2,9,-7,loss,2 - 9,298326,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1773879,2016
03/16/2016,home,12360,202,Eastern Ky.,9,True,6,11,-5,loss,6 - 11,298527,6,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1773879,2016
03/18/2016,home,12360,17,Alcorn,9,True,12,2,10,win,12 - 2,298993,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1773879,2016
03/19/2016,home,12360,17,Alcorn,9,True,13,15,-2,loss,13 - 15,299543,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1773879,2016
03/20/2016,home,12360,17,Alcorn,9,True,4,16,-12,loss,4 - 16,299877,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1773879,2016
03/22/2016,away,12360,716,Troy,9,True,0,8,-8,loss,0 - 8,300117,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1773879,2016
03/23/2016,home,12360,487,North Ala.,9,True,6,5,1,win,6 - 5,300387,6,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1773879,2016
03/25/2016,home,12360,314,Jackson St.,9,True,4,22,-18,loss,4 - 22,300952,6,0,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1773879,2016
