R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,CS,Picked,SB,IBB,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,02/01/2019,home,14781,91,Cal Poly Pomona,9,True,3,14,-11,loss,1647054,9754,1878452,2019
0,3,1,1,0,2,0,2,0,1,0,0,0,0,0,0,0,0,02/02/2019,home,14781,91,Cal Poly Pomona,9,True,10,5,5,win,1647109,9754,1878452,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/02/2019,home,14781,91,Cal Poly Pomona,9,True,20,7,13,win,1666774,9754,1878452,2019
1,4,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,02/03/2019,home,14781,91,Cal Poly Pomona,9,True,12,6,6,win,1647178,9754,1878452,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/08/2019,home,14781,130,Central Mo.,10,True,6,7,-1,loss,1647305,9754,1878452,2019
0,3,1,0,0,1,0,2,2,0,0,0,1,0,1,0,0,0,02/09/2019,home,14781,130,Central Mo.,11,True,6,5,1,win,1647410,9754,1878452,2019
0,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,02/10/2019,home,14781,130,Central Mo.,9,True,7,6,1,win,1647508,9754,1878452,2019
0,3,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,02/15/2019,away,14781,30149,Point Loma,9,True,1,2,-1,loss,1647677,9754,1878452,2019
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,02/16/2019,away,14781,30149,Point Loma,11,True,5,2,3,win,1647924,9754,1878452,2019
1,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,02/16/2019,away,14781,30149,Point Loma,9,True,5,3,2,win,1668738,9754,1878452,2019
0,4,2,0,1,4,0,1,0,0,0,0,2,0,0,0,0,0,02/23/2019,away,14781,1395,Tarleton St.,9,True,8,9,-1,loss,1649126,9754,1878452,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/23/2019,away,14781,1395,Tarleton St.,9,True,0,10,-10,loss,1665894,9754,1878452,2019
0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,02/24/2019,away,14781,1395,Tarleton St.,9,True,7,13,-6,loss,1709023,9754,1878452,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/24/2019,away,14781,1395,Tarleton St.,9,True,7,2,5,win,1709032,9754,1878452,2019
2,4,2,1,0,3,0,1,0,0,0,0,0,0,0,0,1,0,03/08/2019,home,14781,11403,Colo. Christian,9,True,15,6,9,win,1651270,9754,1878452,2019
0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,03/09/2019,home,14781,11403,Colo. Christian,9,True,9,6,3,win,1651623,9754,1878452,2019
0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,03/09/2019,home,14781,11403,Colo. Christian,8,True,9,8,1,win,1667510,9754,1878452,2019
1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,03/10/2019,home,14781,11403,Colo. Christian,9,True,17,2,15,win,1651978,9754,1878452,2019
0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,03/16/2019,away,14781,30095,Utah Tech,9,True,1,6,-5,loss,1719217,9754,1878452,2019
0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,03/17/2019,away,14781,30095,Utah Tech,9,True,5,6,-1,loss,1719349,9754,1878452,2019
1,4,1,1,0,2,0,2,0,0,0,0,1,0,0,0,0,0,03/17/2019,away,14781,30095,Utah Tech,9,True,10,11,-1,loss,1719380,9754,1878452,2019
0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,03/18/2019,away,14781,30095,Utah Tech,9,True,3,11,-8,loss,1653747,9754,1878452,2019
0,4,4,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,03/22/2019,home,14781,11416,Colorado Mesa,9,True,3,7,-4,loss,1654615,9754,1878452,2019
1,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,03/23/2019,home,14781,11416,Colorado Mesa,9,True,12,3,9,win,1654950,9754,1878452,2019
0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,03/23/2019,home,14781,11416,Colorado Mesa,9,True,1,8,-7,loss,1668821,9754,1878452,2019
0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,03/24/2019,home,14781,11416,Colorado Mesa,9,True,3,2,1,win,1655341,9754,1878452,2019
0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,03/29/2019,home,14781,8577,N.M. Highlands,9,True,10,1,9,win,1656145,9754,1878452,2019
3,3,1,0,0,1,0,1,2,0,0,0,1,0,0,0,1,0,03/30/2019,home,14781,8577,N.M. Highlands,9,True,15,7,8,win,1722278,9754,1878452,2019
1,3,1,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,03/31/2019,home,14781,8577,N.M. Highlands,9,True,8,2,6,win,1722296,9754,1878452,2019
1,3,1,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,03/31/2019,home,14781,8577,N.M. Highlands,9,True,9,5,4,win,1722325,9754,1878452,2019
0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,04/05/2019,away,14781,929,Adams St.,9,True,14,9,5,win,1657552,9754,1878452,2019
0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,04/06/2019,away,14781,929,Adams St.,9,True,3,4,-1,loss,1657907,9754,1878452,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/06/2019,away,14781,929,Adams St.,9,True,8,3,5,win,1667924,9754,1878452,2019
4,4,2,1,0,3,0,0,2,0,0,0,1,0,0,0,0,0,04/07/2019,away,14781,929,Adams St.,9,True,17,3,14,win,1658314,9754,1878452,2019
1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,04/12/2019,away,14781,568,Regis (CO),9,True,5,9,-4,loss,1659242,9754,1878452,2019
0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,04/13/2019,away,14781,568,Regis (CO),9,True,2,3,-1,loss,1659623,9754,1878452,2019
1,4,3,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,04/13/2019,away,14781,568,Regis (CO),9,True,8,2,6,win,1666725,9754,1878452,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/14/2019,away,14781,568,Regis (CO),9,True,6,0,6,win,1659996,9754,1878452,2019
2,5,3,0,1,5,0,1,0,0,0,0,1,0,0,0,0,0,04/18/2019,home,14781,413,MSU Denver,9,True,13,5,8,win,1660615,9754,1878452,2019
0,3,1,0,1,3,0,0,1,0,0,0,1,0,0,0,0,0,04/19/2019,home,14781,413,MSU Denver,9,True,8,0,8,win,1660888,9754,1878452,2019
0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,04/19/2019,home,14781,413,MSU Denver,9,True,8,6,2,win,1667417,9754,1878452,2019
