R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,CS,Picked,SB,IBB,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/20/2016,home,12360,122,CWRU,9,True,4,2,2,win,292978,637,1778130,2016
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/20/2016,home,12360,122,CWRU,9,True,14,0,14,win,292869,637,1778130,2016
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/21/2016,home,12360,122,CWRU,9,True,7,4,3,win,293248,637,1778130,2016
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,02/27/2016,home,12360,16142,Misericordia,13,True,5,4,1,win,293976,637,1778130,2016
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,02/27/2016,home,12360,16142,Misericordia,13,True,2,6,-4,loss,294077,637,1778130,2016
1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,02/28/2016,home,12360,25719,Penn St.-Altoona,9,True,22,1,21,win,294417,637,1778130,2016
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/01/2016,away,12360,394,Marymount (VA),9,True,17,8,9,win,294687,637,1778130,2016
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/05/2016,home,12360,480,CCNY,9,True,10,1,9,win,295440,637,1778130,2016
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/05/2016,home,12360,480,CCNY,9,True,4,1,3,win,295557,637,1778130,2016
0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/06/2016,home,12360,480,CCNY,9,True,12,0,12,win,295906,637,1778130,2016
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/07/2016,home,12360,185,Dickinson,9,True,6,1,5,win,296174,637,1778130,2016
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/12/2016,home,12360,578,Roanoke,9,True,3,14,-11,loss,297353,637,1778130,2016
0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,03/12/2016,home,12360,578,Roanoke,9,True,2,6,-4,loss,297448,637,1778130,2016
1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,03/15/2016,home,12360,390,Mary Washington,9,True,5,9,-4,loss,298224,637,1778130,2016
