R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
1,4,1,1,0,2,0,1,1,0,0,0,3,0,0,0,0,0,02/14/2020,away,15204,1320,Presbyterian,9,True,10,9,1,win,1830186,202,2128443,2020
0,2,1,0,0,1,0,2,0,0,0,2,0,1,0,0,1,0,02/15/2020,away,15204,1320,Presbyterian,9,True,6,4,2,win,1830555,202,2128443,2020
1,3,1,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,02/16/2020,away,15204,1320,Presbyterian,9,True,10,4,6,win,1830802,202,2128443,2020
1,3,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,02/21/2020,away,15204,365,LSU,9,True,2,0,2,win,1831394,202,2128443,2020
0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,02/22/2020,away,15204,365,LSU,9,True,3,6,-3,loss,1831731,202,2128443,2020
1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,02/23/2020,away,15204,365,LSU,9,True,2,10,-8,loss,1831886,202,2128443,2020
1,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,02/28/2020,home,15204,639,Siena,9,True,13,10,3,win,1832443,202,2128443,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/29/2020,home,15204,639,Siena,9,True,11,8,3,win,1969682,202,2128443,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/01/2020,home,15204,639,Siena,9,True,8,3,5,win,1832711,202,2128443,2020
1,3,1,0,1,3,0,1,1,0,0,0,1,0,0,0,0,0,03/01/2020,home,15204,639,Siena,9,True,11,2,9,win,1848961,202,2128443,2020
1,3,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,03/06/2020,home,15204,485,Norfolk St.,9,True,14,2,12,win,1833864,202,2128443,2020
1,3,2,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,03/07/2020,home,15204,485,Norfolk St.,9,True,6,0,6,win,1834300,202,2128443,2020
1,4,1,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,03/08/2020,home,15204,485,Norfolk St.,9,True,13,7,6,win,1834639,202,2128443,2020
1,3,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,03/11/2020,away,15204,505,Northern Ky.,9,True,9,5,4,win,1835146,202,2128443,2020
