R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,GDP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,division
1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,02/23/2024,away,16580,751,Wash. & Jeff.,13,True,10,7,3,win,5249335,122,2506433,2024,3
2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,03/10/2024,neutral,16580,530,Oswego St.,9,True,7,3,4,win,4530055,122,2506433,2024,3
0,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,03/11/2024,neutral,16580,686,Swarthmore,9,True,8,9,-1,loss,4530286,122,2506433,2024,3
0,4,2,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,03/24/2024,home,16580,137,UChicago,9,True,6,3,3,win,5255303,122,2506433,2024,3
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,03/29/2024,away,16580,217,Emory,9,True,12,5,7,win,4533819,122,2506433,2024,3
1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,04/07/2024,home,16580,73,Brandeis,9,True,12,0,12,win,4535977,122,2506433,2024,3
1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,04/14/2024,away,16580,520,Ohio Wesleyan,9,True,28,3,25,win,4537596,122,2506433,2024,3
2,3,2,0,0,2,0,1,0,1,0,0,0,1,1,0,0,0,0,04/21/2024,away,16580,479,NYU,9,True,10,5,5,win,4538938,122,2506433,2024,3
0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,04/27/2024,home,16580,755,WashU,9,True,2,6,-4,loss,4540049,122,2506433,2024,3
1,4,1,1,0,2,0,1,1,0,0,0,1,0,0,0,1,0,0,05/05/2024,home,16580,320,John Carroll,9,True,9,8,1,win,4541458,122,2506433,2024,3
