R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,GDP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,division
0,3,1,0,0,1,0,2,1,0,1,0,1,0,0,0,0,0,0,02/16/2024,home,16580,574514,Puget Sound,9,True,7,1,6,win,4525608,105,2663845,2024,3
0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,02/18/2024,home,16580,574514,Puget Sound,9,True,9,2,7,win,4526172,105,2663845,2024,3
0,4,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,02/23/2024,home,16580,574517,Redlands,9,True,6,8,-2,loss,4526635,105,2663845,2024,3
0,4,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,02/24/2024,away,16580,574517,Redlands,9,True,4,1,3,win,4526985,105,2663845,2024,3
1,5,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,02/24/2024,away,16580,574517,Redlands,9,True,12,9,3,win,4543814,105,2663845,2024,3
1,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,02/25/2024,home,16580,574835,Macalester,9,True,10,0,10,win,4527348,105,2663845,2024,3
0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,03/01/2024,home,16580,574584,Whittier,9,True,1,3,-2,loss,4527906,105,2663845,2024,3
0,4,3,1,0,4,0,2,0,0,0,0,0,0,1,0,0,0,0,03/03/2024,away,16580,574584,Whittier,9,True,5,6,-1,loss,4528218,105,2663845,2024,3
2,4,3,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,03/04/2024,away,16580,574584,Whittier,9,True,13,2,11,win,5251176,105,2663845,2024,3
2,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,03/08/2024,home,16580,574774,Cortland,9,True,10,4,6,win,4529394,105,2663845,2024,3
0,4,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,03/09/2024,home,16580,574774,Cortland,9,True,4,2,2,win,4529791,105,2663845,2024,3
0,4,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,03/10/2024,home,16580,574774,Cortland,9,True,6,5,1,win,4530160,105,2663845,2024,3
