AB,H,TB,R,2B,3B,HR,RBI,BB,HBP,SF,SH,K,DP,SB,CS,Picked,IBB,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,02/15/2013,neutral,11320,180,Delaware,9,True,4,8,-4,loss,658051,690,1427043,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/15/2013,neutral,11320,810,Wright St.,9,True,3,8,-5,loss,658053,690,1427043,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/23/2013,away,11320,742,Virginia Tech,9,True,7,3,4,win,659171,690,1427043,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/24/2013,neutral,11320,285,Holy Cross,9,True,13,12,1,win,659846,690,1427043,2013
1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,02/24/2013,neutral,11320,285,Holy Cross,9,True,6,8,-2,loss,659852,690,1427043,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/01/2013,away,11320,523,Old Dominion,9,True,2,9,-7,loss,660253,690,1427043,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/02/2013,away,11320,523,Old Dominion,9,True,4,12,-8,loss,660511,690,1427043,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/03/2013,away,11320,523,Old Dominion,9,True,0,2,-2,loss,660985,690,1427043,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/08/2013,away,11320,456,UNC Asheville,9,True,5,6,-1,loss,661937,690,1427043,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/09/2013,away,11320,456,UNC Asheville,9,True,7,2,5,win,662258,690,1427043,2013
2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,03/10/2013,away,11320,456,UNC Asheville,9,True,4,5,-1,loss,662793,690,1427043,2013
