date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,AB,H,TB,R,2B,3B,HR,RBI,BB,HBP,SF,SH,K,DP,SB,CS,Picked,IBB,stats_player_seq,season
03/09/2013,home,11320,725,Army West Point,9,True,4,14,-10,loss,4 - 14,662652,813,3,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1215739,2013
03/09/2013,home,11320,725,Army West Point,9,True,4,8,-4,loss,4 - 8,662687,813,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1215739,2013
03/10/2013,home,11320,725,Army West Point,9,True,1,4,-3,loss,1 - 4,662952,813,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1215739,2013
03/13/2013,home,11320,83,Bucknell,9,True,5,2,3,win,5 - 2,663542,813,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1215739,2013
03/13/2013,home,11320,735,Valparaiso,9,True,2,9,-7,loss,2 - 9,663586,813,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1215739,2013
03/14/2013,home,11320,493,North Dakota St.,9,True,2,17,-15,loss,2 - 17,663662,813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1215739,2013
03/15/2013,home,11320,361,LIU,9,True,3,4,-1,loss,3 - 4,664097,813,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1215739,2013
03/16/2013,home,11320,726,Navy,9,True,5,6,-1,loss,5 - 6,664610,813,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1215739,2013
03/19/2013,away,11320,746,Virginia,9,True,3,14,-11,loss,3 - 14,665175,813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1215739,2013
03/20/2013,away,11320,746,Virginia,9,True,0,10,-10,loss,0 - 10,665372,813,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1215739,2013
03/23/2013,away,11320,285,Holy Cross,9,True,4,5,-1,loss,4 - 5,666072,813,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1215739,2013
03/23/2013,away,11320,285,Holy Cross,9,True,6,7,-1,loss,6 - 7,666279,813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1215739,2013
03/24/2013,home,11320,285,Holy Cross,9,True,4,7,-3,loss,4 - 7,666665,813,3,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1215739,2013
03/24/2013,home,11320,285,Holy Cross,9,True,0,2,-2,loss,0 - 2,666711,813,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1215739,2013
03/30/2013,away,11320,554,Princeton,9,True,0,4,-4,loss,0 - 4,668264,813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1215739,2013
03/30/2013,away,11320,554,Princeton,9,True,9,1,8,win,9 - 1,668455,813,3,1,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1215739,2013
03/31/2013,away,11320,167,Cornell,9,True,5,8,-3,loss,5 - 8,668622,813,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1215739,2013
