R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,GDP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,division
0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,02/23/2024,away,16580,555,Principia,9,True,17,0,17,win,4526724,326,2814800,2024,3
2,2,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,02/24/2024,away,16580,555,Principia,9,True,20,0,20,win,4543970,326,2814800,2024,3
1,3,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,03/03/2024,away,16580,195,Earlham,9,True,28,4,24,win,4528595,326,2814800,2024,3
1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,03/09/2024,neutral,16580,212,Elmhurst,9,True,13,6,7,win,4529835,326,2814800,2024,3
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/19/2024,away,16580,30037,Trine,9,True,15,2,13,win,4538320,326,2814800,2024,3
0,2,1,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,04/24/2024,away,16580,778,Wheaton (IL),9,True,6,5,1,win,4539506,326,2814800,2024,3
1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,04/27/2024,home,16580,525,Olivet,9,True,14,8,6,win,4540175,326,2814800,2024,3
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/28/2024,away,16580,525,Olivet,9,True,17,7,10,win,4539773,326,2814800,2024,3
0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,05/01/2024,away,16580,0,Grace Christian (MI),9,True,18,0,18,win,4535019,326,2814800,2024,3
0,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,05/04/2024,away,16580,21,Alma,9,True,11,10,1,win,4546313,326,2814800,2024,3
