date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,AB,H,TB,R,2B,3B,HR,RBI,BB,HBP,SF,SH,K,DP,SB,CS,Picked,IBB,stats_player_seq,season
02/15/2013,away,11320,574,Rice,9,True,1,5,-4,loss,1 - 5,657949,674,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1435787,2013
02/16/2013,away,11320,574,Rice,9,True,3,2,1,win,3 - 2,658195,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435787,2013
02/17/2013,away,11320,574,Rice,9,True,0,3,-3,loss,0 - 3,658513,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435787,2013
02/20/2013,home,11320,107,California,9,True,5,0,5,win,5 - 0,658840,674,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1435787,2013
02/22/2013,home,11320,96,Fresno St.,9,True,3,1,2,win,3 - 1,658915,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435787,2013
02/23/2013,home,11320,96,Fresno St.,10,True,7,4,3,win,7 - 4,659102,674,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435787,2013
02/24/2013,home,11320,96,Fresno St.,9,True,7,4,3,win,7 - 4,659485,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435787,2013
02/26/2013,away,11320,610,Saint Mary's (CA),9,True,7,2,5,win,7 - 2,659961,674,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1435787,2013
03/01/2013,home,11320,703,Texas,9,True,2,0,2,win,2 - 0,660256,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435787,2013
03/02/2013,home,11320,703,Texas,9,True,6,2,4,win,6 - 2,660514,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435787,2013
03/03/2013,home,11320,703,Texas,9,True,2,1,1,win,2 - 1,660988,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435787,2013
03/05/2013,away,11320,631,Santa Clara,9,True,6,4,2,win,6 - 4,661456,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435787,2013
03/08/2013,home,11320,465,UNLV,9,True,2,3,-1,loss,2 - 3,661904,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435787,2013
03/09/2013,home,11320,465,UNLV,9,True,2,12,-10,loss,2 - 12,662216,674,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1435787,2013
03/10/2013,home,11320,465,UNLV,9,True,1,5,-4,loss,1 - 5,662761,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435787,2013
03/22/2013,home,11320,732,Utah,9,True,6,4,2,win,6 - 4,665648,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435787,2013
03/23/2013,home,11320,732,Utah,10,True,2,3,-1,loss,2 - 3,665958,674,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1435787,2013
