AB,H,TB,R,2B,3B,HR,RBI,BB,HBP,SF,SH,K,DP,SB,CS,Picked,IBB,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/23/2013,away,11320,317,James Madison,9,True,8,4,4,win,659326,62,1436245,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/23/2013,away,11320,317,James Madison,9,True,1,9,-8,loss,659394,62,1436245,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/24/2013,away,11320,317,James Madison,9,True,5,1,4,win,659680,62,1436245,2013
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/24/2013,away,11320,317,James Madison,9,True,1,14,-13,loss,659736,62,1436245,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/01/2013,away,11320,741,VMI,9,True,2,3,-1,loss,660165,62,1436245,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/02/2013,away,11320,741,VMI,12,True,9,7,2,win,660399,62,1436245,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/03/2013,away,11320,741,VMI,9,True,11,6,5,win,661083,62,1436245,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/03/2013,away,11320,741,VMI,9,True,4,6,-2,loss,661087,62,1436245,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/08/2013,away,11320,488,N.C. A&T,9,True,10,4,6,win,661852,62,1436245,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/09/2013,away,11320,488,N.C. A&T,9,True,9,6,3,win,662325,62,1436245,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/09/2013,away,11320,488,N.C. A&T,9,True,9,4,5,win,662443,62,1436245,2013
4,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,03/10/2013,away,11320,488,N.C. A&T,9,True,13,0,13,win,662705,62,1436245,2013
1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,03/16/2013,away,11320,391,UMBC,9,True,4,7,-3,loss,664312,62,1436245,2013
3,1,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,03/17/2013,away,11320,391,UMBC,9,True,17,11,6,win,664917,62,1436245,2013
2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,03/17/2013,away,11320,391,UMBC,9,True,0,2,-2,loss,664960,62,1436245,2013
4,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,03/23/2013,away,11320,683,Stony Brook,9,True,10,7,3,win,666049,62,1436245,2013
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/23/2013,away,11320,683,Stony Brook,9,True,1,4,-3,loss,666255,62,1436245,2013
3,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,03/24/2013,away,11320,683,Stony Brook,9,True,8,1,7,win,666528,62,1436245,2013
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/26/2013,away,11320,83,Bucknell,9,True,1,3,-2,loss,666969,62,1436245,2013
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/26/2013,away,11320,83,Bucknell,9,True,5,4,1,win,666992,62,1436245,2013
3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,03/29/2013,away,11320,272,Hartford,9,True,3,2,1,win,667684,62,1436245,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/29/2013,away,11320,272,Hartford,9,True,3,1,2,win,667803,62,1436245,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/30/2013,away,11320,272,Hartford,9,True,3,4,-1,loss,667955,62,1436245,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/07/2013,away,11320,380,Maine,9,True,2,5,-3,loss,670635,62,1436245,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/07/2013,away,11320,380,Maine,9,True,2,3,-1,loss,670791,62,1436245,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/13/2013,home,11320,14,UAlbany,9,True,3,5,-2,loss,671861,62,1436245,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/13/2013,home,11320,14,UAlbany,9,True,4,3,1,win,672110,62,1436245,2013
