R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/31/2020,away,15204,103,Stanislaus St.,9,True,1,10,-9,loss,1829578,1010,2329756,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/01/2020,away,15204,103,Stanislaus St.,9,True,3,7,-4,loss,1829631,1010,2329756,2020
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,02/01/2020,away,15204,103,Stanislaus St.,9,True,4,11,-7,loss,1848337,1010,2329756,2020
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,02/07/2020,away,15204,30123,Academy of Art,9,True,2,8,-6,loss,1829785,1010,2329756,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/07/2020,away,15204,30123,Academy of Art,8,True,5,4,1,win,1848931,1010,2329756,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/08/2020,away,15204,30123,Academy of Art,9,True,7,4,3,win,1963869,1010,2329756,2020
4,6,5,1,0,9,1,5,0,0,0,0,0,0,0,0,0,0,02/09/2020,away,15204,30123,Academy of Art,9,True,16,17,-1,loss,1963954,1010,2329756,2020
0,3,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,02/14/2020,away,15204,0,Corban,9,True,5,6,-1,loss,1830391,1010,2329756,2020
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,02/14/2020,away,15204,0,Corban,9,True,0,4,-4,loss,1848013,1010,2329756,2020
1,4,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,02/15/2020,away,15204,0,Corban,9,True,9,5,4,win,1830687,1010,2329756,2020
0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,02/28/2020,home,15204,1274,Northwest Nazarene,9,True,4,10,-6,loss,1832335,1010,2329756,2020
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/28/2020,home,15204,1274,Northwest Nazarene,9,True,4,6,-2,loss,1847700,1010,2329756,2020
1,4,3,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,02/29/2020,home,15204,1274,Northwest Nazarene,9,True,10,9,1,win,1832733,1010,2329756,2020
0,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,02/29/2020,home,15204,1274,Northwest Nazarene,9,True,1,3,-2,loss,1848983,1010,2329756,2020
1,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,03/07/2020,home,15204,1446,Western Ore.,9,True,6,5,1,win,1834017,1010,2329756,2020
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/07/2020,home,15204,1446,Western Ore.,9,True,0,3,-3,loss,1849482,1010,2329756,2020
2,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,03/08/2020,home,15204,1446,Western Ore.,9,True,9,1,8,win,1834426,1010,2329756,2020
0,3,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,03/08/2020,home,15204,1446,Western Ore.,9,True,5,9,-4,loss,1848422,1010,2329756,2020
