R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
1,4,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,02/22/2020,away,15204,139,Chris. Newport,9,True,7,8,-1,loss,1831206,685,1890559,2020
0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,02/23/2020,away,15204,637,Shenandoah,9,True,5,12,-7,loss,1831978,685,1890559,2020
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/29/2020,neutral,15204,276,Haverford,9,True,5,0,5,win,1832892,685,1890559,2020
0,3,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,03/01/2020,away,15204,329,Kean,9,True,2,9,-7,loss,1833053,685,1890559,2020
2,3,1,0,0,1,0,0,1,0,0,0,2,0,0,0,2,0,03/09/2020,neutral,15204,385,Marietta,9,True,3,5,-2,loss,1834782,685,1890559,2020
0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,03/09/2020,neutral,15204,46,Baldwin Wallace,10,True,5,4,1,win,1834799,685,1890559,2020
0,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,03/11/2020,neutral,15204,278,Heidelberg,9,True,5,3,2,win,1835112,685,1890559,2020
0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,03/12/2020,neutral,15204,1163,La Roche,9,True,7,0,7,win,1835308,685,1890559,2020
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/13/2020,neutral,15204,385,Marietta,9,True,0,8,-8,loss,1835412,685,1890559,2020
0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,03/14/2020,neutral,15204,46,Baldwin Wallace,9,True,6,1,5,win,1972621,685,1890559,2020
1,3,1,1,0,2,0,3,1,0,0,0,1,1,0,0,0,0,03/15/2020,neutral,15204,385,Marietta,9,True,11,2,9,win,1972668,685,1890559,2020
