R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/15/2020,away,15204,763,Wesley,9,True,10,3,7,win,1967568,30170,2354457,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/15/2020,away,15204,763,Wesley,9,True,7,0,7,win,1830458,30170,2354457,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/16/2020,away,15204,622,Salisbury,9,True,3,12,-9,loss,1830770,30170,2354457,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/22/2020,neutral,15204,78,SUNY Brockport,9,True,8,3,5,win,1831550,30170,2354457,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/23/2020,neutral,15204,78,SUNY Brockport,9,True,8,12,-4,loss,1831846,30170,2354457,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/23/2020,away,15204,225,Ferrum,9,True,6,16,-10,loss,1832048,30170,2354457,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/07/2020,away,15204,30164,Southern Va.,9,True,17,7,10,win,1834299,30170,2354457,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/08/2020,neutral,15204,390,Mary Washington,9,True,2,6,-4,loss,1834698,30170,2354457,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/09/2020,neutral,15204,122,CWRU,10,True,3,4,-1,loss,1834808,30170,2354457,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/10/2020,neutral,15204,583,Roger Williams,9,True,5,6,-1,loss,1834857,30170,2354457,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/11/2020,neutral,15204,122,CWRU,9,True,2,13,-11,loss,1835110,30170,2354457,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/11/2020,neutral,15204,583,Roger Williams,9,True,3,13,-10,loss,1835169,30170,2354457,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/13/2020,neutral,15204,642,Skidmore,9,True,0,6,-6,loss,1835391,30170,2354457,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/13/2020,neutral,15204,642,Skidmore,9,True,4,2,2,win,1849405,30170,2354457,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/14/2020,neutral,15204,221,FDU-Florham,9,True,4,5,-1,loss,1972857,30170,2354457,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/14/2020,neutral,15204,221,FDU-Florham,9,True,3,11,-8,loss,1972860,30170,2354457,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/15/2020,neutral,15204,807,Wooster,9,True,7,4,3,win,1972853,30170,2354457,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/15/2020,neutral,15204,807,Wooster,9,True,2,15,-13,loss,1972854,30170,2354457,2020
