R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,CS,Picked,SB,IBB,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/24/2019,neutral,14781,1328,Rockhurst,9,True,5,2,3,win,1649085,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/25/2019,away,14781,30002,Trevecca Nazarene,9,True,6,0,6,win,1709398,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/25/2019,neutral,14781,1328,Rockhurst,9,True,7,5,2,win,1649423,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/02/2019,neutral,14781,30063,Seton Hill,9,True,5,6,-1,loss,1650275,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/03/2019,neutral,14781,1403,Tiffin,9,True,11,4,7,win,1650539,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/04/2019,neutral,14781,30124,Cedarville,9,True,20,3,17,win,1650785,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/05/2019,neutral,14781,9630,West Va. Wesleyan,9,True,13,0,13,win,1650907,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/06/2019,neutral,14781,28594,USciences,9,True,5,0,5,win,1651084,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/07/2019,neutral,14781,41,Augustana (SD),11,True,4,3,1,win,1651195,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/08/2019,neutral,14781,383,Minnesota St.,9,True,9,8,1,win,1651364,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/09/2019,neutral,14781,1266,Northern St.,9,True,2,4,-2,loss,1651670,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/10/2019,neutral,14781,30126,Notre Dame (OH),9,True,9,13,-4,loss,1652044,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/13/2019,home,14781,1403,Tiffin,9,True,10,4,6,win,1652719,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/15/2019,away,14781,246,Gannon,9,True,11,9,2,win,1718953,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/16/2019,home,14781,246,Gannon,9,True,8,3,5,win,1653466,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/16/2019,home,14781,246,Gannon,9,True,3,2,1,win,1667068,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/19/2019,home,14781,30141,Walsh,9,True,8,4,4,win,1654093,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/23/2019,home,14781,799,Wis.-Parkside,9,True,10,2,8,win,1655039,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/23/2019,home,14781,799,Wis.-Parkside,9,True,16,5,11,win,1669405,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/24/2019,home,14781,799,Wis.-Parkside,9,True,7,3,4,win,1720578,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/24/2019,home,14781,799,Wis.-Parkside,10,True,9,8,1,win,1720702,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/26/2019,home,14781,12799,Wheeling,9,True,13,5,8,win,1655638,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/01/2019,home,14781,30221,Davenport,9,True,4,3,1,win,1656133,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/02/2019,home,14781,30221,Davenport,9,True,6,5,1,win,1656580,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/02/2019,home,14781,30221,Davenport,9,True,11,7,4,win,1666950,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/03/2019,home,14781,2746,Lake Erie,9,True,21,4,17,win,1657363,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/05/2019,away,14781,591,Saginaw Valley,9,True,4,1,3,win,1657678,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/06/2019,away,14781,591,Saginaw Valley,9,True,4,2,2,win,1658078,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/06/2019,away,14781,591,Saginaw Valley,9,True,3,1,2,win,1668598,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/07/2019,away,14781,591,Saginaw Valley,9,True,3,11,-8,loss,1658552,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/09/2019,away,14781,30141,Walsh,9,True,12,7,5,win,1658718,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/12/2019,away,14781,757,Wayne St. (MI),9,True,4,5,-1,loss,1659083,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/13/2019,away,14781,757,Wayne St. (MI),9,True,1,3,-2,loss,1659452,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/13/2019,away,14781,757,Wayne St. (MI),9,True,3,16,-13,loss,1666098,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/16/2019,home,14781,30119,Ohio Dominican,9,True,8,7,1,win,1660297,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/18/2019,home,14781,262,Grand Valley St.,9,True,7,3,4,win,1726058,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/18/2019,home,14781,262,Grand Valley St.,9,True,12,5,7,win,1726201,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/22/2019,away,14781,30119,Ohio Dominican,9,True,5,4,1,win,1726812,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/22/2019,away,14781,30119,Ohio Dominican,9,True,6,2,4,win,1661611,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/26/2019,away,14781,510,Northwood,9,True,5,9,-4,loss,1727927,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/27/2019,away,14781,510,Northwood,9,True,8,4,4,win,1728112,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/27/2019,away,14781,510,Northwood,9,True,12,9,3,win,1728288,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/28/2019,away,14781,510,Northwood,9,True,3,16,-13,loss,1728456,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/03/2019,away,14781,30222,Purdue Northwest,9,True,7,2,5,win,1663519,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/04/2019,away,14781,30222,Purdue Northwest,8,True,11,1,10,win,1663791,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/04/2019,away,14781,30222,Purdue Northwest,9,True,4,3,1,win,1665165,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/05/2019,away,14781,30222,Purdue Northwest,9,True,4,7,-3,loss,1663982,35,2002602,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/09/2019,neutral,14781,591,Saginaw Valley,9,True,8,6,2,win,1730952,35,2002602,2019
