R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
1,5,2,1,0,6,1,1,0,0,0,0,2,0,0,0,0,0,02/14/2020,home,15204,175,Dayton,9,True,10,9,1,win,1830253,460,1973866,2020
1,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,02/15/2020,home,15204,81,Bryant,9,True,3,2,1,win,1830643,460,1973866,2020
0,5,2,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,02/16/2020,home,15204,175,Dayton,9,True,2,9,-7,loss,1830708,460,1973866,2020
2,4,2,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,02/16/2020,home,15204,81,Bryant,9,True,4,2,2,win,1830903,460,1973866,2020
1,5,2,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,02/19/2020,away,15204,149,Coastal Carolina,9,True,3,4,-1,loss,1967746,460,1973866,2020
0,4,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,02/22/2020,home,15204,71,Bowling Green,9,True,5,2,3,win,1831271,460,1973866,2020
1,3,2,0,0,2,0,0,1,0,0,0,1,0,1,0,1,0,02/22/2020,home,15204,388,Marshall,9,True,8,1,7,win,1831744,460,1973866,2020
1,4,3,1,0,4,0,2,2,0,0,0,0,0,1,0,0,0,02/23/2020,home,15204,388,Marshall,9,True,8,6,2,win,1832038,460,1973866,2020
0,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,02/25/2020,away,15204,490,NC State,9,True,0,11,-11,loss,1832138,460,1973866,2020
1,4,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,02/28/2020,away,15204,334,Kentucky,9,True,8,0,8,win,1832282,460,1973866,2020
0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,02/29/2020,away,15204,334,Kentucky,9,True,3,0,3,win,1832561,460,1973866,2020
0,3,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,03/01/2020,away,15204,334,Kentucky,9,True,7,4,3,win,1832958,460,1973866,2020
0,4,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,03/06/2020,home,15204,404,Memphis,9,True,0,4,-4,loss,1833857,460,1973866,2020
0,4,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,03/07/2020,home,15204,404,Memphis,9,True,1,6,-5,loss,1834359,460,1973866,2020
1,3,1,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,03/08/2020,home,15204,404,Memphis,9,True,4,3,1,win,1834608,460,1973866,2020
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/11/2020,home,15204,196,East Carolina,9,True,5,2,3,win,1835215,460,1973866,2020
