R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,GDP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,division
0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,02/02/2023,home,16340,10,Alabama Huntsville,9,True,3,1,2,win,2411985,608,2303065,2023,2
1,4,2,1,0,6,1,1,1,0,0,0,0,0,0,0,0,0,0,02/03/2023,home,16340,10,Alabama Huntsville,10,True,8,9,-1,loss,2389737,608,2303065,2023,2
3,3,2,1,0,3,0,1,2,0,0,0,1,0,0,0,1,0,0,02/04/2023,home,16340,10,Alabama Huntsville,9,True,11,14,-3,loss,2389796,608,2303065,2023,2
0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,02/07/2023,home,16340,584,Rollins,9,True,4,9,-5,loss,2389900,608,2303065,2023,2
1,2,1,1,0,2,0,1,1,1,0,0,1,0,0,0,0,0,0,02/10/2023,home,16340,30092,Flagler,9,True,6,5,1,win,2390001,608,2303065,2023,2
0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,02/11/2023,home,16340,30092,Flagler,9,True,4,3,1,win,2390077,608,2303065,2023,2
1,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,02/11/2023,home,16340,30092,Flagler,9,True,8,2,6,win,2407830,608,2303065,2023,2
0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,02/14/2023,home,16340,561,Quincy,9,True,2,10,-8,loss,2390218,608,2303065,2023,2
1,3,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,02/24/2023,away,16340,49,Barry,9,True,3,7,-4,loss,2391537,608,2303065,2023,2
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/07/2023,home,16340,1460,Wilmington (DE),9,True,8,2,6,win,2393756,608,2303065,2023,2
0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,03/09/2023,home,16340,333,Ky. Wesleyan,9,True,16,3,13,win,2394114,608,2303065,2023,2
0,3,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,03/10/2023,home,16340,333,Ky. Wesleyan,9,True,19,11,8,win,2394258,608,2303065,2023,2
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/17/2023,away,16340,9680,Embry-Riddle (FL),9,True,12,1,11,win,2396030,608,2303065,2023,2
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/19/2023,away,16340,9680,Embry-Riddle (FL),9,True,12,1,11,win,2409544,608,2303065,2023,2
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/24/2023,home,16340,233,Fla. Southern,9,True,7,10,-3,loss,2397533,608,2303065,2023,2
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/06/2023,away,16340,30093,AUM,9,True,13,2,11,win,2427787,608,2303065,2023,2
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/21/2023,away,16340,208,Eckerd,9,True,1,6,-5,loss,2403480,608,2303065,2023,2
0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,04/22/2023,away,16340,208,Eckerd,14,True,3,2,1,win,2411483,608,2303065,2023,2
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,04/28/2023,home,16340,689,Tampa,9,True,6,4,2,win,2404994,608,2303065,2023,2
1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,04/30/2023,home,16340,689,Tampa,9,True,9,4,5,win,2432111,608,2303065,2023,2
