date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,AB,H,TB,R,2B,3B,HR,RBI,BB,HBP,SF,SH,K,DP,SB,CS,Picked,IBB,stats_player_seq,season
02/15/2013,away,11320,255,Georgia Tech,9,True,0,3,-3,loss,0 - 3,657848,5,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1321052,2013
02/16/2013,away,11320,255,Georgia Tech,9,True,3,10,-7,loss,3 - 10,658103,5,4,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1321052,2013
02/17/2013,away,11320,255,Georgia Tech,9,True,3,5,-2,loss,3 - 5,658427,5,3,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1321052,2013
02/22/2013,away,11320,367,Louisville,9,True,0,7,-7,loss,0 - 7,658902,5,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1321052,2013
02/23/2013,away,11320,367,Louisville,9,True,0,8,-8,loss,0 - 8,659083,5,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1321052,2013
02/24/2013,away,11320,367,Louisville,9,True,1,2,-1,loss,1 - 2,659466,5,4,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1321052,2013
03/01/2013,away,11320,334,Kentucky,9,True,2,21,-19,loss,2 - 21,660157,5,3,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1321052,2013
03/02/2013,away,11320,334,Kentucky,9,True,0,7,-7,loss,0 - 7,660393,5,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1321052,2013
03/03/2013,away,11320,334,Kentucky,9,True,2,9,-7,loss,2 - 9,660877,5,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1321052,2013
03/08/2013,away,11320,10411,USC Upstate,9,True,2,11,-9,loss,2 - 11,661844,5,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1321052,2013
03/09/2013,away,11320,10411,USC Upstate,9,True,2,8,-6,loss,2 - 8,662138,5,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1321052,2013
