R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,CS,Picked,SB,IBB,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/09/2018,home,12973,1062,East Tex. Baptist,9,True,1,5,-4,loss,84861,8746,1883251,2018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/10/2018,home,12973,1062,East Tex. Baptist,9,True,3,5,-2,loss,85030,8746,1883251,2018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/10/2018,home,12973,1062,East Tex. Baptist,12,True,5,8,-3,loss,85049,8746,1883251,2018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/16/2018,away,12973,8530,McMurry,9,True,6,5,1,win,85400,8746,1883251,2018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/16/2018,away,12973,8530,McMurry,9,True,10,12,-2,loss,85410,8746,1883251,2018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/17/2018,away,12973,8530,McMurry,9,True,11,5,6,win,85690,8746,1883251,2018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/06/2018,away,12973,1203,Mary Hardin-Baylor,9,True,6,4,2,win,88881,8746,1883251,2018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/09/2018,home,12973,424,Millikin,9,True,10,6,4,win,89471,8746,1883251,2018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/10/2018,home,12973,424,Millikin,9,True,7,19,-12,loss,89817,8746,1883251,2018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/11/2018,home,12973,424,Millikin,9,True,7,6,1,win,90371,8746,1883251,2018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/13/2018,home,12973,64,Blackburn,9,True,6,2,4,win,90757,8746,1883251,2018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/16/2018,away,12973,715,Trinity (TX),9,True,1,11,-10,loss,91295,8746,1883251,2018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/17/2018,away,12973,715,Trinity (TX),9,True,2,6,-4,loss,91709,8746,1883251,2018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/17/2018,away,12973,715,Trinity (TX),9,True,0,13,-13,loss,91805,8746,1883251,2018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/21/2018,home,12973,137,UChicago,9,True,4,6,-2,loss,92690,8746,1883251,2018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/24/2018,home,12973,1044,Dallas,9,True,9,8,1,win,93317,8746,1883251,2018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/24/2018,home,12973,1044,Dallas,9,True,3,11,-8,loss,93415,8746,1883251,2018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/25/2018,home,12973,1044,Dallas,9,True,17,3,14,win,93680,8746,1883251,2018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/29/2018,home,12973,1355,Schreiner,9,True,10,2,8,win,94508,8746,1883251,2018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/30/2018,home,12973,1355,Schreiner,9,True,10,2,8,win,94822,8746,1883251,2018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/30/2018,home,12973,1355,Schreiner,9,True,8,7,1,win,94898,8746,1883251,2018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/03/2018,home,12973,30028,UT Tyler,9,True,4,2,2,win,95857,8746,1883251,2018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/04/2018,home,12973,715,Trinity (TX),9,True,5,9,-4,loss,96017,8746,1883251,2018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/05/2018,away,12973,125,Centenary (LA),9,True,1,6,-5,loss,96050,8746,1883251,2018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/07/2018,away,12973,125,Centenary (LA),9,True,5,6,-1,loss,96618,8746,1883251,2018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/07/2018,away,12973,125,Centenary (LA),9,True,0,8,-8,loss,96884,8746,1883251,2018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/10/2018,home,12973,23121,Texas-Dallas,9,True,9,13,-4,loss,97679,8746,1883251,2018
