date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,CS,Picked,SB,IBB,stats_player_seq,season
02/17/2017,home,12560,178,Delaware St.,9,True,2,9,-7,loss,2 - 9,205908,48,0,5,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1546671,2017
02/18/2017,home,12560,178,Delaware St.,9,True,3,2,1,win,3 - 2,206096,48,1,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1546671,2017
02/19/2017,home,12560,178,Delaware St.,9,True,3,1,2,win,3 - 1,206534,48,1,4,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1546671,2017
02/24/2017,home,12560,740,VCU,9,True,4,13,-9,loss,4 - 13,207051,48,1,4,2,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1546671,2017
02/25/2017,home,12560,740,VCU,9,True,11,9,2,win,11 - 9,207312,48,3,4,2,1,0,6,1,4,1,0,0,0,2,0,0,0,0,0,1546671,2017
02/26/2017,home,12560,740,VCU,9,True,4,2,2,win,4 - 2,207800,48,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1546671,2017
03/01/2017,home,12560,10411,USC Upstate,9,True,4,3,1,win,4 - 3,208164,48,1,5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1546671,2017
03/04/2017,home,12560,283,Hofstra,9,True,9,3,6,win,9 - 3,208709,48,2,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1546671,2017
03/04/2017,home,12560,283,Hofstra,9,True,4,1,3,win,4 - 1,208796,48,1,4,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1546671,2017
03/05/2017,home,12560,283,Hofstra,11,True,8,7,1,win,8 - 7,209137,48,1,6,2,2,0,4,0,2,0,0,0,0,0,0,0,0,0,0,1546671,2017
03/09/2017,away,12560,231,FIU,9,True,0,8,-8,loss,0 - 8,210059,48,0,4,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1546671,2017
03/10/2017,away,12560,231,FIU,9,True,8,15,-7,loss,8 - 15,210203,48,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1546671,2017
03/11/2017,away,12560,231,FIU,9,True,6,5,1,win,6 - 5,210530,48,1,5,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1546671,2017
03/15/2017,home,12560,792,Winthrop,9,True,4,2,2,win,4 - 2,211509,48,1,4,2,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1546671,2017
03/17/2017,away,12560,363,Longwood,9,True,2,7,-5,loss,2 - 7,211781,48,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1546671,2017
03/18/2017,away,12560,363,Longwood,9,True,0,1,-1,loss,0 - 1,212089,48,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1546671,2017
03/19/2017,away,12560,363,Longwood,10,True,8,7,1,win,8 - 7,212577,48,1,5,2,0,0,2,0,3,1,0,0,0,2,0,0,0,0,0,1546671,2017
03/22/2017,away,12560,648,South Carolina,9,True,0,3,-3,loss,0 - 3,213210,48,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1546671,2017
03/24/2017,home,12560,355,Liberty,9,True,2,12,-10,loss,2 - 12,213546,48,1,3,2,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,1546671,2017
03/25/2017,home,12560,355,Liberty,9,True,3,17,-14,loss,3 - 17,213863,48,0,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1546671,2017
03/26/2017,home,12560,355,Liberty,9,True,11,4,7,win,11 - 4,214504,48,2,4,2,0,0,2,0,2,1,0,0,0,1,0,0,0,0,0,1546671,2017
03/28/2017,home,12560,10411,USC Upstate,9,True,4,10,-6,loss,4 - 10,214899,48,0,5,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1546671,2017
03/29/2017,home,12560,632,Savannah St.,9,True,7,5,2,win,7 - 5,215041,48,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1546671,2017
03/31/2017,away,12560,115,Campbell,9,True,12,6,6,win,12 - 6,215455,48,2,4,1,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,1546671,2017
04/01/2017,away,12560,115,Campbell,9,True,0,6,-6,loss,0 - 6,216006,48,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1546671,2017
04/02/2017,away,12560,115,Campbell,9,True,2,3,-1,loss,2 - 3,216492,48,0,2,1,0,0,1,0,1,3,0,0,0,1,0,0,0,0,0,1546671,2017
04/04/2017,home,12560,141,The Citadel,9,True,6,8,-2,loss,6 - 8,216728,48,0,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1546671,2017
04/07/2017,away,12560,456,UNC Asheville,9,True,10,3,7,win,10 - 3,217200,48,2,3,2,2,0,4,0,0,3,0,0,0,0,0,0,0,0,0,1546671,2017
04/08/2017,away,12560,456,UNC Asheville,9,True,19,3,16,win,19 - 3,217413,48,2,4,2,1,0,3,0,1,1,0,0,0,1,0,0,0,0,0,1546671,2017
04/09/2017,away,12560,456,UNC Asheville,9,True,1,2,-1,loss,1 - 2,218161,48,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1546671,2017
