date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,CS,Picked,SB,IBB,stats_player_seq,season
02/19/2016,home,12360,503,NIU,9,True,5,1,4,win,5 - 1,292617,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752160,2016
02/20/2016,home,12360,503,NIU,9,True,5,0,5,win,5 - 0,293033,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752160,2016
02/20/2016,home,12360,503,NIU,9,True,2,1,1,win,2 - 1,293043,67,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752160,2016
02/21/2016,home,12360,503,NIU,9,True,17,0,17,win,17 - 0,293308,67,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1752160,2016
02/27/2016,home,12360,136,Chicago St.,9,True,7,1,6,win,7 - 1,294136,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752160,2016
02/27/2016,home,12360,305,Indiana St.,9,True,5,3,2,win,5 - 3,294137,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752160,2016
02/28/2016,home,12360,739,Villanova,12,True,11,10,1,win,11 - 10,294522,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752160,2016
03/05/2016,home,12360,509,Northwestern,9,True,6,3,3,win,6 - 3,295620,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752160,2016
03/05/2016,home,12360,493,North Dakota St.,9,True,2,4,-2,loss,2 - 4,295618,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752160,2016
03/06/2016,home,12360,518,Ohio St.,9,True,6,2,4,win,6 - 2,296008,67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752160,2016
03/07/2016,home,12360,87,Butler,9,True,10,12,-2,loss,10 - 12,296208,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752160,2016
03/08/2016,home,12360,129,Central Mich.,9,True,9,3,6,win,9 - 3,296449,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752160,2016
03/11/2016,away,12360,490,NC State,9,True,7,0,7,win,7 - 0,296879,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752160,2016
03/12/2016,away,12360,490,NC State,9,True,2,3,-1,loss,2 - 3,297223,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752160,2016
03/13/2016,away,12360,490,NC State,9,True,1,0,1,win,1 - 0,297787,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752160,2016
03/18/2016,away,12360,147,Clemson,9,True,2,6,-4,loss,2 - 6,298721,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752160,2016
03/19/2016,away,12360,147,Clemson,9,True,1,6,-5,loss,1 - 6,299059,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752160,2016
03/20/2016,away,12360,147,Clemson,10,True,2,3,-1,loss,2 - 3,299626,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752160,2016
03/24/2016,away,12360,545,Pittsburgh,9,True,6,4,2,win,6 - 4,300425,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752160,2016
03/25/2016,away,12360,545,Pittsburgh,9,True,0,5,-5,loss,0 - 5,300650,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752160,2016
03/26/2016,away,12360,545,Pittsburgh,9,True,4,5,-1,loss,4 - 5,301071,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752160,2016
03/29/2016,home,12360,164,UConn,9,True,4,9,-5,loss,4 - 9,301879,67,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1752160,2016
03/30/2016,away,12360,400,Massachusetts,9,True,11,5,6,win,11 - 5,302173,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752160,2016
04/01/2016,home,12360,234,Florida St.,9,True,0,3,-3,loss,0 - 3,302397,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752160,2016
04/08/2016,home,12360,746,Virginia,9,True,0,3,-3,loss,0 - 3,304115,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752160,2016
04/09/2016,home,12360,746,Virginia,9,True,3,2,1,win,3 - 2,304375,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752160,2016
04/10/2016,home,12360,746,Virginia,13,True,5,4,1,win,5 - 4,304899,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752160,2016
04/12/2016,away,12360,275,Harvard,9,True,11,9,2,win,11 - 9,305353,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752160,2016
04/13/2016,home,12360,400,Massachusetts,9,True,2,1,1,win,2 - 1,305806,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752160,2016
04/15/2016,away,12360,513,Notre Dame,9,True,1,4,-3,loss,1 - 4,305975,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752160,2016
04/16/2016,away,12360,513,Notre Dame,9,True,1,4,-3,loss,1 - 4,306275,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752160,2016
04/17/2016,away,12360,513,Notre Dame,9,True,9,11,-2,loss,9 - 11,307030,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752160,2016
04/20/2016,home,12360,500,Northeastern,9,True,8,2,6,win,8 - 2,307936,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752160,2016
04/22/2016,home,12360,367,Louisville,9,True,6,1,5,win,6 - 1,308206,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752160,2016
04/23/2016,home,12360,367,Louisville,9,True,2,1,1,win,2 - 1,308446,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752160,2016
04/24/2016,home,12360,367,Louisville,9,True,2,6,-4,loss,2 - 6,309244,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752160,2016
