date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,AB,H,TB,R,2B,3B,HR,RBI,BB,HBP,SF,SH,K,DP,SB,CS,Picked,IBB,stats_player_seq,season
03/01/2013,home,11320,513,Notre Dame,9,True,4,9,-5,loss,4 - 9,660379,400,5,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1090436,2013
03/02/2013,home,11320,694,Tennessee,9,True,4,6,-2,loss,4 - 6,660773,400,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1090436,2013
03/03/2013,home,11320,519,Ohio,9,True,7,6,1,win,7 - 6,661130,400,3,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1090436,2013
03/08/2013,away,11320,346,Lamar University,9,True,2,4,-2,loss,2 - 4,661898,400,3,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1090436,2013
03/09/2013,away,11320,346,Lamar University,9,True,2,10,-8,loss,2 - 10,1880437,346,4,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1090436,2013
03/09/2013,away,11320,346,Lamar University,9,True,0,8,-8,loss,0 - 8,1880450,346,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1090436,2013
03/15/2013,away,11320,635,Seton Hall,9,True,0,9,-9,loss,0 - 9,663805,400,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1090436,2013
03/16/2013,home,11320,381,Manhattan,9,True,1,2,-1,loss,1 - 2,664645,400,4,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1090436,2013
03/17/2013,home,11320,381,Manhattan,9,True,1,7,-6,loss,1 - 7,664992,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090436,2013
03/17/2013,away,11320,635,Seton Hall,9,True,5,11,-6,loss,5 - 11,664771,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090436,2013
03/22/2013,home,11320,249,George Washington,9,True,1,4,-3,loss,1 - 4,665779,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090436,2013
03/22/2013,home,11320,249,George Washington,9,True,1,7,-6,loss,1 - 7,665833,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090436,2013
03/24/2013,home,11320,249,George Washington,9,True,0,1,-1,loss,0 - 1,666640,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090436,2013
03/29/2013,home,11320,471,NJIT,9,True,10,4,6,win,10 - 4,667513,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090436,2013
03/30/2013,home,11320,471,NJIT,9,True,1,0,1,win,1 - 0,668229,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090436,2013
03/30/2013,home,11320,471,NJIT,11,True,6,7,-1,loss,6 - 7,668420,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090436,2013
04/01/2013,away,11320,639,Siena,9,True,4,8,-4,loss,4 - 8,668649,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090436,2013
04/03/2013,away,11320,500,Northeastern,9,True,1,3,-2,loss,1 - 3,669063,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090436,2013
04/05/2013,away,11320,572,Rhode Island,9,True,2,9,-7,loss,2 - 9,669393,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090436,2013
04/06/2013,away,11320,572,Rhode Island,9,True,2,0,2,win,2 - 0,669653,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090436,2013
04/07/2013,away,11320,572,Rhode Island,9,True,1,3,-2,loss,1 - 3,670458,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090436,2013
04/10/2013,home,11320,67,Boston College,9,True,11,6,5,win,11 - 6,671199,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090436,2013
04/13/2013,home,11320,596,St. Bonaventure,9,True,3,4,-1,loss,3 - 4,672064,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090436,2013
04/13/2013,home,11320,596,St. Bonaventure,9,True,9,3,6,win,9 - 3,672310,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090436,2013
04/14/2013,home,11320,596,St. Bonaventure,9,True,6,5,1,win,6 - 5,672483,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090436,2013
04/16/2013,home,11320,127,Central Conn. St.,9,True,9,5,4,win,9 - 5,672969,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090436,2013
04/17/2013,home,11320,272,Hartford,10,True,4,3,1,win,4 - 3,673240,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090436,2013
04/19/2013,away,11320,340,La Salle,9,True,5,17,-12,loss,5 - 17,673586,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090436,2013
04/20/2013,away,11320,340,La Salle,9,True,7,9,-2,loss,7 - 9,673785,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090436,2013
04/21/2013,away,11320,340,La Salle,9,True,2,6,-4,loss,2 - 6,674516,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090436,2013
04/23/2013,away,11320,164,UConn,9,True,4,5,-1,loss,4 - 5,675030,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090436,2013
04/26/2013,home,11320,606,Saint Joseph's,12,True,4,7,-3,loss,4 - 7,675654,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090436,2013
04/27/2013,home,11320,606,Saint Joseph's,9,True,10,4,6,win,10 - 4,675944,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090436,2013
04/28/2013,home,11320,606,Saint Joseph's,9,True,5,10,-5,loss,5 - 10,676671,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090436,2013
04/29/2013,home,11320,500,Northeastern,9,True,3,6,-3,loss,3 - 6,676992,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090436,2013
05/01/2013,away,11320,562,Quinnipiac,9,True,11,8,3,win,11 - 8,677236,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090436,2013
05/03/2013,home,11320,236,Fordham,9,True,5,12,-7,loss,5 - 12,677472,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090436,2013
05/04/2013,home,11320,236,Fordham,9,True,1,2,-1,loss,1 - 2,677730,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090436,2013
05/05/2013,home,11320,236,Fordham,15,True,9,11,-2,loss,9 - 11,678173,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090436,2013
05/11/2013,away,11320,812,Xavier,9,True,3,15,-12,loss,3 - 15,679158,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090436,2013
05/11/2013,away,11320,812,Xavier,9,True,3,4,-1,loss,3 - 4,679189,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090436,2013
05/12/2013,away,11320,812,Xavier,9,True,0,1,-1,loss,0 - 1,679286,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090436,2013
05/17/2013,away,11320,690,Temple,9,True,4,3,1,win,4 - 3,679827,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090436,2013
05/17/2013,away,11320,690,Temple,9,True,6,3,3,win,6 - 3,679842,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090436,2013
05/18/2013,away,11320,690,Temple,9,True,11,9,2,win,11 - 9,679941,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090436,2013
