date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,GDP,stats_player_seq,season
02/18/2022,home,15860,721,Air Force,9,True,12,2,10,win,12 - 2,5207409,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
02/19/2022,home,15860,47,Ball St.,9,True,11,1,10,win,11 - 1,5266070,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
02/20/2022,home,15860,83,Bucknell,9,True,3,0,3,win,3 - 0,5219094,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
02/25/2022,home,15860,541,Pepperdine,9,True,3,1,2,win,3 - 1,5219039,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
02/26/2022,away,15860,26172,A&M-Corpus Christi,11,True,1,2,-1,loss,1 - 2,5217474,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
02/27/2022,home,15860,782,Wichita St.,9,True,7,8,-1,loss,7 - 8,5223863,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
03/01/2022,home,15860,364,Loras,9,True,1,3,-2,loss,1 - 3,5223866,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
03/02/2022,home,15860,166,Cornell College,9,True,8,0,8,win,8 - 0,5221384,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
03/04/2022,home,15860,782,Wichita St.,9,True,4,6,-2,loss,4 - 6,5223876,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
03/05/2022,home,15860,697,Texas A&M,9,True,3,7,-4,loss,3 - 7,5225707,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
03/06/2022,home,15860,754,Washington St.,9,True,6,5,1,win,6 - 5,5227317,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
03/11/2022,away,15860,109,UC Irvine,9,True,6,7,-1,loss,6 - 7,5231876,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
03/12/2022,away,15860,109,UC Irvine,9,True,1,2,-1,loss,1 - 2,5232765,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
03/13/2022,away,15860,109,UC Irvine,9,True,12,10,2,win,12 - 10,5233733,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
03/15/2022,away,15860,626,San Diego St.,9,True,6,4,2,win,6 - 4,5235945,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
03/19/2022,home,15860,700,Texas Tech,9,True,3,11,-8,loss,3 - 11,5239893,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
03/20/2022,home,15860,700,Texas Tech,9,True,6,3,3,win,6 - 3,5241053,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
03/21/2022,home,15860,620,St. Thomas (MN),9,True,6,5,1,win,6 - 5,5242337,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
03/25/2022,home,15860,129,Central Mich.,9,True,7,4,3,win,7 - 4,5245448,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
03/26/2022,home,15860,129,Central Mich.,9,True,1,10,-9,loss,1 - 10,5247594,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
03/27/2022,home,15860,129,Central Mich.,9,True,4,2,2,win,4 - 2,5248157,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
04/02/2022,away,15860,418,Michigan,9,True,8,2,6,win,8 - 2,5253448,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
04/02/2022,away,15860,418,Michigan,9,True,0,2,-2,loss,0 - 2,5253477,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
04/03/2022,away,15860,418,Michigan,9,True,10,3,7,win,10 - 3,5254711,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
04/06/2022,away,15860,72,Bradley,11,True,9,8,1,win,9 - 8,5257443,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
04/09/2022,home,15860,301,Illinois,9,True,4,2,2,win,4 - 2,5259500,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
04/09/2022,home,15860,301,Illinois,13,True,5,7,-2,loss,5 - 7,5260247,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
04/10/2022,home,15860,301,Illinois,9,True,5,9,-4,loss,5 - 9,5261507,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
04/12/2022,away,15860,797,Milwaukee,9,True,16,2,14,win,16 - 2,5263090,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
04/15/2022,home,15860,428,Minnesota,9,True,9,3,6,win,9 - 3,5266039,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
04/16/2022,home,15860,428,Minnesota,9,True,2,1,1,win,2 - 1,5267191,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
04/17/2022,home,15860,428,Minnesota,9,True,9,3,6,win,9 - 3,5267906,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
04/19/2022,home,15860,72,Bradley,9,True,15,8,7,win,15 - 8,5269199,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
04/22/2022,away,15860,587,Rutgers,9,True,4,1,3,win,4 - 1,5270928,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
04/23/2022,away,15860,587,Rutgers,9,True,12,2,10,win,12 - 2,5272367,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
04/24/2022,away,15860,587,Rutgers,9,True,4,10,-6,loss,4 - 10,5274147,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
04/26/2022,home,15860,771,Western Ill.,9,True,11,1,10,win,11 - 1,5276028,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
04/29/2022,away,15860,463,Nebraska,9,True,1,0,1,win,1 - 0,5280490,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
05/01/2022,away,15860,463,Nebraska,9,True,1,12,-11,loss,1 - 12,5280765,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
05/01/2022,away,15860,463,Nebraska,10,True,5,3,2,win,5 - 3,5281735,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
05/03/2022,home,15860,299,Illinois St.,9,True,2,3,-1,loss,2 - 3,5282354,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
05/06/2022,home,15860,559,Purdue,9,True,5,2,3,win,5 - 2,5283716,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
05/07/2022,home,15860,559,Purdue,9,True,6,10,-4,loss,6 - 10,5284153,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
05/08/2022,home,15860,559,Purdue,9,True,9,1,8,win,9 - 1,5285602,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
05/13/2022,away,15860,416,Michigan St.,9,True,5,0,5,win,5 - 0,5288206,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
05/14/2022,away,15860,416,Michigan St.,9,True,12,2,10,win,12 - 2,5287807,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
05/15/2022,away,15860,416,Michigan St.,9,True,8,11,-3,loss,8 - 11,5288049,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
05/19/2022,home,15860,306,Indiana,9,True,30,16,14,win,30 - 16,5288938,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
05/20/2022,home,15860,306,Indiana,9,True,12,0,12,win,12 - 0,5289307,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
05/21/2022,home,15860,306,Indiana,9,True,2,1,1,win,2 - 1,5289685,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
05/26/2022,home,15860,539,Penn St.,9,True,2,5,-3,loss,2 - 5,5290162,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
05/27/2022,home,15860,559,Purdue,9,True,5,4,1,win,5 - 4,5290307,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
05/28/2022,home,15860,539,Penn St.,9,True,11,3,8,win,11 - 3,5290457,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
05/28/2022,home,15860,418,Michigan,9,True,7,3,4,win,7 - 3,5290532,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
05/29/2022,home,15860,418,Michigan,9,True,1,13,-12,loss,1 - 13,5290601,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974388,2022
