date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,CS,Picked,SB,IBB,stats_player_seq,season
02/17/2017,home,12560,316,Jacksonville,9,True,5,2,3,win,5 - 2,205948,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1547077,2017
02/18/2017,away,12560,314,Jackson St.,9,True,5,10,-5,loss,5 - 10,206088,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1547077,2017
02/18/2017,home,12560,316,Jacksonville,9,True,0,6,-6,loss,0 - 6,206260,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1547077,2017
02/19/2017,away,12560,314,Jackson St.,9,True,3,1,2,win,3 - 1,206519,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1547077,2017
02/21/2017,away,12560,430,Mississippi St.,9,True,13,8,5,win,13 - 8,206734,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1547077,2017
02/24/2017,home,12560,7,Alabama St.,9,True,8,1,7,win,8 - 1,207104,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1547077,2017
02/25/2017,home,12560,7,Alabama St.,9,True,7,5,2,win,7 - 5,207520,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1547077,2017
02/26/2017,home,12560,312,Iowa,9,True,7,14,-7,loss,7 - 14,207853,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1547077,2017
03/01/2017,away,12560,367,Louisville,9,True,2,20,-18,loss,2 - 20,208158,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1547077,2017
03/04/2017,home,12560,71,Bowling Green,11,True,5,6,-1,loss,5 - 6,208531,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1547077,2017
03/05/2017,home,12560,71,Bowling Green,9,True,11,7,4,win,11 - 7,209167,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1547077,2017
