date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,GDP,stats_player_seq,season
02/18/2022,home,15860,768,West Virginia,9,True,8,13,-5,loss,8 - 13,5207354,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2138005,2022
02/19/2022,away,15860,149,Coastal Carolina,9,True,4,8,-4,loss,4 - 8,5210090,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2138005,2022
02/20/2022,home,15860,768,West Virginia,9,True,0,10,-10,loss,0 - 10,5210961,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2138005,2022
02/25/2022,away,15860,772,Western Ky.,9,True,6,4,2,win,6 - 4,5219795,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2138005,2022
02/26/2022,away,15860,772,Western Ky.,9,True,7,4,3,win,7 - 4,5219713,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2138005,2022
02/26/2022,away,15860,772,Western Ky.,9,True,3,0,3,win,3 - 0,5219814,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2138005,2022
02/27/2022,away,15860,772,Western Ky.,9,True,7,14,-7,loss,7 - 14,5219797,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2138005,2022
03/05/2022,away,15860,749,Wake Forest,9,True,2,4,-2,loss,2 - 4,5225247,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2138005,2022
03/05/2022,home,15860,368,UMass Lowell,9,True,4,7,-3,loss,4 - 7,5224309,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2138005,2022
03/06/2022,home,15860,368,UMass Lowell,9,True,7,15,-8,loss,7 - 15,5226284,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2138005,2022
03/08/2022,away,15860,488,N.C. A&T,9,True,9,3,6,win,9 - 3,5228887,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2138005,2022
03/11/2022,away,15860,331,Kent St.,9,True,0,1,-1,loss,0 - 1,5230796,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2138005,2022
03/11/2022,away,15860,331,Kent St.,9,True,6,5,1,win,6 - 5,5235101,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2138005,2022
