R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,CS,Picked,SB,IBB,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
1,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,02/27/2019,neutral,14781,55,Benedict,9,True,10,9,1,win,1649638,22626,2003553,2019
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,02/27/2019,neutral,14781,55,Benedict,9,True,10,13,-3,loss,1649725,22626,2003553,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/28/2019,neutral,14781,1192,Manchester,9,True,7,1,6,win,1649757,22626,2003553,2019
0,5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,02/28/2019,neutral,14781,1192,Manchester,9,True,8,1,7,win,1668060,22626,2003553,2019
1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,03/01/2019,neutral,14781,279,Lehman,9,True,11,6,5,win,1649920,22626,2003553,2019
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/02/2019,neutral,14781,382,Manhattanville,9,True,7,5,2,win,1650190,22626,2003553,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/16/2019,away,14781,399,Mass. Maritime,9,True,14,6,8,win,1653454,22626,2003553,2019
0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,03/16/2019,away,14781,399,Mass. Maritime,9,True,0,2,-2,loss,1667056,22626,2003553,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/19/2019,home,14781,571,Rhode Island Col.,9,True,5,4,1,win,1653959,22626,2003553,2019
1,4,2,1,0,3,0,1,0,0,0,0,2,0,0,0,0,0,03/20/2019,home,14781,200,Eastern Conn. St.,9,True,8,10,-2,loss,1654328,22626,2003553,2019
1,3,2,1,0,3,0,1,0,0,0,0,1,0,0,0,0,0,03/24/2019,home,14781,18422,Rivier,9,True,7,1,6,win,1720591,22626,2003553,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/24/2019,home,14781,18422,Rivier,9,True,8,1,7,win,1720675,22626,2003553,2019
1,4,1,0,0,1,0,1,0,1,0,0,3,0,0,0,0,0,03/27/2019,away,14781,621,Salem St.,9,True,15,16,-1,loss,1655885,22626,2003553,2019
2,3,2,0,0,5,1,4,0,0,0,0,1,0,0,0,0,0,03/28/2019,home,14781,762,Wentworth,9,True,20,7,13,win,1655969,22626,2003553,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/30/2019,home,14781,605,St. Joseph's (ME),9,True,10,9,1,win,1656612,22626,2003553,2019
0,3,1,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,03/30/2019,home,14781,605,St. Joseph's (ME),9,True,2,1,1,win,1667104,22626,2003553,2019
0,3,2,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,04/01/2019,home,14781,26,Anna Maria,11,True,4,3,1,win,1656912,22626,2003553,2019
0,3,1,0,0,1,0,3,0,0,1,0,1,0,0,0,0,0,04/01/2019,home,14781,26,Anna Maria,9,True,8,2,6,win,1668325,22626,2003553,2019
0,4,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,04/03/2019,home,14781,764,Wesleyan (CT),9,True,5,18,-13,loss,1657417,22626,2003553,2019
1,4,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,04/04/2019,home,14781,76,Bridgewater St.,9,True,6,2,4,win,1657485,22626,2003553,2019
2,3,1,0,0,4,1,2,2,1,0,0,0,0,0,0,0,0,04/05/2019,away,14781,170,Curry,9,True,13,4,9,win,1657641,22626,2003553,2019
