AB,H,TB,R,2B,3B,HR,RBI,BB,HBP,SF,SH,K,DP,SB,CS,Picked,IBB,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/15/2013,home,11320,771,Western Ill.,9,True,9,1,8,win,657966,31,1437889,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/16/2013,home,11320,771,Western Ill.,9,True,7,2,5,win,658210,31,1437889,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/17/2013,home,11320,771,Western Ill.,9,True,5,7,-2,loss,658530,31,1437889,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/19/2013,home,11320,474,New Orleans,9,True,14,0,14,win,658763,31,1437889,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/19/2013,home,11320,474,New Orleans,9,True,3,0,3,win,658770,31,1437889,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/22/2013,home,11320,219,Evansville,9,True,10,4,6,win,658931,31,1437889,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/23/2013,home,11320,219,Evansville,9,True,5,2,3,win,659115,31,1437889,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/24/2013,home,11320,219,Evansville,9,True,10,2,8,win,659500,31,1437889,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/28/2013,neutral,11320,28,Arizona St.,9,True,2,3,-1,loss,660152,31,1437889,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/01/2013,neutral,11320,260,Gonzaga,9,True,0,3,-3,loss,660369,31,1437889,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/02/2013,neutral,11320,28,Arizona St.,9,True,1,3,-2,loss,660832,31,1437889,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/03/2013,neutral,11320,534,Pacific,9,True,3,4,-1,loss,661187,31,1437889,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/07/2013,home,11320,626,San Diego St.,9,True,2,0,2,win,661743,31,1437889,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/08/2013,home,11320,626,San Diego St.,9,True,4,3,1,win,661928,31,1437889,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/09/2013,home,11320,626,San Diego St.,9,True,8,2,6,win,662371,31,1437889,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/09/2013,home,11320,626,San Diego St.,9,True,4,1,3,win,662531,31,1437889,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/12/2013,home,11320,6,Alabama A&M,9,True,20,2,18,win,663162,31,1437889,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/13/2013,home,11320,6,Alabama A&M,9,True,13,0,13,win,663388,31,1437889,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/15/2013,home,11320,433,Ole Miss,9,True,1,7,-6,loss,663815,31,1437889,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/16/2013,home,11320,433,Ole Miss,9,True,10,1,9,win,664200,31,1437889,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/17/2013,home,11320,433,Ole Miss,13,True,4,6,-2,loss,664778,31,1437889,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/22/2013,away,11320,648,South Carolina,9,True,15,3,12,win,665564,31,1437889,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/23/2013,away,11320,648,South Carolina,9,True,4,2,2,win,665894,31,1437889,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/24/2013,away,11320,648,South Carolina,11,True,5,3,2,win,666524,31,1437889,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/26/2013,home,11320,432,Mississippi Val.,9,True,6,0,6,win,666880,31,1437889,2013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/27/2013,neutral,11320,432,Mississippi Val.,9,True,2,1,1,win,667189,31,1437889,2013
