date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,stats_player_seq,season
02/16/2018,away,12973,1014,Col. of Charleston,9,True,3,6,-3,loss,3 - 6,85297,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771843,2018
02/17/2018,away,12973,1014,Col. of Charleston,9,True,0,6,-6,loss,0 - 6,85504,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771843,2018
02/18/2018,away,12973,1014,Col. of Charleston,9,True,4,5,-1,loss,4 - 5,85839,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771843,2018
02/20/2018,away,12973,30,Arkansas St.,9,True,6,7,-1,loss,6 - 7,86116,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771843,2018
02/23/2018,home,12973,71,Bowling Green,9,True,7,9,-2,loss,7 - 9,86349,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771843,2018
02/24/2018,home,12973,71,Bowling Green,9,True,8,4,4,win,8 - 4,86814,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771843,2018
02/25/2018,home,12973,71,Bowling Green,9,True,2,5,-3,loss,2 - 5,87128,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771843,2018
02/25/2018,home,12973,71,Bowling Green,9,True,9,7,2,win,9 - 7,87149,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771843,2018
02/27/2018,away,12973,404,Memphis,9,True,2,3,-1,loss,2 - 3,87319,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771843,2018
03/02/2018,home,12973,649,South Dakota St.,9,True,12,8,4,win,12 - 8,87669,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771843,2018
03/03/2018,home,12973,649,South Dakota St.,9,True,4,7,-3,loss,4 - 7,87878,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771843,2018
03/04/2018,home,12973,649,South Dakota St.,9,True,5,6,-1,loss,5 - 6,88417,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771843,2018
03/06/2018,home,12973,659,Southern Ill.,9,True,0,5,-5,loss,0 - 5,88932,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771843,2018
03/09/2018,home,12973,444,Morehead St.,9,True,5,4,1,win,5 - 4,89464,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771843,2018
03/10/2018,home,12973,444,Morehead St.,9,True,10,3,7,win,10 - 3,90190,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771843,2018
03/10/2018,home,12973,444,Morehead St.,9,True,4,8,-4,loss,4 - 8,90218,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771843,2018
03/13/2018,away,12973,1004,Central Ark.,9,True,3,7,-4,loss,3 - 7,90766,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771843,2018
03/14/2018,away,12973,1004,Central Ark.,9,True,4,5,-1,loss,4 - 5,90943,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771843,2018
03/16/2018,away,12973,695,UT Martin,9,True,7,8,-1,loss,7 - 8,91290,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771843,2018
03/17/2018,away,12973,695,UT Martin,9,True,17,1,16,win,17 - 1,91612,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771843,2018
03/18/2018,away,12973,695,UT Martin,9,True,8,7,1,win,8 - 7,92163,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771843,2018
03/20/2018,away,12973,669,Missouri St.,9,True,5,10,-5,loss,5 - 10,92580,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771843,2018
03/23/2018,home,12973,660,SIUE,9,True,11,6,5,win,11 - 6,92931,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771843,2018
03/24/2018,home,12973,660,SIUE,9,True,7,0,7,win,7 - 0,93226,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771843,2018
03/25/2018,home,12973,660,SIUE,9,True,11,10,1,win,11 - 10,93674,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771843,2018
03/30/2018,away,12973,43,Austin Peay,9,True,6,7,-1,loss,6 - 7,94864,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771843,2018
03/30/2018,away,12973,43,Austin Peay,9,True,5,6,-1,loss,5 - 6,94978,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771843,2018
03/31/2018,away,12973,43,Austin Peay,9,True,20,4,16,win,20 - 4,95130,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771843,2018
04/04/2018,home,12973,609,Saint Louis,9,True,4,2,2,win,4 - 2,96015,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771843,2018
04/06/2018,home,12973,201,Eastern Ill.,9,True,3,5,-2,loss,3 - 5,96273,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771843,2018
04/07/2018,home,12973,201,Eastern Ill.,9,True,3,1,2,win,3 - 1,96579,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771843,2018
04/08/2018,home,12973,201,Eastern Ill.,9,True,13,1,12,win,13 - 1,97032,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771843,2018
04/10/2018,home,12973,30138,McKendree,9,True,15,0,15,win,15 - 0,97622,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771843,2018
04/13/2018,away,12973,315,Jacksonville St.,9,True,0,7,-7,loss,0 - 7,98459,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771843,2018
