date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,GDP,stats_player_seq,season
02/18/2022,home,15860,463,Nebraska,9,True,8,5,3,win,8 - 5,5208280,624,2,3,2,1,0,3,0,1,2,0,0,0,1,0,0,0,0,0,0,2461068,2022
02/19/2022,home,15860,463,Nebraska,9,True,5,1,4,win,5 - 1,5210218,624,0,2,1,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,2461068,2022
02/19/2022,home,15860,463,Nebraska,9,True,9,12,-3,loss,9 - 12,5210230,624,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2461068,2022
02/20/2022,home,15860,463,Nebraska,9,True,6,3,3,win,6 - 3,5211558,624,0,3,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2461068,2022
02/22/2022,home,15860,521,Oklahoma St.,10,True,6,3,3,win,6 - 3,5213026,624,0,4,2,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,2461068,2022
02/25/2022,away,15860,1045,DBU,9,True,0,2,-2,loss,0 - 2,5214932,624,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2461068,2022
02/27/2022,away,15860,1045,DBU,9,True,1,4,-3,loss,1 - 4,5218623,624,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2461068,2022
02/27/2022,away,15860,1045,DBU,9,True,2,3,-1,loss,2 - 3,5218442,624,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2461068,2022
03/01/2022,home,15860,703,Texas,9,True,2,10,-8,loss,2 - 10,5220496,624,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2461068,2022
03/04/2022,home,15860,699,Texas Southern,9,True,10,6,4,win,10 - 6,5223654,624,2,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2461068,2022
