R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,GDP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,division
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/21/2023,away,16340,0,St. Francis (IL),9,True,13,8,5,win,2391106,354,2653404,2023,2
1,4,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,02/23/2023,away,16340,30002,Trevecca Nazarene,9,True,4,5,-1,loss,2421349,354,2653404,2023,2
0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,02/24/2023,away,16340,30002,Trevecca Nazarene,9,True,0,6,-6,loss,2408449,354,2653404,2023,2
2,4,2,1,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,03/04/2023,away,16340,174,Davis & Elkins,9,True,27,0,27,win,2393018,354,2653404,2023,2
0,4,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,03/05/2023,neutral,16340,427,Minn. Duluth,9,True,2,7,-5,loss,2393660,354,2653404,2023,2
0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,03/10/2023,neutral,16340,790,Winona St.,9,True,3,6,-3,loss,2394262,354,2653404,2023,2
1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,03/20/2023,home,16340,30050,Ill. Springfield,9,True,5,8,-3,loss,2396213,354,2653404,2023,2
0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,03/20/2023,home,16340,30050,Ill. Springfield,9,True,8,12,-4,loss,2425555,354,2653404,2023,2
1,5,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,03/26/2023,away,16340,30138,McKendree,9,True,14,7,7,win,2426367,354,2653404,2023,2
1,4,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,03/26/2023,away,16340,30138,McKendree,9,True,9,14,-5,loss,2426372,354,2653404,2023,2
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/01/2023,away,16340,395,Maryville (MO),9,True,0,9,-9,loss,2399354,354,2653404,2023,2
1,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,04/02/2023,away,16340,395,Maryville (MO),9,True,5,7,-2,loss,2427152,354,2653404,2023,2
2,5,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,04/02/2023,away,16340,395,Maryville (MO),8,True,9,7,2,win,2427295,354,2653404,2023,2
0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,04/06/2023,home,16340,30120,William Jewell,9,True,7,2,5,win,2400245,354,2653404,2023,2
0,4,2,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,04/07/2023,home,16340,30120,William Jewell,9,True,7,6,1,win,2400501,354,2653404,2023,2
2,2,1,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,04/14/2023,home,16340,1328,Rockhurst,9,True,16,0,16,win,2428838,354,2653404,2023,2
2,4,2,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,04/15/2023,home,16340,1328,Rockhurst,9,True,12,4,8,win,2410571,354,2653404,2023,2
0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,04/18/2023,away,16340,30222,Purdue Northwest,9,True,4,13,-9,loss,2402822,354,2653404,2023,2
1,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,04/19/2023,home,16340,0,Trinity Christian,9,True,9,3,6,win,2403062,354,2653404,2023,2
