date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,AB,H,TB,R,2B,3B,HR,RBI,BB,HBP,SF,SH,K,DP,SB,CS,Picked,IBB,stats_player_seq,season
02/22/2013,away,11320,19651,High Point,9,True,5,6,-1,loss,5 - 6,658944,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311812,2013
02/24/2013,away,11320,19651,High Point,9,True,3,14,-11,loss,3 - 14,659690,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311812,2013
02/24/2013,away,11320,19651,High Point,9,True,1,19,-18,loss,1 - 19,659762,361,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311812,2013
03/01/2013,away,11320,94,CSU Bakersfield,9,True,3,5,-2,loss,3 - 5,660205,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311812,2013
03/02/2013,away,11320,94,CSU Bakersfield,9,True,3,7,-4,loss,3 - 7,660444,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311812,2013
03/03/2013,away,11320,94,CSU Bakersfield,9,True,3,10,-7,loss,3 - 10,660925,361,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1311812,2013
03/08/2013,home,11320,299,Illinois St.,9,True,3,6,-3,loss,3 - 6,662083,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311812,2013
03/10/2013,home,11320,726,Navy,9,True,0,12,-12,loss,0 - 12,662913,361,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1311812,2013
03/11/2013,home,11320,414,Miami (OH),9,True,1,8,-7,loss,1 - 8,663113,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311812,2013
03/13/2013,home,11320,83,Bucknell,9,True,4,13,-9,loss,4 - 13,663564,361,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311812,2013
03/14/2013,home,11320,509,Northwestern,9,True,3,12,-9,loss,3 - 12,663706,361,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1311812,2013
03/15/2013,home,11320,813,Yale,9,True,4,3,1,win,4 - 3,664097,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311812,2013
03/17/2013,home,11320,172,Dartmouth,9,True,4,11,-7,loss,4 - 11,664999,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311812,2013
03/20/2013,home,11320,603,St. John's (NY),9,True,6,9,-3,loss,6 - 9,665355,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311812,2013
03/22/2013,away,11320,352,Lehigh,9,True,5,3,2,win,5 - 3,665596,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311812,2013
03/23/2013,home,11320,352,Lehigh,10,True,10,9,1,win,10 - 9,666078,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311812,2013
03/23/2013,home,11320,352,Lehigh,9,True,1,4,-3,loss,1 - 4,666284,361,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1311812,2013
03/28/2013,away,11320,590,Sacred Heart,9,True,1,2,-1,loss,1 - 2,667248,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311812,2013
03/29/2013,away,11320,590,Sacred Heart,9,True,9,8,1,win,9 - 8,667707,361,3,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1311812,2013
03/29/2013,away,11320,590,Sacred Heart,9,True,0,5,-5,loss,0 - 5,667827,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311812,2013
03/30/2013,away,11320,590,Sacred Heart,9,True,7,9,-2,loss,7 - 9,667997,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311812,2013
